duration_D,app,har,source,t08,t11,Generated_Var_4,Generated_Var_6,Generated_Var_9,effort_D
0.35677838,0.75006837,0.76069283,1.4461219,0.22800936,0.6367423,0.47008517,0.53389883,0.0058381124,0.19552216
0.49322543,1.3660105,1.3798131,3.1755006,0.59245014,0.936934,0.61196,0.7149448,-0.116161756,0.2915679
0.3582517,0.7857788,0.8214851,1.6414391,0.27392435,0.740047,0.5163251,0.62117827,-0.06944795,0.22525832
0.4338777,0.8070364,0.8493212,1.6215708,0.26115832,0.9995963,0.80572,0.79856664,-0.06495313,0.32860538
0.10786058,0.4386444,0.63117564,1.0602331,0.09188237,0.42546043,0.24303173,0.32660758,0.2871059,0.013818743
0.09469116,0.37672037,0.5488219,0.85310924,0.005856878,0.40251142,0.24004239,0.29546297,0.3159304,-0.005504026
0.2882971,0.69447887,0.69116384,1.2692839,0.24504712,0.41507155,0.28698042,0.3927827,0.121870264,0.11094854
0.41148788,0.8854723,0.9209265,1.8931258,0.32629544,0.896544,0.67090267,0.72580343,-0.14557464,0.3091053
-0.032604814,0.27541158,0.64377314,0.93375856,-0.05194531,0.52099115,0.286887,0.33329016,0.51627684,-0.081950895
0.48192915,0.9314042,0.9268524,1.9130563,0.31129152,0.95899016,0.7503832,0.7898508,-0.16764507,0.35597295
0.40465966,1.0724062,1.0509061,2.2582705,0.44111368,0.69944143,0.48256683,0.5658885,-0.04370799,0.23146689
0.22613472,0.51198053,0.6823562,1.1591905,0.032026686,0.780378,0.57673764,0.56198925,0.08481255,0.16238159
0.06579648,0.39205402,0.8427539,1.1081496,-0.3609759,1.0377473,0.7426634,0.58430296,0.49291056,0.018934175
0.28454188,0.79751784,0.88581973,1.7687165,0.29920256,0.5589511,0.34591135,0.45116568,0.030742446,0.12792258
0.034140095,0.32857448,0.5526933,0.80190265,-0.09151051,0.42293206,0.23637725,0.2616492,0.47471878,-0.07906508
0.022961354,0.31796977,0.5687698,0.86547273,-0.024132501,0.36352143,0.18302605,0.2383444,0.46740505,-0.064043805
0.24069917,0.5380635,0.82421875,1.3644822,-0.0410268,1.0515687,0.7855626,0.7197944,0.17133194,0.21035436
0.37156785,0.8694403,0.9310343,1.9537452,0.35345733,0.8578807,0.61096853,0.7017267,-0.13130362,0.27160212
0.2856172,0.6748579,0.7191329,1.2441828,0.023619153,0.7774128,0.6014893,0.59414977,0.094519846,0.15463953
0.26884365,0.657568,0.8025489,1.5099249,0.24899763,0.648239,0.43481013,0.52866495,0.046166178,0.15889204
0.23291811,0.62263864,0.65444326,1.1988363,0.20547548,0.39866713,0.26280975,0.37074736,0.16251233,0.091653176
0.43291655,0.80190367,0.8493301,1.6912005,0.281517,0.91286427,0.70664084,0.7474854,-0.11662516,0.31870183
0.28492707,0.60237235,0.73923844,1.2612714,0.0117954435,0.88353497,0.65687156,0.6326494,0.13726199,0.19140181
-0.025335493,0.2685516,0.5669873,0.80663925,-0.088671036,0.41522112,0.21489559,0.24449505,0.48473713,-0.09193068
0.21588685,0.591276,0.6595657,1.1806389,0.1704649,0.4212016,0.28156108,0.36774698,0.18117575,0.065713026
-0.13604413,0.18709591,0.64694667,0.78623897,-0.24638788,0.42034328,0.22812186,0.13753346,0.83239233,-0.22858784
0.14751118,0.5183425,0.76735306,1.3853371,0.20070523,0.5440516,0.32458672,0.41997936,0.16933116,0.051961713
0.2702846,0.69968164,0.8534525,1.6438155,0.28996006,0.6297315,0.4035997,0.5378,0.03574466,0.13960399
0.088385575,0.36036706,0.6091256,0.9716848,0.019196346,0.51744694,0.3299188,0.37687904,0.2659606,0.02820036
0.30750912,0.8102912,0.8806454,1.8204757,0.33094072,0.63474596,0.4142025,0.53256387,-0.014556416,0.1806631
0.24858123,0.5924362,0.7167785,1.187167,-0.038552485,0.7959098,0.5874774,0.5777328,0.17234448,0.13407455
0.31181625,0.71151763,0.79005873,1.528431,0.27827325,0.6182652,0.4174242,0.5310327,-0.0038238014,0.1703355
0.29469827,0.71784043,0.7825078,1.5529015,0.2812503,0.58959883,0.38876146,0.5137799,-0.015638556,0.16631491
0.026167577,0.49265066,0.7372938,1.3321087,0.076384395,0.3448127,0.14654718,0.16965947,0.6559879,-0.11989529
0.2660532,0.64697325,0.68163675,1.2864386,0.19439442,0.48415342,0.32213908,0.42662838,0.08759688,0.13091178
-0.013138343,0.27238157,0.53880924,0.7114288,-0.15813014,0.41552573,0.23874217,0.21657367,0.5381911,-0.107764915
0.010993516,0.28518507,0.60285735,0.9024976,-0.027733333,0.48855382,0.29203936,0.3103411,0.30869403,-0.022967003
-0.09853767,0.2109857,0.72805816,1.0164843,-0.16118829,0.7098429,0.45335478,0.39135468,0.455599,-0.060045928
0.10713306,0.37485605,0.56793016,0.87039536,-0.037052695,0.49932766,0.31785947,0.35095194,0.29122534,0.0066522444
0.11539343,0.39205062,0.5732768,0.89357966,0.020492233,0.4505096,0.2797431,0.3329556,0.28311196,0.012235506
0.09725923,0.36476177,0.71906036,0.97706294,-0.16635264,0.8417016,0.594972,0.5087085,0.33813244,0.04369744
0.12876724,0.40486726,0.56612194,0.89477295,0.0049267486,0.45367238,0.2965824,0.33862478,0.25402468,0.031570867
0.03831762,0.37902263,0.57399386,0.8389266,-0.1388971,0.5793154,0.40362448,0.35333532,0.33327484,-0.0013403436
0.14275147,0.39184245,0.66561264,0.96942,-0.07763861,0.75127983,0.50328285,0.48225152,0.29392672,0.07846833
0.18283,0.4894158,0.6059145,1.0885592,0.07732835,0.52886504,0.36720493,0.43154526,0.09459909,0.11097749
0.26732007,0.6730399,0.7421142,1.4022952,0.23767759,0.5039631,0.32725564,0.42990625,0.0662286,0.13097252
0.26820862,0.6774896,0.90283763,1.7496301,0.3042079,0.7397564,0.47134987,0.62048364,0.015385128,0.1601106
0.13947299,0.42981687,0.59841007,0.979246,0.04176487,0.50708896,0.3188709,0.3693714,0.2718477,0.024984738
0.22384205,0.6049846,0.6827871,1.2343807,0.18299592,0.47531027,0.32388452,0.38630027,0.13384634,0.088041656
0.5744702,1.3695596,1.3736595,3.0322165,0.59717774,1.0310377,0.7452363,0.83861774,-0.20652235,0.36774567
0.26093435,0.6569343,0.7128063,1.2983898,0.2211657,0.4686845,0.32267284,0.41081074,0.10569653,0.113973446
0.16689974,0.51976216,0.6158463,1.0716572,0.13004516,0.39841387,0.24406382,0.33622018,0.22860652,0.048235252
0.25384438,0.57509,0.6552293,1.131681,0.15334441,0.55375195,0.3801012,0.46182,0.092130005,0.12147047
0.23751473,0.58846635,0.73348427,1.3467584,0.22312753,0.568245,0.37154558,0.47824928,0.07041776,0.11566722
0.07895922,0.3736606,0.55650884,0.8189687,-0.066071935,0.42351606,0.25193638,0.27465683,0.47714448,-0.05944542
0.38901812,0.8686411,1.0739918,2.225809,0.35265768,1.0457114,0.71154755,0.85945743,-0.1414659,0.3132069
0.21608354,0.5900711,0.65000975,1.1834453,0.151562,0.44575393,0.30403948,0.390406,0.13628429,0.072629996
-0.050661795,0.2622674,0.62851703,0.8662686,-0.13168117,0.5576946,0.33751738,0.33511847,0.4821863,-0.07465067
0.37002844,0.8562756,0.97421646,2.0189373,0.31314972,0.9478229,0.657775,0.7695033,-0.11770423,0.27302915
0.38650137,0.7192586,0.7565616,1.4176576,0.17649738,0.8706869,0.6827785,0.6959854,-0.024290107,0.27273405
0.35135153,0.7068441,0.77824044,1.4049048,0.10593143,0.8938037,0.6736849,0.69531614,0.030590326,0.2461665
0.51708835,1.2278991,1.316275,2.9322503,0.595681,1.0683757,0.7729978,0.8713082,-0.25414166,0.35116425
0.17889372,0.59560907,0.63654,1.2051736,0.11282992,0.28388396,0.16265343,0.2032063,0.34812576,-0.00097046327
0.34074524,0.7047044,0.7284369,1.3761706,0.2233192,0.6927759,0.5156867,0.57071567,-0.04707475,0.21917523
0.17877993,0.49512818,0.6993218,1.1811007,-0.027611323,0.7785513,0.57794106,0.53839517,0.083533034,0.12987773
0.072714925,0.35329697,0.6905471,0.9445251,-0.1811132,0.7854689,0.56957066,0.46864766,0.3107348,0.019737184
0.08428931,0.44894007,0.60478055,0.90503174,-0.10773884,0.49738076,0.33241898,0.28923967,0.45405266,-0.05104301
0.2820496,0.65076834,0.78563327,1.4799212,0.23148318,0.6516797,0.42336866,0.52993226,0.023440622,0.14597616
0.09396113,0.4858161,0.6247048,0.90420544,-0.07279766,0.38910565,0.24008223,0.23329154,0.803849,-0.116565384
0.085269704,0.37952232,0.6202584,0.84373975,-0.15496689,0.64659894,0.44227257,0.39489046,0.37715366,-0.0010762131
0.19244862,0.5901445,0.66061366,1.2216653,0.17055094,0.37951356,0.2340704,0.3140682,0.16478874,0.058340054
0.12261279,0.563112,0.74323666,1.4295915,0.17852385,0.46708992,0.2507565,0.35656884,0.1976241,0.028826496
