rely,data,cplx,turn,Generated_Var_2,Generated_Var_7,actual
0.19749308,0.35757828,0.18320967,0.3853803,0.13141654,0.39088455,0.010986149
0.20942107,0.3495173,0.15633184,0.29927808,0.15266144,0.38628027,-0.01751621
0.21918255,0.3543617,0.17980886,0.38558415,0.14488466,0.3957437,0.013097516
0.22169499,0.27408674,0.20603187,0.30238155,0.16573215,0.33874503,-0.01723652
0.60885274,0.43708333,0.35351154,0.37261206,0.364483,0.7212964,0.043882426
0.34455884,0.3594632,0.22733492,0.3133303,0.22134945,0.45723084,0.025039308
0.284235,0.33797574,0.20648319,0.33870363,0.1493882,0.40747687,-0.005811913
0.7662387,0.54603803,0.42013356,0.39827588,0.36336988,0.8863462,0.10099108
0.30354524,0.42140466,0.23103373,0.34155217,0.21899228,0.5048144,0.017108232
0.8759593,0.5503819,0.48396432,0.44472533,0.41939884,0.98997855,0.135854
0.37657306,0.42579046,0.26287368,0.35780343,0.27369273,0.5935093,-0.003875821
0.43858862,0.40482897,0.2896589,0.33593678,0.2963707,0.591545,0.013850559
0.22216798,0.32227632,0.20041256,0.30193934,0.18205482,0.39181215,-0.02167233
1.8939848,0.975043,0.98845804,0.7893325,0.81028587,1.94285,0.35766315
0.2091887,0.29284698,0.21749796,0.28469482,0.16494185,0.34611428,-0.022539482
0.39004096,0.4209887,0.25566974,0.31509352,0.28297675,0.56211865,0.0037310657
0.21389592,0.34796494,0.17386973,0.3269948,0.15505753,0.39476863,-0.013442316
0.21241006,0.2664657,0.15940718,0.31095603,0.1406023,0.30921477,-0.011383208
0.85112536,0.5271925,0.48793322,0.42384228,0.43070054,0.9573078,0.10117685
0.18473025,0.24413726,0.21034347,0.27687165,0.12073158,0.27695376,-0.021137554
0.41365927,0.4252321,0.24990895,0.31264004,0.23844956,0.56111073,0.013971708
0.22288658,0.29118043,0.19720803,0.2945669,0.12552564,0.31369188,-0.0076377857
0.25961944,0.38684693,0.22227053,0.31083107,0.245633,0.4655776,-0.0065044286
0.23891783,0.3473391,0.17673895,0.31610832,0.19043717,0.41066316,-0.014661639
0.20224711,0.23985276,0.18192202,0.27943543,0.1396006,0.2671677,-0.0136019075
0.22956245,0.28277317,0.21380794,0.2702242,0.19444123,0.34499812,-0.03049976
0.28093803,0.4059647,0.1785891,0.3036607,0.21179025,0.45958894,0.026143458
0.41005424,0.3995701,0.26552373,0.31266412,0.30039454,0.54964113,0.011536797
1.4296443,0.80247855,0.7359934,0.6249402,0.66459733,1.4890598,0.25344354
0.23489451,0.35639614,0.17774348,0.348849,0.15100574,0.4217254,-0.0076519353
0.24096176,0.33345604,0.19709547,0.28310657,0.15158558,0.3846087,-0.004900312
0.22645311,0.2894515,0.15610099,0.30926207,0.16719621,0.32424903,-0.002562984
0.19179454,0.28343716,0.14843732,0.2953325,0.085403234,0.3041091,-0.0024930318
0.4684936,0.6135719,0.29064295,0.4000344,0.22955568,0.77538633,0.025957137
0.23430553,0.36304206,0.18602766,0.37461457,0.13522658,0.42096594,-0.001977419
0.25635618,0.31364706,0.2153828,0.275626,0.21445405,0.39028504,-0.018506952
