YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_4,Generated_Var_7,Generated_Var_8,Effort
0.4,0.2782212086659065,0.1184210526315789,0.2201138519924098,0.6170212765957447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26665223,-0.097791165,0.017409973,-0.032381024,-0.16258767,0.1968880909634949
0.6,0.2143671607753705,0.3078947368421053,0.2352941176470588,0.5957446808510638,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22369102,-0.112501,-0.027323145,-0.04281615,-0.16613118,0.2175344105326152
0.4,0.0353477765108323,0.1394736842105263,0.0256166982922201,0.2765957446808511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25576288,-0.12324969,-0.011343237,-0.03410712,-0.16968817,0.0110712148414123
0.6,0.217787913340935,0.2947368421052631,0.2333965844402277,0.5319148936170213,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2262899,-0.114065036,-0.02742986,-0.042847414,-0.16710815,0.1403351286654697
0.6,0.1493728620296465,0.2289473684210526,0.1527514231499051,0.4042553191489361,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22674158,-0.11458637,-0.028110258,-0.04290373,-0.16774976,0.06852184320766
0.6,0.1003420752565564,0.2157894736842105,0.1072106261859582,0.7021276595744681,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23011228,-0.1155916,-0.025869027,-0.042511526,-0.16731624,0.0972471573907839
0.4,0.1254275940706955,0.0921052631578947,0.0834914611005692,0.425531914893617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12651631,-0.07435657,-0.035207704,-0.044591743,-0.1352842,0.0864751645721125
0.0,0.201824401368301,0.1184210526315789,0.1565464895635673,0.425531914893617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2613694,-0.105048984,0.009788096,-0.03500385,-0.16242549,0.1439257929383602
0.4,0.185860889395667,0.2131578947368421,0.1774193548387097,0.5319148936170213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16915533,-0.089557916,-0.021389637,-0.039887883,-0.14112641,0.3123877917414722
0.0,0.0786773090079817,0.081578947368421,0.040796963946869,0.4042553191489361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23245355,-0.11220509,-0.0065042637,-0.038212832,-0.15627511,0.0801915020945541
