size_D,duration_D,app,har,nlan,t01,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,effort_D
0.143335192414947,0.2,0.0,0.0,0.0,1.0,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.5,0.06208967,0.88065463,0.17867637,0.0,0.04567933,0.30079597,0.0075898020947219
0.1670384829894032,0.24,1.0,0.619852032890937,0.6666666666666666,0.75,1.0,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.769068,0.23840769,0.79813206,0.72467405,0.620732,0.5615006,0.1154790765476699
0.0228667038482989,0.02,1.0,0.619852032890937,0.6666666666666666,0.25,0.3333333333333333,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.3889384,0.6893087,0.4242592,0.43689847,0.47537956,0.7332968,0.0041514157595347
0.0574456218627997,0.08,0.0,0.619852032890937,0.3333333333333333,0.5,0.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.2832292,0.722281,0.31192237,0.40697768,0.5769204,0.82304955,0.0276813867630048
0.2810931399888455,0.24,0.8795232095320975,0.619852032890937,0.6666666666666666,0.25,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.25,0.5,0.47850087,0.52499825,0.5341199,0.537649,0.6197598,0.7891536,0.3278192391183787
0.0934188510875627,0.16,1.0,0.619852032890937,0.3333333333333333,0.5,0.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.75,0.75,0.51399624,0.4602395,0.58494043,0.52223563,0.4980816,0.6703253,0.0576920029788784
0.0828220858895705,0.16,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.64643157,0.36937448,0.69073194,0.68134046,0.6273372,0.76451933,0.035540555529147
0.0448968209704406,0.46,1.0,0.619852032890937,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.6586972,0.34109178,0.7188966,0.6210975,0.5123589,0.5576435,0.1067484273739918
0.0886781929726715,0.4,1.0,0.619852032890937,0.0,0.25,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.31523633,0.6270747,0.3997419,0.3418707,0.4273843,0.6261416,0.1353488298394891
0.3159509202453988,1.0,1.0,0.8249376887731341,0.3333333333333333,0.75,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.25,0.4501459,0.36700106,0.6298216,0.29925233,0.13312723,0.2440765,0.1793189776742564
0.0370886781929726,0.18,0.0,0.619852032890937,0.3333333333333333,0.25,0.0,0.25,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,0.15489805,0.7839776,0.28916222,0.23421285,0.38172084,0.70666087,0.0588962304511099
0.1926938092582264,0.34,1.0,0.0991880356339056,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.22269242,0.8517338,0.29396346,0.08393683,0.0,0.24533397,0.0565194657032846
0.0167317345231455,0.06,0.8795232095320975,0.0,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.1884094,0.89146113,0.220096,0.27397242,0.39445573,0.7462459,0.0050228961670707
0.0,0.12,0.8795232095320975,0.0991880356339056,0.6666666666666666,0.25,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.5,0.75,0.25,0.27623433,0.76507777,0.301409,0.42697668,0.59428334,0.9466822,0.0
0.0560513106525376,0.3,0.0,0.619852032890937,0.3333333333333333,0.25,0.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.75,0.5,0.27436438,0.6805125,0.34443852,0.36423168,0.5225651,0.7482587,0.0314049848679311
0.0900725041829336,0.14,1.0,0.619852032890937,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.0,0.6666666666666666,0.5,0.5,0.5,0.46411848,0.52126133,0.5468849,0.44624537,0.40149128,0.5816669,0.0548874205764446
0.0454545454545454,0.18,1.0,0.619852032890937,0.0,0.25,0.0,0.75,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.5,0.31198743,0.68451434,0.348858,0.29090258,0.34200227,0.44580287,0.0148468571247484
0.5022308979364194,0.56,1.0,0.619852032890937,1.0,0.75,0.3333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.81780595,0.12564233,0.8752849,0.7853409,0.689258,0.5978037,0.4013088051211357
0.6787506971556051,0.68,1.0,0.619852032890937,1.0,0.75,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,1.0,0.0,0.96622443,0.972312,0.85792595,0.677015,0.5815626435962035
0.1076408254322364,0.72,0.8795232095320975,1.0,1.0,0.5,0.3333333333333333,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.25,0.5,0.57715863,0.3051879,0.73258024,0.5868568,0.57381904,0.716359,0.2292627275752246
