ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Effort
0.43894646,0.095395535,0.101536416,0.13557525,0.24156357,0.08920809,0.4758319,0.1027562,0.1473795,0.65796417,0.3333374,0.29852003,0.3275415,0.30278254,0.06115306,0.32261622,0.37968525,0.21513374,0.36974669,0.44135618,0.40840816,0.36878395,0.66887355,0.4998746,0.6663342,0.5168388,0.47043324,0.35960674,0.55558777,0.41807902,0.43605137,0.4345681,0.21984182
0.27741915,0.06599486,0.09016704,0.056990683,0.29261062,0.094658576,0.24921046,0.068078995,0.1435066,0.57252187,0.18679316,0.15002683,0.18555576,0.16047552,0.020152204,0.37916684,0.3546679,0.06749315,0.27742815,0.4570155,0.23576546,0.19911861,0.65431166,0.50134706,0.48470867,0.5014123,0.49709892,0.17813396,0.6337211,0.19256938,0.23961067,0.5134991,0.06741658
0.6287074,0.13009396,0.10872,0.15648115,0.29743892,0.092889205,0.6026223,0.12799218,0.1695928,0.5806105,0.071377024,0.06321238,0.086592585,0.07430898,0.051726155,0.4120201,0.3992473,0.09546366,0.4486494,0.6059556,0.55535126,0.5204148,0.74112034,0.6061456,0.33913735,0.50354195,0.70029163,0.5552263,0.4171255,0.36928988,0.64032745,0.5501914,0.09953827
0.46361858,0.12685695,0.14990231,0.084365696,0.27922735,0.15651123,0.44951755,0.117433146,0.116491586,0.66549337,0.17327374,0.15399659,0.16105714,0.1476965,0.021984281,0.23057026,0.43922657,0.10837898,0.555182,0.5592761,0.5004797,0.5830879,0.63379264,0.44153333,0.61235774,0.31292737,0.6146469,0.4202013,0.5160097,0.4096172,0.58675957,0.38163328,0.12135066
0.42274347,0.07789016,0.0970088,0.10102658,0.224517,0.08677445,0.29311118,0.044571877,0.21623465,0.7164122,0.24619062,0.22120799,0.26925722,0.25562608,0.035028275,0.16468185,0.22616656,0.11197901,0.3224244,0.41961455,0.37051105,0.4263196,0.66786575,0.33695602,0.7515969,0.57102215,0.42003345,0.26173115,0.6075375,0.13051808,0.40513802,0.4628374,0.10864344
0.6465827,0.2048833,0.16258904,0.22718023,0.34121466,0.14143066,0.5360941,0.19205594,0.10681361,0.56599694,0.09463634,0.08960129,0.099886276,0.09945785,0.036075603,0.3586604,0.3681537,0.14440034,0.29292488,0.53328395,0.2770462,0.47664738,0.74804425,0.5268252,0.5324874,0.47183532,0.41307735,0.20179558,0.6078139,0.45485795,0.32882214,0.5309913,0.15997416
0.23527832,0.1493806,0.22606295,0.06376126,0.41510737,0.126737,0.45215976,0.14622939,0.11869858,0.6554372,0.071145795,0.064116016,0.075303525,0.058188185,0.16938399,0.06850675,0.36176276,0.06726906,0.58228874,0.58840036,0.8020992,0.70884085,0.80372834,0.5556655,0.5794927,0.5955724,0.8984165,0.7395973,0.54197276,0.65640557,0.8128004,0.6034025,0.07606649
0.44671944,0.2354851,0.28525853,0.1437519,0.6966201,0.10238473,0.31845593,0.12143994,0.410518,0.5282172,0.5579176,0.5854757,0.56215805,0.59584785,0.02504709,0.15809852,0.15879981,0.6382624,0.53084517,0.37024522,0.3488989,0.5088148,0.3563373,0.46755314,0.47264856,0.6391288,0.6201601,0.5310354,0.71170914,0.2681502,0.5143509,0.48082784,0.6153779
0.51269644,0.24545074,0.26356065,0.35832384,0.09456952,0.2204775,0.71329033,0.28587878,0.083075255,0.5618894,0.22331889,0.19799648,0.21732059,0.19505602,0.084782496,0.34173617,0.45978475,0.33204836,0.40521145,0.5638385,0.505229,0.42663527,0.7055931,0.727865,0.46573347,0.7533306,0.60679626,0.46508217,0.4145805,0.3211137,0.49432373,0.42146498,0.35511577
0.29239684,0.30492598,0.23831007,0.29365784,0.35917583,0.3779422,0.70206803,0.30837068,0.1110579,0.6140665,0.036142092,0.049366944,0.054964766,0.04413577,0.3896723,0.12135565,0.2933648,0.12963568,0.44232035,0.5202429,0.50849533,0.42308617,0.6637294,0.35398388,0.5333424,0.70650756,0.6548376,0.5336237,0.4599197,0.5703362,0.62181664,0.64157254,0.15083644
