Transactions,Entities,PointsAdjust,Envergure,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_ManagerExp,MI_Entities_Language,Effort
0.3011828347275497,0.350850402590012,0.4207047111732608,0.782388569107011,0.3019945268302325,0.4838326642961609,0.3965368333309221,0.2205912388579476,0.4297199124530613,0.4384475708113069,0.6001344467349632
0.2788988108631239,0.1574171817162007,0.281703554303866,0.9277366104560458,0.1229610182095288,0.2903713887427467,0.372228444036717,0.2056650098795246,0.272626434789131,0.198458120643317,0.3692199382738007
0.1953257378706814,0.1100546726516466,0.2205922304621724,0.617801211396241,0.0715168007036791,0.3075795009058514,0.153222272880841,0.156928334120032,0.1109665389460508,0.2174602925710275,0.2758242002628825
0.0902475708942966,0.0166498537438793,0.0313467247399172,0.3432270781304795,0.0490508759062396,0.1606453530398235,0.0717494671803067,0.076303102480702,0.0721173592090342,0.1195794680826785,0.1012240119018345
0.1884691501165203,0.2852584806622017,0.2998649067790364,0.7183112022626337,0.1707480875675592,0.4072826067370059,0.2802525210404651,0.1280496463149282,0.3140565802523268,0.3873263005576851,0.462491240073448
0.1616984312520428,0.1469801334157633,0.1875571058138838,0.4976074023862429,0.0876930167877725,0.2610752385940461,0.1362257803105668,0.1395484225217357,0.1988616654543459,0.1849469468071435,0.2134710847287392
0.2243933667601809,0.1924198838368578,0.2545999969359235,0.838223240075606,0.1123421494662366,0.3527390053939491,0.3031468008763113,0.1879632399537709,0.2931106082388172,0.2666643784437489,0.3878560279816548
0.1359710666411458,0.4483500303198732,0.3121188448779703,0.6834706626894325,0.2952248136259771,0.4364311049260416,0.2658803954974865,0.126078862906562,0.1904169050849244,0.5496271336197289,0.2616944437628374
0.1253774319100771,0.021004535094645,0.0641923411067455,0.172620967940713,0.0466138015321231,0.1744431172671655,0.0330505114416615,0.1214144005164286,0.1103036683644822,0.1024065928716295,0.0721730864369644
0.2180080274701796,0.2068146263802681,0.2702857563210898,0.6595287033035291,0.1077255158550654,0.3849893886539291,0.2501753697133606,0.165275636657338,0.2791196196416698,0.3141645359300075,0.3656666850748436
0.2208750839440757,0.141943790021083,0.2502334741768952,0.5716039877090495,0.104732598746208,0.3516270123426009,0.201476123124981,0.1421941954780061,0.2382753972167301,0.2333462497895245,0.3147201532816904
0.1272325052293094,0.1387046330524159,0.1483192607302984,0.3772951207337078,0.0869192734784159,0.2219535742654893,0.082698842554573,0.1075741616732316,0.1643803906595474,0.1963585925490296,0.1900688364294795
0.3844967659888107,0.1817080729451403,0.3675684613992379,0.8530197231172739,0.1484441327897717,0.4828350658190981,0.429776419261603,0.2949258058838908,0.3265002807010879,0.2763783405509596,0.4408480051388121
0.3451257878715367,0.289057311414129,0.3982578197909387,0.836118694092445,0.2168920842271437,0.5601101516113364,0.4199760597248804,0.2694782919288088,0.3015949400118859,0.4375943721020591,0.5491129566920725
0.1149880124243711,0.0840752949797405,0.1213824857306845,0.6265181619252767,0.057968772207386,0.2216658031070226,0.1237392599236759,0.1284518377109589,0.1619178275584546,0.1500397643306645,0.2216170650581176
0.146025936847343,0.0559740128065682,0.0960718040054859,0.4186078273221986,0.0491344879996689,0.1620499064608342,0.0858494157900574,0.0358856895692081,0.0776207651540205,0.0989822376468097,0.2328982241779202
0.2091456595509901,0.0845304886959112,0.1735935539368672,0.26149836304959,0.071063729439534,0.1975890931136878,0.0478823346966482,0.1003896466994572,0.1701999117853233,0.1023368134681701,0.1552114504760371
0.1250706814511402,0.0386134345764475,0.0723621375187634,0.2619844416657783,0.0512783161022924,0.1803007915110019,0.0664257024929713,0.1033167025701176,0.1464144918619156,0.1319970278628061,0.0825400318946088
0.2044742561103542,0.1697896632668284,0.2467172967840526,0.6695250855553427,0.1166334872851281,0.3849754678164515,0.2206746079193108,0.1572030851783032,0.1271341577467032,0.2802586485026133,0.3761261537458983
0.2215761922820776,0.1181112351569935,0.2365716644911296,0.6327588740287236,0.0692684487423099,0.3520497085412351,0.19265408600174,0.1593441268370409,0.1119688492701913,0.2309067549768772,0.2784911830674808
0.0861614636102413,0.0354105332237512,0.053643173273122,0.3268919988171959,0.0260505362646427,0.1489263932579722,0.0547587457743903,0.1123595476756317,0.1078081545870716,0.1143246537968865,0.0987980297542416
