Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_19,Generated_Var_22,Generated_Var_23,Generated_Var_24,effort_D
-41.12723,-13.35517,-26.225292,45.63638,27.603844,-23.56815,28.003027,-52.07023,-50.103123,92.12226,-55.806488,-74.17787,-38.79854,-35.761963,-19.376383,-16.230646,1062
-272.15594,-75.56041,-177.11476,265.2625,174.86977,-146.74551,162.10393,-294.75778,-295.55353,519.5458,-323.04187,-425.69342,-210.14021,-230.6191,-99.782776,-132.35469,7871
-29.712708,-8.570966,-18.936834,29.206745,19.288305,-15.642919,17.960344,-32.95095,-33.088936,58.128365,-36.206192,-48.068607,-23.501411,-25.102156,-11.114952,-13.991346,845
-80.9694,-22.71349,-52.433193,79.31451,52.331615,-43.446682,48.52795,-88.35299,-88.72236,156.02887,-97.021736,-128.17934,-63.186604,-68.714,-29.811848,-38.895844,2330
-731.3985,-201.31458,-477.04358,708.5116,466.5632,-394.50616,432.31796,-784.8453,-785.7682,1380.7338,-858.1284,-1128.3169,-557.39594,-618.42175,-266.7264,-360.75116,21272
-146.30534,-40.787373,-95.04059,142.8746,94.209984,-78.763306,87.33125,-158.8609,-159.39105,280.2051,-174.18723,-229.80856,-113.37763,-124.030106,-53.736553,-70.84811,4224
-98.462975,-27.69864,-63.77243,96.72965,63.821014,-52.944527,59.208496,-107.86504,-108.32188,190.55045,-118.45537,-156.63383,-77.24386,-83.62384,-36.37069,-47.045773,2826
-250.59517,-68.720375,-162.47935,242.42859,158.69336,-135.21005,147.95122,-268.2441,-267.82138,471.12378,-292.1869,-383.3536,-189.94118,-211.46529,-91.309105,-124.69601,7320
-313.13986,-86.04518,-203.6848,303.18283,199.10573,-168.9345,184.99445,-335.6211,-335.69867,590.0793,-366.32626,-481.25256,-238.06696,-264.50485,-114.176,-155.00706,9125
-412.4618,-114.64513,-268.59915,403.50797,265.99396,-223.22772,246.79158,-448.76398,-450.69766,791.95447,-492.3279,-649.27075,-320.5757,-349.88293,-151.65959,-198.97444,11900
-147.70125,-40.70639,-96.000725,142.9855,94.00533,-79.42184,87.222626,-158.28017,-158.37198,278.37787,-172.80594,-227.26456,-112.31715,-124.7444,-53.87777,-73.04152,4300
-145.4572,-41.05142,-94.37502,144.51279,95.44499,-78.882126,88.589775,-162.36145,-163.12749,286.79745,-178.65349,-236.27039,-116.76406,-124.16839,-53.916924,-67.824524,4150
-31.531883,-8.96217,-20.206976,30.816917,20.334475,-16.609755,18.957045,-34.512417,-34.621056,60.92443,-37.899017,-50.202774,-24.59255,-26.623972,-11.698716,-15.074521,900
-20.42676,-5.8590865,-12.930406,19.726328,13.019409,-10.550594,12.1226015,-22.124184,-22.242817,39.00471,-24.210836,-32.159626,-15.630236,-17.077372,-7.6265144,-9.891206,583
-88.99054,-24.902147,-57.7134,87.01658,57.39407,-47.814632,53.17736,-96.74792,-97.18114,170.81395,-106.066765,-140.16614,-69.13996,-75.404366,-32.790127,-42.925316,2565
-140.15414,-39.07472,-91.042336,136.89334,90.26394,-75.43166,83.69105,-152.23679,-152.7057,268.49384,-166.91422,-220.20947,-108.6497,-118.82513,-51.477592,-67.845245,4047
-53.10726,-15.040602,-34.260452,52.33112,34.540325,-28.44571,32.07746,-58.44944,-58.826218,103.43592,-64.28311,-85.174614,-41.927357,-45.101017,-19.694706,-25.126488,1520
-893.9569,-247.0313,-582.86884,869.4883,572.9898,-482.8354,531.163,-965.1084,-967.3423,1699.9706,-1057.1201,-1391.3912,-687.1132,-757.1165,-326.9676,-436.85315,25910
-1285.3588,-354.84216,-838.32306,1249.0488,823.04407,-694.1889,762.8115,-1385.7878,-1388.674,2440.274,-1517.3481,-1996.6665,-986.09674,-1088.2433,-469.8206,-629.4134,37286
-515.1917,-140.98926,-334.33438,498.3212,326.14038,-278.39764,304.20514,-551.5379,-550.5634,968.4839,-600.9608,-787.79663,-390.48047,-434.88354,-187.55132,-256.4288,15052
-377.66138,-103.36111,-244.84564,365.22986,238.88332,-203.97577,222.96248,-404.21597,-403.31934,709.6202,-440.2489,-577.0117,-286.06924,-318.7286,-137.46127,-188.18056,11039
-646.85583,-181.5563,-420.15872,639.52264,422.09836,-350.7726,392.60297,-716.80005,-720.0164,1266.8693,-790.01404,-1042.5372,-514.75183,-551.73846,-238.97176,-304.6054,18500
-320.99475,-87.99783,-208.389,310.5484,203.49937,-173.16301,189.5952,-343.8321,-343.28604,603.8937,-374.8853,-491.74704,-243.53365,-271.05737,-116.84919,-159.52596,9369
-247.04204,-68.13069,-161.01707,239.46292,157.68173,-133.18037,146.02827,-264.99255,-265.57526,466.4541,-289.5417,-381.23563,-188.26234,-208.74748,-90.24809,-121.72582,7184
-359.57156,-99.20893,-234.4031,348.5783,229.68616,-193.77124,212.67232,-386.21872,-386.9534,679.8479,-422.4785,-555.9739,-274.5143,-304.07068,-131.28754,-176.94351,10447
-176.66434,-49.177937,-114.86036,172.52939,113.75133,-95.21334,105.48076,-191.84372,-192.4632,338.3486,-210.3442,-277.4146,-136.91719,-149.77396,-64.88256,-85.53347,5100
-2190.9778,-603.1284,-1430.059,2123.4856,1398.9108,-1182.7014,1295.8119,-2352.649,-2356.2666,4139.8164,-2573.326,-3384.136,-1671.5166,-1853.0945,-799.25616,-1079.1798,63694
