AFP,Input,Output,Enquiry,File,Interface,Added,Duration,N_effort,Effort
1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,4.0,7490.0,7490
260.0,9.0,4.0,3.0,193.0,41.0,51.0,17.0,4150.0,4150
152.0,25.0,33.0,28.0,42.0,35.0,163.0,9.0,668.0,668
252.0,151.0,28.0,8.0,39.0,0.0,69.0,4.0,3901.0,3238
292.0,93.0,0.0,194.0,20.0,0.0,0.0,13.0,3607.0,2994
83.0,63.0,0.0,24.0,0.0,0.0,0.0,4.0,1606.0,1333
79.0,24.0,0.0,23.0,30.0,0.0,0.0,6.0,1936.0,1607
97.0,0.0,108.0,7.0,0.0,5.0,120.0,7.0,1158.0,1158
116.0,0.0,23.0,58.0,14.0,20.0,81.0,6.0,1498.0,1243
52.0,39.0,7.0,0.0,0.0,0.0,0.0,7.0,4063.0,3372
465.0,209.0,129.0,24.0,83.0,15.0,460.0,9.0,10200.0,10200
67.0,32.0,5.0,16.0,7.0,0.0,25.0,7.0,2053.0,1704
199.0,0.0,115.0,57.0,0.0,42.0,214.0,7.0,3034.0,2640
176.0,13.0,54.0,54.0,40.0,7.0,168.0,26.0,3348.0,3348
391.0,208.0,26.0,81.0,25.0,0.0,38.0,7.0,814.0,676
263.0,65.0,45.0,101.0,42.0,10.0,176.0,3.0,911.0,911
42.0,12.0,15.0,3.0,7.0,15.0,52.0,6.4,2496.0,2496
190.0,98.0,20.0,16.0,63.0,5.0,160.0,10.0,1171.0,1171
245.0,105.0,28.0,18.0,58.0,0.0,19.0,13.0,3532.0,3532
77.0,28.0,0.0,42.0,0.0,0.0,0.0,1.0,525.0,436
355.0,278.0,0.0,73.0,0.0,0.0,0.0,4.0,1095.0,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,6.0,10957.0,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,6.0,344.0,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,3.0,296.0,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,13.0,4220.0,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,1.0,296.0,246
306.0,51.0,105.0,0.0,105.0,45.0,306.0,24.0,2082.0,2082
244.0,68.0,78.0,22.0,62.0,14.0,244.0,7.0,191.0,191
98.0,21.0,46.0,3.0,44.0,0.0,114.0,15.0,3583.0,2974
331.0,100.0,44.0,61.0,107.0,0.0,312.0,2.0,395.0,328
101.0,16.0,5.0,39.0,52.0,0.0,112.0,8.0,406.0,406
192.0,9.0,102.0,0.0,10.0,77.0,198.0,8.0,2151.0,1785
60.0,39.0,4.0,0.0,14.0,10.0,39.0,8.0,471.0,471
180.0,74.0,18.0,33.0,57.0,0.0,153.0,5.0,700.0,700
118.0,43.0,71.0,7.0,0.0,0.0,38.0,2.0,698.0,579
73.0,43.0,10.0,4.0,15.0,0.0,6.0,3.0,1459.0,1211
143.0,63.0,0.0,27.0,45.0,0.0,14.0,4.0,1372.0,1139
2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,19.0,16690.0,14520
9.0,0.0,10.0,0.0,0.0,0.0,5.0,2.0,239.0,239
203.0,21.0,167.0,3.0,10.0,0.0,201.0,5.0,1520.0,1262
162.0,64.0,36.0,9.0,28.0,20.0,157.0,8.0,1754.0,1754
183.0,60.0,21.0,29.0,71.0,0.0,181.0,6.0,1824.0,1514
59.0,36.0,21.0,0.0,0.0,0.0,6.0,8.0,804.0,667
412.0,198.0,14.0,99.0,91.0,10.0,412.0,20.0,5864.0,5864
348.0,198.0,14.0,33.0,77.0,0.0,10.0,3.0,1172.0,973
2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,13.0,5333.0,5333
250.0,28.0,92.0,57.0,0.0,30.0,164.0,8.0,1775.0,1775
206.0,0.0,199.0,0.0,0.0,5.0,100.0,5.0,246.0,204
617.0,184.0,136.0,103.0,133.0,0.0,377.0,7.0,3793.0,3148
173.0,0.0,78.0,10.0,17.0,72.0,177.0,12.0,10501.0,8716
286.0,45.0,156.0,27.0,37.0,0.0,265.0,6.0,1464.0,1464
52.0,13.0,17.0,6.0,10.0,5.0,20.0,2.0,1636.0,1358
45.0,6.0,28.0,0.0,0.0,25.0,59.0,7.0,281.0,281
104.0,30.0,7.0,48.0,15.0,0.0,0.0,5.0,2796.0,2321
465.0,234.0,44.0,104.0,118.0,0.0,431.0,13.0,4884.0,4054
2145.0,862.0,63.0,491.0,518.0,300.0,2234.0,84.0,2400.0,2400
283.0,20.0,125.0,39.0,91.0,17.0,292.0,13.0,5650.0,5650
109.0,0.0,84.0,0.0,17.0,5.0,47.0,2.0,1837.0,1525
160.0,0.0,21.0,72.0,25.0,40.0,74.0,2.0,575.0,477
65.0,0.0,64.0,0.0,0.0,0.0,54.0,2.0,606.0,503
366.0,160.0,27.0,96.0,72.0,0.0,260.0,10.0,10205.0,8470
63.0,18.0,10.0,3.0,28.0,0.0,16.0,3.0,937.0,778
309.0,126.0,13.0,59.0,153.0,30.0,381.0,7.5,2597.0,2597
610.0,137.0,174.0,117.0,147.0,0.0,575.0,3.0,950.0,950
562.0,165.0,125.0,93.0,119.0,0.0,502.0,13.0,5727.0,5727
156.0,21.0,38.0,39.0,7.0,41.0,146.0,4.0,2458.0,2040
75.0,30.0,5.0,19.0,21.0,0.0,40.0,8.0,4430.0,3677
