Generated_Var_1,Generated_Var_3,Generated_Var_5,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_13,Generated_Var_14,Generated_Var_15,Effort
-93.43474,-76.396095,41.028713,28.442337,-55.573643,-147.4439,48.645866,-54.46115,-106.46546,5152
-99.1859,-85.0089,43.24746,31.559216,-62.273453,-157.26631,53.326828,-57.67812,-117.185326,5635
-15.387077,-10.030673,7.2425957,3.7284205,-10.799193,-22.028809,6.622334,-8.281036,-16.54079,805
-69.30934,-54.821854,31.383646,20.755085,-43.13994,-107.79796,33.809616,-39.828392,-78.45868,3829
-40.06999,-29.080984,18.685062,11.053626,-25.170292,-60.653316,17.708439,-22.651619,-43.56825,2149
-49.849228,-41.361534,22.469616,15.089927,-31.98519,-77.69731,26.146414,-27.856672,-58.746845,2821
-46.99337,-37.774616,20.67491,13.244877,-28.866364,-72.9029,24.215822,-26.445509,-53.421722,2569
-71.087135,-58.0561,30.996696,21.154375,-42.96425,-111.54708,36.919098,-41.092075,-80.98353,3913
-135.28194,-122.6667,57.017494,43.715137,-85.79453,-219.48514,79.23905,-81.0339,-165.5239,7854
-43.44789,-36.61502,18.712591,12.599804,-27.287888,-67.78522,23.756006,-24.35523,-50.855404,2422
-72.727325,-60.388393,31.920614,22.276138,-45.65545,-114.072845,37.7936,-41.98182,-84.22373,4067
-153.61705,-142.40439,64.7214,50.5103,-98.767624,-251.22633,92.227264,-92.42835,-191.53545,9051
-39.85972,-35.085247,16.902761,11.998765,-27.034552,-61.925087,22.485172,-22.22633,-48.296597,2282
-74.47778,-62.808834,32.43064,22.814613,-45.65684,-117.61449,40.011158,-42.830418,-86.872734,4172
-89.036674,-73.43193,39.4409,27.58141,-55.24206,-140.03374,45.659687,-51.66738,-102.68414,4977
-30.982891,-21.568275,14.470678,7.81837,-18.654655,-46.517975,13.699885,-17.103664,-32.91442,1617
-55.097813,-49.371845,23.866556,17.10869,-34.999695,-88.01451,32.392277,-31.12773,-67.76511,3192
-58.79117,-48.21506,26.801178,19.986378,-44.437218,-88.89522,27.12018,-34.04069,-70.59337,3437
-74.52106,-65.94822,32.594437,26.844208,-57.71991,-114.866,38.348553,-43.535423,-93.68014,4494
-16.448034,-10.395599,7.91438,3.6451619,-10.248013,-23.850912,7.196115,-8.561126,-17.267315,840
-255.11697,-233.01654,108.54594,85.006355,-164.24559,-415.65045,148.16318,-154.3505,-314.59894,14973
-87.950836,-79.26523,38.35128,29.09581,-58.859703,-140.67876,49.91033,-51.319176,-108.86869,5180
-104.212906,-83.93866,46.805508,32.054764,-63.223057,-163.9201,51.920708,-60.61922,-118.43333,5775
