Generated_Var_1,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_9,Generated_Var_10,Generated_Var_12,actual
126.59432,76.07578,63.286427,181.39525,-108.15547,14.644171,-108.943855,2040.0
96.19318,59.10296,48.36269,137.78069,-82.54939,12.010601,-82.91166,1600.0
17.064486,13.206614,3.8974826,24.481857,-13.492876,1.3686838,-16.532562,243.0
14.190188,8.72451,6.4515452,19.99769,-11.95046,1.9692408,-12.29004,240.0
2.6248355,2.0101135,0.14903969,3.4091759,-1.8441697,0.12582825,-2.5274434,33.0
2.465556,1.3537837,1.0857384,3.233494,-2.043111,0.385311,-2.008453,43.0
1.6072417,1.3203942,-0.6121677,1.8602016,-0.7592716,-0.14545864,-1.7968575,8.0
68.38348,41.178562,33.5853,97.80434,-58.309544,7.8100624,-59.305794,1075.0
25.692125,15.274299,12.977163,36.479614,-21.909742,3.042216,-21.754047,423.0
19.329563,11.48771,9.829926,27.3823,-16.545555,2.3266308,-16.3098,321.0
12.830369,7.6800046,6.5924544,18.264565,-11.114949,1.6908603,-10.983745,218.0
11.755928,7.101777,5.872533,16.679937,-10.161599,1.6297802,-10.139674,201.0
4.897997,3.1717014,1.6279,6.6851487,-4.0002456,0.6581853,-4.349031,79.0
3.3210902,1.8170348,1.7238328,4.532076,-2.86359,0.5662045,-2.6649764,60.0
3.375437,1.8298289,1.7422312,4.5849514,-2.9231467,0.58428496,-2.7009237,61.0
2.4052181,1.4118356,0.8415897,3.1113799,-1.9145803,0.3484118,-2.0155053,40.0
1.3487191,1.0949807,-0.4439443,1.5490408,-0.6268547,-0.081799895,-1.3937631,9.0
727.02985,439.1759,356.35397,1041.4692,-618.6747,82.0342,-632.24756,11400.0
398.8715,244.49973,201.4306,571.25476,-341.86093,48.763508,-343.3418,6600.0
401.1654,241.84743,199.00562,575.3721,-342.44354,46.09534,-346.7349,6400.0
150.10033,90.46168,75.58466,214.01402,-128.21808,17.35168,-127.89455,2455.0
43.443707,26.43032,22.114721,62.162968,-37.36646,5.3936243,-37.327698,724.0
32.348316,19.56316,16.499285,46.218872,-27.83317,3.9678154,-27.711262,539.0
26.886593,16.49867,13.323407,38.381897,-23.063683,3.5712016,-23.189861,453.0
31.848719,18.984053,16.071407,45.29535,-27.176208,3.7409818,-27.068323,523.0
