size_D,duration_D,har,dba,ifc,source,t01,t02,t11,MI_size_D_nlan,effort_D
0.3835140892415694,0.2395329773583547,0.4950366829516804,0.2073334071906641,0.0988151893349784,0.104089787636055,0.2272017300414832,0.1600827827139453,0.2948445811497364,0.2429719550100778,0.3263021183690726
0.098057561614015,0.3057060472186543,0.3865100224239133,0.0997542738309873,0.1815734988307513,0.2663898299742477,0.0526406620598052,0.1172593174064613,0.1762710197747417,0.378161648075886,0.0909844571246102
0.1028850928361686,0.33714177334396,0.3746503744398162,0.1406768578174918,0.1663716941600075,0.2414336717265208,0.0745923495031757,0.0984964369966893,0.1335971362043728,0.4493393835985957,0.0561956913496393
0.3767333246804394,0.1899789148717102,0.4755982409701261,0.2334416562092884,0.0717438680007806,0.0760204245575147,0.2868658451019803,0.1558196497323396,0.2433858961827921,0.3170830933924395,0.2992637113190206
0.0648348281935426,0.2598846567713151,0.4674233221138459,0.0729913753428461,0.3029252105217662,0.3765332261106534,0.0148930139065109,0.2216672440781292,0.3275147324379595,0.4147259614795562,0.1789870567086778
0.4982944948023216,0.1692080338730513,0.5695713550981145,0.2888421905721551,0.1400305555261393,0.1122631544424008,0.3368417334220981,0.2388392508415178,0.3572054414578962,0.1991337271899154,0.4843407884006655
0.4628449158171617,0.1996616984711365,0.5268472065637047,0.3273854874915753,0.0766901155487594,0.0399917674789864,0.3654992628536097,0.214835710450444,0.2822250100033004,0.3120735271559515,0.3532048473749047
0.2584496530755397,0.2863564189418355,0.4083858497935431,0.1565053798136814,0.0638396013779705,0.0670643106072932,0.2076827544023756,0.0889081633464138,0.1917853954146687,0.3499021770143057,0.2362739931116623
0.0691755757676977,0.2932431507651825,0.4289424365324271,0.0980396211205992,0.2436451554378476,0.3104699369016109,0.0409530101591293,0.1866397859703815,0.2572638157603766,0.3743713175303244,0.1682191384239366
0.1370000826206535,0.3245224369391328,0.3745611361264121,0.1305044615305423,0.1115108274591193,0.1782781730005,0.0877589508293782,0.0653960074190064,0.1323879542244206,0.4232918700537648,0.0757335501001614
0.0414533483752388,0.3138178506810854,0.4018760306197172,0.1008376476933494,0.2505201727191438,0.3063880580740297,0.0331440154554093,0.1476851784598847,0.2459373892917206,0.4772124548547722,0.1232524581047693
0.4653079554316326,0.1919197730199694,0.5623189783713526,0.2365896707620846,0.1891173671852511,0.175170225942834,0.317853953243528,0.2515640130498645,0.3503589895507517,0.1777427467366392,0.4525433307007525
0.1076848408776266,0.3166672681387952,0.51385370960249,0.0924019143994262,0.3135893264926508,0.3886638594542376,0.0378278100339754,0.2342143289222569,0.3343870656047242,0.4487879070931293,0.2509703780320108
0.1240031744689846,0.286753658662011,0.5740186759687206,0.1663198709484619,0.4192926520108875,0.4841574231118826,0.0614514466943322,0.3494619109889167,0.4186572212809475,0.3622691182335186,0.3728367318138206
0.1648228966300026,0.3116557362289649,0.3693450301478743,0.1286114547931648,0.1036806376570272,0.1542207429884289,0.1533561582816759,0.0819918064217108,0.1046011558409718,0.433313690128242,0.0566991753818787
0.066508760559623,0.3175126144256038,0.3963083192237255,0.0858892921416923,0.1839976928809603,0.2687750461929275,0.0186208196635294,0.0920210735084078,0.2085262866284477,0.4640903503117288,0.0838973340599572
0.2616858384185218,0.2417470386256106,0.3927197595927376,0.1289514306792542,0.0448169632243196,0.082792869123872,0.1685864186372267,0.0597618808118587,0.1910515768234362,0.3578614956862459,0.1809022613275286
