PCA_1,PCA_2,PCA_3,PCA_4,effort_D
0.7904594182773981,0.3611904311832157,0.5020049127273646,1.0,0.3858485
0.21784202904385494,0.6874578623592973,0.4213578147016967,0.5921583650055661,0.12570609
0.18325744025482735,0.45805080319171027,0.2476217698416343,0.57402783498986,0.14237297
0.06554256993125987,0.49524320329025745,0.3573392658953386,0.6484036672772565,0.12028694
0.05890688847037251,0.6197477639159787,0.36182730718745254,0.6122548513741121,0.09116396
0.047440487273276266,0.6382419882169058,0.3693005327766345,0.567138350471567,0.10502924
0.1922607207838476,0.5680335942394391,0.37094542149750315,0.6542361334289106,0.10792452
0.16614197083429544,0.48561265506176043,0.21941371399314918,0.5554376295270449,0.1570831
0.7131979618255686,0.8676000153672234,0.5618378735635688,0.6083382193444595,0.2710873
0.22378557280490552,0.368210320652208,0.3972551406086201,0.6319225941391128,0.21255468
0.21251925580194522,0.6163723969549694,0.40495744558253294,0.6480608356684172,0.14225635
0.2246963304645136,0.7211558384643252,0.43470628925536636,0.6047654901144055,0.13607584
0.2574897787284944,0.6873571463475915,0.3031372852605007,0.574155183466166,0.12426056
0.33408181682636884,0.4934959365995437,0.47970861531000686,0.6529118401894997,0.1966946
0.5469901833810362,0.5512091385257538,0.07696551582917566,0.399828447707431,0.23363087
0.20949096674452494,0.32216947924859696,0.5310879786581371,0.45327543867770703,0.2172272
0.18508301992947196,0.5258955314009823,0.36430942932713395,0.7013067349697195,0.14089996
0.4075819246778808,0.6258784221566485,0.143877751930854,0.4055968174679478,0.19802518
0.03895060843308884,0.5635747437798546,0.34348651048022777,0.6207015785548381,0.10289219
0.4409061885529835,0.6871263560000571,0.46257621733218657,0.6623750036187821,0.1605525
0.0541893861647679,0.45735844870713904,0.4287331437003771,0.5059092691616095,0.11897248
0.19344906380040755,0.4987222065044749,0.40927046957324753,0.6499104020160573,0.15654132
0.012292765109124831,0.5231990276104002,0.38351771276126156,0.5338508847100983,0.08237955
0.1769347439464363,0.5617997355009335,0.4620527185290665,0.5692977383256069,0.12282239
0.08084386794499174,0.4520735408385059,0.39967155687307476,0.5652548295090432,0.1409155
0.05202371183769039,0.5319240850048701,0.33178128477830354,0.653490735392066,0.08907263
0.19791518664555596,0.6061103998873776,0.39007805416564323,0.6631946223007997,0.106560275
0.14511099045071896,0.5378206292787677,0.3108568868233233,0.6477742917672847,0.14377467
0.09434885869647555,0.49926479836583254,0.37334549494261005,0.6393277249103236,0.13113073
0.1885498081249805,0.37298295546580185,0.413066528122452,0.6466134098961499,0.21190953
0.18965521003786787,0.5339877164404873,0.41490202719015423,0.6467361978044154,0.12388322
