AFP,Added,N_effort,MI_N_effort_PDR_AFP,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_N_effort_Duration,MI_N_effort_Output,MI_AFP_PDR_AFP,Effort
1587.0,1502.0,7490.0,35203.0,37450.0,2546600.0,29960.0,1947400.0,7458.900000000001,7490
260.0,51.0,4150.0,66400.0,68890.0,12450.0,70550.0,16600.0,4160.0,4150
152.0,163.0,668.0,2939.2000000000003,2738.8,18704.0,6012.0,22044.0,668.8000000000001,668
252.0,69.0,3901.0,49932.8,55784.3,31208.0,15604.0,109228.0,3225.6000000000004,3238
292.0,0.0,3607.0,37152.100000000006,35348.600000000006,699758.0,46891.0,0.0,3007.6000000000004,2994
83.0,0.0,1606.0,25856.6,24571.800000000003,38544.0,6424.0,0.0,1336.3000000000002,1333
79.0,0.0,1936.0,39300.8,40462.4,44528.0,11616.0,0.0,1603.7,1607
97.0,120.0,1158.0,13780.2,11232.6,8106.0,8106.0,125064.0,1154.3,1158
116.0,81.0,1498.0,16028.6,16178.4,86884.0,8988.0,34454.0,1241.1999999999998,1243
52.0,0.0,4063.0,263282.4,297817.9,0.0,28441.0,28441.0,3369.6,3372
465.0,460.0,10200.0,223380.0,226440.0,244800.0,91800.0,1315800.0,10183.5,10200
67.0,25.0,2053.0,52146.2,58305.2,32848.0,14371.0,10265.0,1701.8,1704
199.0,214.0,3034.0,40352.2,37318.2,172938.0,21238.0,348910.0,2646.7000000000003,2640
176.0,168.0,3348.0,63612.0,66625.2,180792.0,87048.0,180792.0,3344.0,3348
391.0,38.0,814.0,1383.8,1628.0,65934.0,5698.0,21164.0,664.6999999999999,676
263.0,176.0,911.0,3188.5,3188.5,92011.0,2733.0,40995.0,920.5,911
42.0,52.0,2496.0,148262.4,119808.0,7488.0,15974.4,37440.0,2494.8,2496
190.0,160.0,1171.0,7260.2,6791.8,18736.0,11710.0,23420.0,1178.0,1171
245.0,19.0,3532.0,50860.8,59690.8,63576.0,45916.0,98896.0,3528.0,3532
77.0,0.0,525.0,2992.5,3255.0,22050.0,525.0,0.0,438.9,436
355.0,0.0,1095.0,2847.0,2847.0,79935.0,4380.0,0.0,923.0,909
3156.0,28.0,10957.0,31775.3,37253.8,1062829.0,65742.0,5752425.0,9152.4,9094
46.0,28.0,344.0,2580.0,2236.0,0.0,2064.0,9632.0,345.0,344
56.0,53.0,296.0,1568.8,1657.6,4440.0,888.0,3552.0,296.8,296
106.0,35.0,4220.0,139260.0,155718.0,50640.0,54860.0,16880.0,3498.0,3503
71.0,31.0,296.0,1036.0,976.8,2664.0,296.0,8288.0,248.5,246
306.0,306.0,2082.0,14157.6,14157.6,0.0,49968.0,218610.0,2080.8,2082
244.0,244.0,191.0,152.8,152.8,4202.0,1337.0,14898.0,195.2,191
98.0,114.0,3583.0,108564.9,93516.3,10749.0,53745.0,164818.0,2969.4,2974
331.0,312.0,395.0,395.0,434.50000000000006,24095.0,790.0,17380.0,331.0,328
101.0,112.0,406.0,1624.0,1461.6,15834.0,3248.0,2030.0,404.0,406
192.0,198.0,2151.0,20004.300000000003,19359.0,0.0,17208.0,219402.0,1785.6,1785
60.0,39.0,471.0,3720.9,3297.0,0.0,3768.0,1884.0,474.0,471
180.0,153.0,700.0,2730.0,2660.0,23100.0,3500.0,12600.0,702.0,700
118.0,38.0,698.0,3420.2000000000003,3350.4,4886.0,1396.0,49558.0,578.2,579
73.0,6.0,1459.0,24219.4,24511.2,5836.0,4377.0,14590.0,1211.8000000000002,1211
143.0,14.0,1372.0,10976.0,11524.8,37044.0,5488.0,0.0,1144.0,1139
2190.0,1825.0,16690.0,110154.0,133520.0,3938840.0,317110.0,10815120.0,14454.0,14520
9.0,5.0,239.0,6357.400000000001,5712.099999999999,0.0,478.0,2390.0,239.4,239
203.0,201.0,1520.0,9424.0,9576.0,4560.0,7600.0,253840.0,1258.6,1262
162.0,157.0,1754.0,18943.2,19644.8,15786.0,14032.0,63144.0,1749.6,1754
183.0,181.0,1824.0,15139.2,15321.6,52896.0,10944.0,38304.0,1518.9,1514
59.0,6.0,804.0,9085.2,9406.8,0.0,6432.0,16884.0,666.7,667
412.0,412.0,5864.0,83268.8,83268.8,580536.0,117280.0,82096.0,5850.4,5864
348.0,10.0,1172.0,3281.6,3516.0,38676.0,3516.0,16408.0,974.4,973
2529.0,2056.0,5333.0,11199.3,13865.8,351978.0,69329.0,2735829.0,5310.900000000001,5333
250.0,164.0,1775.0,12602.5,15265.0,101175.0,14200.0,163300.0,1775.0,1775
206.0,100.0,246.0,246.0,246.0,0.0,1230.0,48954.0,206.0,204
617.0,377.0,3793.0,19344.3,21620.1,390679.0,26551.0,515848.0,3146.7,3148
173.0,177.0,10501.0,529250.4,516649.2,105010.0,126012.0,819078.0,8719.199999999999,8716
286.0,265.0,1464.0,7466.4,8052.0,39528.0,8784.0,228384.0,1458.6,1464
52.0,20.0,1636.0,42699.600000000006,43517.600000000006,9816.0,3272.0,27812.0,1357.2,1358
45.0,59.0,281.0,1742.2,1348.8,0.0,1967.0,7868.0,279.0,281
104.0,0.0,2796.0,62350.8,64867.2,134208.0,13980.0,19572.0,2319.2000000000003,2321
465.0,431.0,4884.0,42490.8,39560.4,507936.0,63492.0,214896.0,4045.5,4054
2145.0,2234.0,2400.0,2640.0,2640.0,1178400.0,201600.0,151200.0,2359.5,2400
283.0,292.0,5650.0,113000.0,109045.0,220350.0,73450.0,706250.0,5660.0,5650
109.0,47.0,1837.0,25718.0,26452.8,0.0,3674.0,154308.0,1526.0,1525
160.0,74.0,575.0,1725.0,1725.0,41400.0,1150.0,12075.0,480.0,477
65.0,54.0,606.0,4666.2,4787.400000000001,0.0,1212.0,38784.0,500.5,503
366.0,260.0,10205.0,235735.5,243899.5,979680.0,102050.0,275535.0,8454.6,8470
63.0,16.0,937.0,11525.1,12368.4,2811.0,2811.0,9370.0,774.9000000000001,778
309.0,381.0,2597.0,21814.8,17659.6,153223.0,19477.5,33761.0,2595.6,2597
610.0,575.0,950.0,1520.0,1615.0,111150.0,2850.0,165300.0,976.0,950
562.0,502.0,5727.0,58415.4,65287.8,532611.0,74451.0,715875.0,5732.4,5727
156.0,146.0,2458.0,32199.8,34412.0,95862.0,9832.0,93404.0,2043.6,2040
75.0,40.0,4430.0,217070.0,217070.0,84170.0,35440.0,22150.0,3675.0,3677
136.0,0.0,687.0,2885.4,3091.5,0.0,1374.0,43968.0,571.2,570
96.0,119.0,4530.0,57531.0,46659.0,0.0,36240.0,253680.0,1219.1999999999998,1223
78.0,78.0,1084.0,13550.0,13550.0,9756.0,4336.0,26016.0,975.0,976
51.0,20.0,466.0,3541.6,3215.4,6524.0,5592.0,0.0,387.6,387
1092.0,1300.0,5320.0,21280.0,18088.0,904400.0,69160.0,446880.0,4368.0,4416
134.0,134.0,345.0,724.5,724.5,11040.0,2760.0,3795.0,281.40000000000003,286
75.0,0.0,367.0,1504.6999999999998,1614.8000000000002,0.0,1835.0,3303.0,307.5,305
88.0,36.0,155.0,232.5,248.0,0.0,1085.0,3100.0,132.0,129
3088.0,544.0,4266.0,5972.4,5972.4,3293352.0,34128.0,4304394.0,4323.2,4266
82.0,100.0,440.0,2376.0,1936.0,0.0,1320.0,20240.0,442.8,440
110.0,18.0,1362.0,16888.8,17978.399999999998,0.0,2724.0,89892.0,1364.0,1362
308.0,236.0,2533.0,20770.6,17984.3,0.0,15198.0,210239.0,2525.6,2533
143.0,172.0,225.0,360.0,292.5,675.0,2250.0,7200.0,228.8,225
826.0,396.0,11045.0,148003.0,151316.5,1711975.0,143585.0,3600670.0,11068.4,11045
3460.0,2756.0,32760.0,311220.0,360360.0,10417680.0,786240.0,59983560.0,32870.0,32760
73.0,80.0,2475.0,69547.5,63607.5,0.0,19800.0,79200.0,2051.3,2054
64.0,11.0,252.0,982.8,957.6,0.0,1764.0,14112.0,249.6,252
497.0,454.0,2362.0,11337.6,10156.6,266906.0,18896.0,66136.0,2385.6,2362
288.0,99.0,2963.0,25185.5,23407.7,106668.0,14815.0,0.0,2448.0,2459
494.0,494.0,8706.0,153225.6,153225.6,1218840.0,182826.0,539772.0,8694.400000000001,8706
130.0,14.0,770.0,4543.0,4774.0,0.0,4620.0,50050.0,767.0,770
204.0,229.0,8111.0,322817.8,287129.4,48666.0,291996.0,348773.0,8119.2,8111
17.0,17.0,762.0,34137.6,34137.6,0.0,8382.0,3810.0,761.5999999999999,762
