rely,data,time,stor,turn,acap,pcap,lexp,modp,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_turn,MI_loc_pcap,MI_aexp_data,actual
0.2,1.0,0.0,0.1071428571428572,0.7142857142857147,0.64,0.6527777777777778,0.2631578947368424,1.0,0.0967056323060573,0.3330971779430858,0.1519659936238041,0.0276301806588735,0.0,0.0,0.2763018065887354,0.1515054906128231,1.0,0.1785222176389534
0.2,1.0,0.0,0.1071428571428572,0.7142857142857147,0.3866666666666667,0.4166666666666667,0.0,0.666666666666667,0.2534973258305604,0.2534973258305604,0.3983529405908802,0.0724278073801601,0.0,0.1267486629152801,0.7242780738016019,0.2534973258305604,0.2903225806451616,0.1399057406903572
0.3846153846153847,1.0,0.0,0.0,0.2499999999999999,0.2,0.2222222222222222,0.0,0.2142857142857144,0.1132558666225327,0.0,0.1779735046925512,0.0,0.0,0.0566279333112663,0.1132558666225327,0.0604031288653507,0.0,0.020809015192073
0.0,1.0,0.0,0.0,0.4642857142857144,0.64,1.0,0.0,1.0,0.0505391892127314,0.0505391892127314,0.0794187259057206,0.0,0.0,0.0,0.0938584942522155,0.1212940541105553,0.2903225806451616,0.0205457210310599
0.2,0.0,0.0,0.0,0.4642857142857144,0.3866666666666667,0.2222222222222222,0.0,1.0,0.0122123307956307,0.0244246615912613,0.0,0.0,0.0,0.0122123307956307,0.0226800429061713,0.006513243091003,0.0,0.0023784239211521
0.0,0.272727272727273,0.0,0.3749999999999999,0.4642857142857144,1.0,1.0,0.0,1.0,0.0017595512273305,0.0035191024546609,0.0007540933831416,0.0017595512273305,0.0,0.0008797756136652,0.0032677379936137,0.0042229229455932,0.1583577712609973,0.0032560711245293
0.0,0.272727272727273,0.0,0.0,0.0,0.3866666666666667,0.4166666666666667,0.0,0.2142857142857144,0.004285639623003,0.0085712792460059,0.0018367026955727,0.0,0.0,0.004285639623003,0.0,0.004285639623003,0.1583577712609973,0.0001843059127092
0.6153846153846153,0.0,1.0,1.0,0.4642857142857144,0.0,0.4166666666666667,1.0,0.666666666666667,0.0174387205797808,0.0174387205797808,0.0,0.0465032548794154,0.1046323234786847,0.0348774411595616,0.03238619536245,0.0174387205797808,0.0,0.093829262513055
0.6153846153846153,0.0,0.4545454545454546,0.3749999999999999,0.4642857142857144,0.2,0.2222222222222222,0.6315789473684218,0.2142857142857144,0.0244072402919809,0.0488144805839617,0.0,0.0244072402919809,0.0665652007963115,0.0488144805839618,0.0453277319708217,0.0130171948223898,0.0,0.0366066648528624
1.0,0.0,0.1666666666666668,1.0,0.7142857142857147,0.2,0.2222222222222222,0.2631578947368424,0.4285714285714286,0.0235361753279559,0.0,0.0,0.0627631342078824,0.0235361753279559,0.0470723506559118,0.0672462152227312,0.0125526268415764,0.0,0.0276546633784151
