AFP,Input,Output,Enquiry,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_Input,MI_N_effort_NPDR_AFP,MI_N_effort_Enquiry,MI_AFP_PDR_AFP,Effort
0.0030492963,0.0031917347,0.0070756786,-0.0006096037,0.002587052,0.05148953,0.042353623,0.04752111,0.045162633,0.055154487,0.0046812193,-0.00022860907,0.001959902,0.00043899636,-0.00018816798,0.001404983,0.00013424363,0.0012932033,0.0007688784,0.0052439016,0.0027214508
0.0031144507,0.002972275,0.007668385,0.015143137,0.0013811635,0.03835348,0.032145545,0.036596645,0.035424322,-0.0022451952,0.0062478026,-0.00029357208,0.0017394805,0.00023748074,-0.00019908028,0.0009679991,5.30564e-05,0.00059263315,0.000990281,0.0072471304,0.0046792817
0.005926085,0.008150715,-0.019140054,0.02024268,0.0020120442,0.1332749,0.11847755,0.1273329,0.12556323,0.0205872,0.02518,0.00030646613,0.00906847,0.0011376612,0.0045115664,0.008655241,0.00080687704,0.00781869,0.0019241081,0.022462752,0.023162821
0.0039580744,0.0038359547,-0.0075983144,0.025443688,0.00078481063,0.07214074,0.06358212,0.07050932,0.06982516,0.008712146,0.012990687,-0.00016211637,0.0036451702,0.0005198609,0.001421005,0.003572647,0.00020859315,0.0032513482,0.0018251081,0.01237509,0.010433053
0.0018305825,0.0009954432,-0.0005153944,0.0014781905,-0.0009432556,0.10493049,0.08940594,0.1009834,0.09541655,0.042131945,0.010271993,-0.0005268153,0.004579828,0.0002199487,0.0019179869,0.0042962385,3.5821868e-05,0.0040138713,0.0010476,0.009415716,0.0066380086
0.0011962773,-0.001608097,0.02123002,0.020465577,0.0019856659,0.034974806,0.02574728,0.03277225,0.029529797,0.025744528,0.0027489099,-0.0002123476,0.0021940398,0.00046490156,-0.0006661687,0.00023049006,4.9190654e-05,0.0005842238,0.0017947824,0.004899505,0.0018959823
0.0011171047,-0.0004308587,0.0115827,-0.0014686584,0.0025051022,0.078590974,0.06327121,0.07585744,0.06895307,0.02904543,0.009349853,-0.00016199413,0.0030216125,0.00075277,0.00020084152,0.001640843,0.00028766989,0.002965895,0.0011769681,0.009850017,0.0073340926
0.004742932,0.0042482126,-0.00020640949,0.0024791602,0.0023084842,0.054210693,0.048509855,0.052860186,0.053061478,0.014680758,0.006805488,-0.0004140017,0.0017065969,0.00019075035,0.00055604527,0.0022157237,-3.231573e-05,0.0010324367,0.0003035796,0.0062091867,0.003419081
0.01818136,0.012538976,0.02625607,0.022264495,0.021195471,0.08150169,0.07484811,0.06683207,0.0711336,0.10002251,0.053567477,0.0013930983,0.016519962,0.0026683817,0.009286185,0.016044635,0.0014390593,0.013721798,0.0060001486,0.053254858,0.05031546
-0.00019691046,-0.003924057,0.020837037,0.014780186,0.0020529465,0.052888542,0.0395627,0.05216696,0.04609958,0.00923158,0.0031488389,-0.0002468907,0.002255543,0.0006690129,-0.0007773317,-0.00017761387,0.00013181946,0.0012970297,0.0019986508,0.004868157,0.0020893193
