rely,data,cplx,turn,acap,aexp,pcap,lexp,modp,sced,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_turn,MI_loc_pcap,actual
0.3729316,-0.19862401,0.11426596,0.41434854,0.30426398,0.16615134,0.48321187,0.1916489,0.47165006,-0.2976066,0.30932644,-0.010808205,0.01126905,0.18711556,0.34850332,-0.11061596,-0.13245374,-0.20230463,0.041558925
0.63569546,-0.22711411,0.03881731,0.56095886,0.40577844,0.17252676,0.6413203,0.35272008,0.6276695,-0.5700999,0.5205679,0.014769761,0.0236162,0.33360633,0.6089671,-0.19239224,-0.1427272,-0.29416662,0.12839717
0.4305154,-0.21477205,0.19954905,0.370651,0.25856686,0.20977187,0.38422883,0.29360622,0.44003356,-0.23840252,0.3013747,-0.036877252,0.027825462,0.16491848,0.34801978,-0.15252174,-0.09898384,-0.19498068,0.0799707
0.4307501,-0.26979238,0.16815443,0.34906268,0.36812687,0.16811287,0.5942579,0.13360164,0.5709061,-0.31401777,0.3388906,-0.0016075298,0.04382401,0.1951137,0.38347504,-0.1610945,-0.11382282,-0.17696846,0.042754617
0.30459824,-0.13303837,0.17245007,0.34252572,0.29640487,0.17029086,0.4395129,0.18687612,0.45803165,-0.19446196,0.21930325,-0.020911878,0.020155977,0.1397061,0.24574098,-0.10772226,-0.09190373,-0.1373924,0.03875265
0.36768305,-0.27555615,0.12019922,0.35989332,0.31178123,0.1861162,0.47000867,0.2197066,0.4593107,-0.29784006,0.31428942,-0.024984846,0.008307572,0.1732115,0.36048508,-0.118355505,-0.12354118,-0.18520783,0.052839894
0.4424686,-0.25408083,0.035763696,0.4736868,0.34600377,0.14873865,0.52964544,0.2709337,0.5060369,-0.44029576,0.38310444,-0.007960213,0.012027768,0.2289458,0.45757365,-0.14884134,-0.158077,-0.2650163,0.06212971
0.19214912,-0.18126628,0.06280625,0.26804665,0.38954812,0.1590749,0.5902067,0.059394315,0.48688263,-0.25304005,0.25568867,-0.010963131,0.04629653,0.15821728,0.2636259,-0.07061252,-0.024628427,-0.086003244,0.0414653
0.44589743,-0.24817887,0.21514815,0.3735354,0.33448878,0.20048288,0.4950347,0.15556812,0.5198822,-0.2372114,0.29384145,-0.02422263,0.025384484,0.19306475,0.34241277,-0.14052087,-0.11552307,-0.18378754,0.037976477
0.29702154,-0.18053713,0.107919216,0.36284047,0.31683582,0.14691406,0.4708957,0.18656534,0.46203035,-0.2764951,0.26718774,-0.020445226,0.019932423,0.1581652,0.31579772,-0.11833157,-0.11226645,-0.1564185,0.044897508
0.14653683,0.10132121,-0.22828902,0.34905803,0.6259187,0.059761297,1.0084275,-0.10955552,0.6947238,-0.43315184,0.50261647,0.057267398,0.18997777,0.27651092,0.4753002,0.00040867738,0.16317652,0.015794192,0.1302464
