AFP,Input,Output,Enquiry,File,Interface,Added,Changed,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Dev.Type,Duration,N_effort,Generated_Var_2,Effort
0.0059380457,-0.006131625,0.05214601,0.07441003,-0.0522361,0.012680492,-0.006716893,0.032217987,0.3856186,0.33489594,0.3725547,0.34621575,-0.00047874916,0.07435087,0.13409081,0.5871032,0.1157469
0.00812776,-0.0028493144,0.023389507,0.022674043,0.032438405,-0.008662921,0.0072779926,-0.009253368,0.30533075,0.27803552,0.27342117,0.2775254,-0.0007683933,-0.007712622,0.0300707,0.6017451,0.027072852
0.014811221,0.017687855,-0.0021793558,0.054189313,0.035443794,-6.1302795e-05,0.012634254,0.020996734,0.11790019,0.10266478,0.11197621,0.10401203,-0.0012486689,0.1313029,0.04707422,0.6115285,0.040938117
0.03370482,0.016469235,0.06810082,0.13932623,0.034550518,0.021791425,0.037626714,0.012318216,0.042114764,0.050084494,0.045698956,0.0512432,-0.0011235811,0.12984648,0.065684006,0.55153465,0.06368826
0.04498817,0.03655251,0.06170923,0.097649015,0.054382086,0.008334884,0.05008322,0.014764544,0.09961718,0.10040627,0.09174926,0.10759708,-0.0005629808,0.1007073,0.1414029,0.6015725,0.12608562
0.026330221,0.019768434,0.05543646,0.063396715,0.021567505,0.023997683,0.017006759,0.0505054,0.080628514,0.070139974,0.09671787,0.08882338,0.00011366792,0.09841792,0.10273695,0.6255442,0.08583574
0.012196947,0.007059913,0.041648015,-0.011177201,0.0035594571,0.01091327,0.012056753,0.0009786934,0.13602714,0.11012639,0.14952129,0.13922334,-0.00027875789,0.09182826,0.036755566,0.5841248,0.026369495
0.0076115634,0.0028738584,0.025288403,0.029467037,0.013387952,-0.00065301766,0.010047443,0.004701581,0.15153852,0.14363077,0.13411704,0.14091748,-0.0008591339,0.09650684,0.04889424,0.59886634,0.0472196
0.022796277,0.024685962,0.06708091,-0.02108163,0.0023397822,0.023475863,0.011124312,0.049193874,0.1826203,0.14980507,0.12275301,0.10216185,-0.00159413,0.1143221,0.11513593,0.55742145,0.1144708
0.008294504,-0.0041604172,0.055569585,-0.020377927,0.0018504914,0.0066827605,-0.001153233,0.029362045,0.2601596,0.23989022,0.18546893,0.1901196,-0.0008197287,0.09359439,0.11019619,0.6011949,0.11137451
0.016672743,0.002089657,0.075863175,0.004593778,0.022508848,0.041460358,0.030555394,-0.011253383,0.14987229,0.13062611,0.1054074,0.09695879,-0.001394608,0.22774282,0.04252892,0.543594,0.04758222
0.023715675,0.0033487026,0.068490595,0.04046673,0.02043971,0.031620797,0.038594827,-0.029272318,0.18666548,0.16225363,0.15239029,0.14995551,-0.0015469212,0.1700291,0.055711314,0.5972623,0.06099285
0.012008926,0.009763844,-0.00928628,0.048316795,0.036847573,0.001992958,0.011944426,0.015409436,0.041900773,0.029607788,0.043023936,0.037459612,-0.0012466926,0.044524603,0.0038027763,0.64305127,0.0013612867
0.008518908,0.0047785677,0.002810468,0.05752295,0.023940913,0.0044153146,0.009390307,0.016960371,0.07479209,0.06638113,0.0902863,0.081762135,-0.0011093635,0.06679228,0.03495823,0.5873684,0.02224672
0.009050604,0.0017121565,0.022300918,0.023167942,0.02872739,0.0048667663,0.0059577716,0.013313413,0.07499251,0.072603285,0.07347266,0.08278978,-0.00070479326,0.038661327,0.01593183,0.6160631,0.008477818
0.0133488225,0.0157102,-0.0063662003,0.014018666,0.030088574,0.009302066,0.009634519,0.026560366,0.109769404,0.104507655,0.09805169,0.10452792,-0.0014845431,0.08506652,0.047283582,0.6894249,0.03978494
0.016107287,0.014072904,0.014225167,0.028300395,0.03981372,0.0066104303,0.022614941,0.0045091137,0.07874377,0.06549015,0.06369829,0.06235959,-0.0012089172,0.09236881,0.030136183,0.6279776,0.026728818
0.010987374,0.013539417,-0.03648181,0.047168545,0.042823717,-0.002627452,0.005235569,0.015839789,0.17990181,0.17062855,0.17107078,0.1801394,-0.0011656601,0.071690165,0.0668599,0.6499529,0.058023274
0.00471198,0.00233992,0.008517244,-0.0065455637,0.010220459,0.0061968253,0.004993162,0.014071003,0.06652968,0.06050944,0.0613401,0.06077855,-0.0018144818,0.038779903,0.011378795,0.66741896,0.007102272
0.0077394787,0.0040760674,0.01420422,-0.016634084,0.013528865,0.011737932,0.0049538133,0.00862696,0.03658901,0.03984552,0.034669705,0.043895654,-0.0025760913,0.06485013,0.005310964,0.73156583,0.0022946675
0.0056464933,0.0031937584,0.01583691,-0.0039239456,0.0109672025,0.008953077,0.0054151886,0.012955982,0.11515783,0.09444395,0.12180076,0.11297391,-0.0014887275,0.05322476,0.023832353,0.6266024,0.013853466
0.01710691,0.019245138,0.0042791124,0.0345458,0.020341832,0.009051665,0.0020262923,0.042279013,0.1240914,0.10830997,0.09396369,0.09462041,-0.0009403173,0.1263321,0.036339227,0.5965316,0.0386398
0.011457287,0.0028598886,0.059699286,0.055735525,-0.014285703,0.009500674,-0.0025069504,0.060038,0.10805403,0.10917324,0.1099056,0.12104289,-0.0013594674,0.027800063,0.08160415,0.600229,0.070498936
0.0062949955,2.4605542e-06,0.007810927,0.049416434,0.0184803,0.006617231,0.0060457727,0.012942549,0.04345066,0.037141614,0.043665484,0.043525875,-0.0007155379,0.06939834,0.014484517,0.6104474,0.009971175
0.01744046,0.016823182,0.023024432,0.03324008,0.014791571,0.011730509,0.011932905,0.019375838,0.1302709,0.10767693,0.13292044,0.12804525,-0.000839998,0.07038914,0.04090729,0.6552148,0.035961457
