Transactions,Entities,PointsAdjust,Envergure,Generated_Var_2,Generated_Var_4,Generated_Var_6,Effort
0.14816234,0.38401866,0.2831037,0.53810287,0.7153504,0.325775,0.69794023,0.17395438
0.3037216,0.14515778,0.32478258,0.5811816,0.55064046,0.36332008,0.5087529,0.23110843
0.108214736,0.1402558,0.15188795,0.4565858,0.87575,0.11519438,0.8523372,0.06593841
0.13846038,0.21449625,0.20225942,0.23675823,0.7320575,0.38755947,0.7501758,0.073529005
0.13191052,0.36486843,0.27102214,0.7533396,0.9455985,0.20757736,0.9319529,0.1904863
0.068718605,0.0391117,0.082137264,0.5033356,0.81941795,0.15478376,0.8998592,0.06698592
0.2955983,0.8336093,0.58321977,0.5418509,0.2410773,0.70037055,0.27228388,0.5682361
0.40505284,0.36616623,0.45157874,0.90840346,0.3776134,0.5719061,0.39756626,0.5945338
0.15986343,0.34687522,0.28772783,0.77551657,0.93005943,0.20855781,0.94383746,0.18714204
0.07124293,0.14165679,0.13002303,0.29510227,0.5628393,0.46563682,0.5297415,0.046439257
0.14879389,0.20519456,0.20857267,0.27320242,0.8207211,0.22498196,0.8150314,0.09962635
0.1635187,0.20754424,0.20217691,0.6614441,0.65146315,0.3397839,0.58328325,0.10188934
0.119439304,0.26713952,0.20555374,0.42233953,0.6122827,0.47924626,0.6158046,0.07719539
0.14058505,0.20931652,0.20703298,0.42486477,0.555478,0.47786394,0.46580753,0.08517401
0.13742946,0.29857963,0.22166185,0.77593064,0.8595883,0.23914613,0.8244421,0.18816392
0.16452691,0.32200342,0.25166547,0.89534813,0.6672335,0.45156115,0.67256886,0.27255058
0.16047232,0.3389292,0.26218238,0.73430014,0.61988276,0.39293256,0.5788773,0.25344825
0.29295093,0.2135586,0.32289723,0.63702285,0.38476574,0.560107,0.29685822,0.16207613
0.130506,0.30541927,0.23917829,0.68243015,0.7238862,0.35646275,0.72112,0.15570317
0.38606712,-0.06215018,0.31665832,0.62747836,0.46374264,0.47945055,0.36392823,0.19938819
0.17650892,0.30331862,0.2844621,0.60509974,0.966479,0.16460666,0.9508072,0.13572887
0.15950422,0.3862354,0.28854644,0.7999878,0.8083088,0.30240712,0.7934521,0.23927337
0.07119276,0.28405604,0.18972124,0.19955395,0.58266467,0.48220864,0.6240248,0.033217665
0.008370977,0.4388261,0.1978051,0.07355564,0.41789687,0.55789524,0.44612175,-0.04704717
0.10488834,0.34210154,0.22043346,0.34695727,0.73415744,0.34127644,0.7983229,0.08597925
0.1541341,0.21721861,0.21221562,-0.15195867,0.3751997,0.58982605,0.32599717,-0.025239311
0.16611071,0.3486261,0.25727883,0.52293277,0.89630383,0.21171269,0.77035874,0.014259897
0.31644896,0.29448256,0.39359367,0.6692276,0.9944424,0.29085678,0.9873988,0.17432687
0.079514176,0.1236058,0.1254899,0.4568113,0.6040951,0.42836475,0.5551158,0.07889965
0.06973804,0.3356949,0.20773236,0.31166795,0.48731163,0.5354366,0.5171774,0.025147106
0.17106533,0.2000787,0.24501756,0.51973194,0.8263097,0.31880027,0.8396046,0.114703745
0.1641243,0.24279492,0.26245904,0.61712104,0.81292135,0.3793015,0.9001286,0.12508835
0.02470825,0.013564758,0.05915048,0.37449867,0.78831196,0.18334661,0.8762128,0.061408695
0.13029309,0.36817682,0.24642098,0.7684823,0.6460104,0.43047673,0.6895016,0.21369028
0.12415074,0.025913656,0.15130869,0.6051396,0.67410475,0.1358045,0.6539939,0.07844071
0.3209953,0.542265,0.4783579,0.67060834,0.31058645,0.6761807,0.32552198,0.593074
0.1699257,0.3537962,0.26459518,0.82391214,0.6373154,0.34761912,0.6210042,0.26690757
0.1296686,0.2578679,0.2152311,0.5177421,0.82738847,0.16902235,0.7871773,0.08823407
0.025827685,-0.00243254,0.054421034,0.30173394,0.72854,0.14247268,0.82183045,0.0042183027
0.023991583,-0.067858174,0.033112414,0.3370046,0.68112284,0.16317609,0.8423756,0.015181348
0.11472641,0.2401747,0.1909239,0.45764208,0.6559312,0.35352337,0.5988264,0.07047157
0.32536831,0.33701685,0.39489362,0.46706006,1.0114305,0.24902445,0.96733683,0.09203945
0.1418903,0.38161698,0.254087,0.91816545,0.6547904,0.40317556,0.68409485,0.27668136
0.06628846,0.47437137,0.24905394,0.32099408,0.4525705,0.54289615,0.44681817,0.036552344
0.38456535,0.31623745,0.42580128,0.8934943,0.3508065,0.63155884,0.39808816,0.58064723
0.20607683,0.11981039,0.22834367,0.41590977,0.6236349,0.31879634,0.5449077,0.08722964
0.30711997,0.5040206,0.44896552,0.8079747,0.23459649,0.74690527,0.13852483,0.261148
0.117955,0.4362218,0.27501997,0.7201977,0.60794485,0.47047564,0.6391988,0.2070325
0.15658951,0.24677089,0.22506411,0.8711499,0.753686,0.28107062,0.7515664,0.24170884
0.2078581,0.6881157,0.41840497,0.63456774,0.37109184,0.6197794,0.37656048,0.3711335
0.10789156,0.35611317,0.21732819,0.747979,0.80366796,0.2833049,0.77940285,0.18193065
0.15969269,0.33136794,0.27586398,0.7283018,0.6832896,0.24341965,0.66885895,0.25660586
0.20846072,0.40564367,0.32922637,0.89445716,0.69274515,0.35576835,0.70047915,0.35442957
0.22473097,0.35426864,0.3335898,0.77770066,0.6585567,0.29775438,0.6584153,0.35206464
0.142567,0.23860873,0.23066887,0.43330228,0.89939445,0.15010603,0.8746116,0.074494526
0.2683127,0.5342196,0.42278808,0.8454324,0.33215252,0.6129694,0.35728022,0.41069284
0.13926163,0.33109134,0.25708523,0.7256862,0.88385904,0.18065925,0.87272495,0.19519526
0.13639295,0.3161332,0.22993757,0.73538435,0.8808108,0.18168065,0.8552119,0.16793928
0.255418,0.8660642,0.5650109,0.46669742,0.27600533,0.68434966,0.27495432,0.4674519
0.12371041,0.11618453,0.1555823,0.56906676,0.88930005,0.12241816,0.88422424,0.07890023
0.16226928,0.35667068,0.2798878,0.70702964,0.5106058,0.5136552,0.49930695,0.31374127
0.14064594,0.31800807,0.23831894,0.59589595,0.8092927,0.2402759,0.7795111,0.13857557
0.2128629,0.4512346,0.34636194,0.48783013,0.39761204,0.58934635,0.35992184,0.24773848
0.21520619,0.16226174,0.27077863,0.40682438,0.74743026,0.26186252,0.61547273,0.0062331557
0.24154395,0.23473626,0.31851244,0.61953515,0.8738261,0.34071672,0.74030334,0.021537397
0.23616335,0.4940143,0.37028232,0.69557625,0.41354004,0.56227577,0.39593983,0.38137123
0.19403379,0.29046655,0.29497188,0.6125065,0.9632795,0.18617521,0.9444205,0.13664016
0.29829407,0.4161182,0.38937145,0.8841819,0.45967367,0.528726,0.47477144,0.49999854
0.105145745,0.30172688,0.216546,-0.07015906,0.38538212,0.5906657,0.33741713,-0.004869759
0.14151527,0.26525038,0.20906694,0.5834321,0.9104441,0.22630313,0.8433954,0.09681626
0.21306969,0.30129123,0.28349227,0.85804164,0.4877861,0.49020797,0.48232028,0.35756153
0.4197801,0.3732294,0.49830177,0.6047607,0.21636324,0.67421865,0.2509334,0.5688296
0.13169314,0.24177341,0.20815492,0.4546392,0.8300962,0.21443309,0.8065021,0.08687335
0.16428459,0.25314045,0.21853516,0.5883577,0.42009473,0.5841247,0.3629331,0.08390461
0.124803305,0.21623495,0.18780477,0.26397747,0.59464574,0.33245707,0.5326754,0.01569482
0.22005305,0.3072314,0.2978151,0.8530384,0.4727787,0.50528777,0.502009,0.36201867
0.10143223,0.1442551,0.13431834,0.53400004,0.6781818,0.35947224,0.65394515,0.07677825
0.11731614,0.24530458,0.20221171,0.7959444,0.75174206,0.35583296,0.7894676,0.16362192
0.36192045,0.06978418,0.4120587,0.5760959,0.4956702,0.35524467,0.5703695,0.30475023
0.14237723,0.18976791,0.19787452,0.468913,0.8830529,0.18889697,0.9251765,0.10628706
0.23482904,0.45355317,0.36202744,0.53744,0.3866507,0.59911805,0.37338865,0.3897068
0.31876302,0.2792123,0.3654583,0.5441451,0.35223052,0.5854194,0.30773705,0.31565365
0.12069361,0.26884514,0.20644917,0.8114826,0.7791621,0.3292131,0.7630525,0.16683887
0.25007927,0.34564415,0.2959684,0.87170386,0.47779047,0.43450326,0.42700154,0.34482586
0.16094883,0.28640997,0.25508806,0.53601193,0.9418233,0.15039518,0.90389323,0.10988496
0.22889736,0.19492993,0.29380843,0.7079073,0.96490705,0.23818992,1.0046942,0.19305544
0.16383193,0.27303645,0.253479,0.34612572,0.9341108,0.15802024,0.93926805,0.008175287
0.13163492,0.14853719,0.16630997,0.48230034,0.7258051,0.3757495,0.6154647,0.029905196
0.06601743,0.23304757,0.1502807,0.22763741,0.522423,0.46467593,0.47784507,0.039304372
0.17271821,0.16786557,0.2040285,0.14388365,0.45701227,0.50184715,0.38398907,0.032392237
0.20711848,0.18357962,0.28364062,0.48698756,0.61831814,0.25844824,0.6067244,0.16575074
0.09920082,0.16273299,0.16154878,0.26357377,0.59791046,0.48141629,0.57121485,0.06789118
0.20192017,0.25214785,0.28705662,0.59115624,0.91074306,0.21352637,0.90841025,0.12554419
0.189672,0.08619019,0.20808235,0.20949589,0.51271594,0.5564776,0.41037706,0.024505999
0.121050924,0.33843747,0.24899113,0.7245192,0.87430465,0.22450535,0.83442044,0.16091852
0.058514588,-0.017346881,0.047988266,0.38269886,0.72126186,0.1892536,0.87111855,0.062692195
0.16964844,0.30549026,0.27211615,0.69259167,0.9155953,0.21636489,0.94034785,0.16421463
0.19157639,0.18085492,0.25328547,0.56478876,0.8340448,0.34241086,0.88695514,0.10734008
0.28316364,0.54094845,0.44527668,0.6204903,0.31123,0.6238451,0.31690708,0.52265173
0.12557667,0.23212421,0.21384202,0.6164966,0.82139677,0.1284571,0.7487168,0.12210773
0.22087286,0.7720789,0.48778075,0.6664877,0.32215902,0.64429367,0.3723577,0.40261698
0.11916062,0.16317314,0.17827235,0.5442557,0.91210645,0.13882944,0.90377176,0.09900239
0.11183083,0.47427875,0.2850347,0.6203834,0.7539771,0.42542818,0.8233953,0.12131871
0.122281834,0.39642888,0.2715967,0.6277234,0.84556115,0.2332564,0.8586373,0.16800228
0.20451257,0.2176719,0.25510633,0.60891503,0.6460715,0.39268482,0.5809751,0.15278886
0.13058318,0.27091503,0.19535477,0.6436832,0.9041373,0.22528048,0.8203341,0.09479825
0.44072002,0.6628322,0.624572,0.64324045,0.13670737,0.72347856,0.19921133,0.71191275
0.0751605,0.1244576,0.12593749,0.37526062,0.842508,0.1473043,0.8887872,0.049891625
0.07841698,0.12638663,0.12481277,0.2699374,0.5617022,0.48520505,0.5068173,0.032678563
0.066469505,0.6647433,0.3398513,0.467908,0.42879185,0.5150185,0.43294197,0.1859031
0.14869364,0.28941327,0.24246582,0.6054927,0.88987267,0.18263617,0.88573724,0.118668124
0.1881437,0.4582417,0.3233158,0.33526015,0.36311185,0.57545096,0.3209648,0.19291689
0.10035904,0.19820938,0.1642045,0.17043425,0.47550073,0.50545084,0.4217258,0.009127904
0.14105557,0.2837286,0.23718128,0.59230554,0.7337449,0.36629817,0.7422959,0.13492523
0.24870685,0.21835697,0.28446957,0.5863757,0.47452682,0.5169303,0.42400223,0.21716732
0.12639637,0.09482135,0.15791194,0.4534818,0.8602163,0.18688135,0.9355965,0.111210644
0.19997528,0.17157982,0.25358525,0.4954016,0.83828706,0.31742254,0.8030044,0.09776208
0.11298181,0.16769092,0.1671642,0.61729544,0.9086324,0.11126481,0.90081453,0.09953377
0.13350813,0.42259666,0.26624498,0.5553538,0.5107968,0.5218626,0.4700183,0.23250356
0.11391322,0.24540189,0.19292758,0.3230304,0.59990245,0.40333802,0.5580719,0.05271939
0.20745254,0.24835087,0.27729654,0.48509824,0.80725247,0.28452045,0.67702675,0.014970135
0.19961403,0.20219783,0.28343758,0.59118634,0.94732714,0.18202648,0.9835864,0.16476426
0.18753834,0.4681404,0.3297493,0.87339914,0.545822,0.481884,0.5595278,0.3578851
0.1889911,0.60759664,0.3970189,0.4751778,0.3437562,0.56517637,0.32094353,0.29842752
0.10941853,0.22025004,0.18044177,0.6991093,0.7485827,0.36169672,0.778578,0.14227088
0.32862094,0.25187027,0.3475833,0.6936753,0.4040381,0.57170355,0.36850962,0.38323945
0.20552853,0.23765817,0.27150607,0.39539263,0.91972697,0.1843161,0.89164734,0.10004775
0.042225458,0.11478078,0.10167608,0.47380543,0.7970213,0.11078481,0.8081579,0.058761414
0.15624644,0.6482323,0.39152256,0.41426826,0.37658873,0.6273237,0.3442354,0.16655383
0.3524735,0.65579283,0.54388714,0.77441347,0.33457357,0.65429425,0.3622213,0.62327397
0.12139268,0.25962937,0.20986679,0.6870902,0.99743944,0.110041425,0.9681422,0.12983492
0.13019824,0.19313064,0.19264975,0.6514141,0.7857378,0.31878382,0.7134438,0.06821056
0.17892203,0.40486693,0.3184719,0.8547457,0.67541766,0.39705783,0.674404,0.30896682
0.46636006,0.26163846,0.5061593,0.56302035,0.32012597,0.6350651,0.34377867,0.4423746
0.17909116,0.3440142,0.2784656,0.38011956,0.4430298,0.5395563,0.39752537,0.19291517
0.41392824,0.2610721,0.44541913,0.7219869,0.39965004,0.5806898,0.40746677,0.4798701
0.09855929,0.3344431,0.21649817,0.69908524,0.65137917,0.4302791,0.68398213,0.17150702
0.22372879,0.1477066,0.22793111,0.68248063,0.5885539,0.41181487,0.51925874,0.17245726
0.1101487,0.12660886,0.15166877,0.44787648,0.81841373,0.1280151,0.79876745,0.033094328
0.19265084,0.27065742,0.27648643,0.26721913,0.40625378,0.5632979,0.3534532,0.16645709
0.11724657,0.28149265,0.2033264,0.69875765,0.8925493,0.15269418,0.81140774,0.12905766
0.16856985,0.30286992,0.27418968,0.7083246,0.8950337,0.22719511,0.920123,0.17000575
0.14470705,0.21664174,0.22517127,0.55554485,0.7615924,0.17510498,0.7419851,0.09999581
0.25020385,0.43735516,0.37164655,0.7189241,0.4268475,0.57974523,0.4267888,0.42554936
0.058369875,0.34963998,0.19190574,0.23923454,0.48708653,0.4994996,0.42542,0.03416357
0.15616794,0.20599142,0.2363522,0.651117,0.9610704,0.1477533,0.9792008,0.12883747
0.11324392,0.27316725,0.1983286,0.3267686,0.73611724,0.30429468,0.7592298,0.06202295
0.18860982,0.17361432,0.22291628,0.3951876,0.55302197,0.44704488,0.45859078,0.0766699
0.10318203,0.16215903,0.16892378,0.51288754,0.9244641,0.14578325,0.9572963,0.1130739
0.16212814,0.26626197,0.23912682,0.5164465,0.91630423,0.18316615,0.89156055,0.12238121
0.122417375,0.1529558,0.183792,0.569882,0.8863441,0.1550683,0.89293516,0.12425114
0.15961565,0.24491222,0.23930624,0.41624668,0.8156617,0.33656454,0.83150303,0.11720459
0.11404382,0.22328104,0.18769413,0.66212726,0.5830922,0.4331048,0.5562352,0.20613562
0.1514989,0.34396565,0.27164885,0.6620633,0.767518,0.28686038,0.7055924,0.13253878
0.10402588,0.51521116,0.28629133,0.6183764,0.66564775,0.43814543,0.71327686,0.15452754
0.1300017,0.19839448,0.19087894,0.29960763,0.73820204,0.3747963,0.7273005,0.09984948
0.11712052,0.24136539,0.19319998,0.51381266,0.80472225,0.2610306,0.80321854,0.08866078
0.1527292,0.27645814,0.22679625,0.50767475,0.8863801,0.21126013,0.7709308,0.07243645
0.5471705,0.23416829,0.55904305,1.1181079,0.094236895,0.87727237,-0.024590123,0.48825398
0.07779384,0.14736082,0.14999996,0.37294108,0.8355415,0.100410655,0.8654753,0.026391242
0.2549138,0.20508713,0.30202654,0.6465696,0.62091875,0.3714004,0.5820829,0.21999115
0.13878772,0.16251306,0.19285026,0.38546994,0.8822036,0.196232,0.8914461,0.0709922
0.08459223,0.2525846,0.17816876,0.54287213,0.6230279,0.41894925,0.6583645,0.0981351
0.10492063,0.33694267,0.22601381,0.603523,0.7415456,0.38875654,0.77071613,0.11336106
0.11571133,0.26397878,0.2020158,0.46181834,0.95910925,0.11821306,0.9308855,0.054341484
0.358926,0.17602733,0.3316347,0.94744575,0.39067438,0.542801,0.32045472,0.38481766
0.19256307,0.033354945,0.17985189,0.52442664,0.4471026,0.43652102,0.37095734,0.014298204
0.13408262,0.122720644,0.16851439,0.62039006,0.8204605,0.14334649,0.78663266,0.08347702
0.11271949,0.18418473,0.1926564,0.59870493,0.9129351,0.1648294,0.94489205,0.119818464
0.20142572,0.25356287,0.3041832,0.75564677,0.99133164,0.22749518,1.0191569,0.16396789
0.1244548,0.18674691,0.1770614,0.38000533,0.8892111,0.15082993,0.87345374,0.073839754
0.14925513,0.27921766,0.22992136,0.5236638,0.9262554,0.13976611,0.89151084,0.10789707
0.14193688,0.4559352,0.27508652,0.7075705,0.5089353,0.5176066,0.459017,0.17083934
0.08239842,0.2101784,0.15361553,0.7265563,0.6941463,0.37006387,0.6731939,0.11753219
0.09843221,0.121957205,0.13019525,0.40684307,0.8119688,0.14439248,0.8483322,0.075404495
0.28002757,0.39750072,0.38016775,0.68633693,0.47380498,0.5565497,0.46960494,0.3492415
