data,turn,acap,aexp,pcap,modp,sced,loc,Generated_Var_2,Generated_Var_4,Generated_Var_5,Generated_Var_7,Generated_Var_8,Generated_Var_9,actual
0.14724801,0.23059435,0.065496996,0.29411033,-0.0085081905,0.29278606,0.18522246,0.12452229,0.5137108,0.32881373,0.50471157,0.20313397,0.21865934,0.33337814,0.09838134
0.24405415,0.19825594,0.15220436,0.029711422,0.23122866,0.1931395,0.024384003,0.084900886,0.14593446,-0.09905391,0.28753483,-0.15986848,-0.22693865,0.11539306,-0.039045017
0.101813465,0.14542802,0.041489206,0.11048767,0.008390725,0.13145839,0.059301913,0.060992263,0.20286658,0.05453815,0.30752146,-0.074082814,-0.065660596,0.11668094,-0.030294314
0.17476737,0.25430623,0.11863904,0.359884,0.064958,0.40741655,0.20967996,0.14508975,0.5886859,0.3776101,0.55553937,0.27896667,0.28923014,0.4254238,0.14311719
0.7288978,0.67664486,0.5836294,0.7698815,0.57254267,0.9356439,0.25114828,0.42184675,0.743042,0.4017119,0.8483664,0.43644574,0.3148123,0.6708082,0.40725994
0.89769584,0.7736252,0.69751745,0.8440721,0.66017723,1.0743791,0.26506287,0.5026269,0.74001724,0.33813372,0.87134963,0.3982571,0.23663165,0.7104515,0.45198926
0.05229843,0.14890671,0.010507468,0.14094552,-0.03563016,0.18838038,0.12044555,0.049947433,0.3558643,0.17434138,0.3571015,0.021810332,0.04859284,0.19605352,-0.0028532688
-0.15484683,0.031487525,-0.07775451,-0.09454603,-0.10785878,0.2252359,0.07364412,0.028323319,0.2161296,-0.123896085,0.20582807,-0.27049485,-0.31689742,0.010175131,-0.08765282
0.3383198,0.3638659,0.25623184,0.34407833,0.2376646,0.37784088,0.089687966,0.1827486,0.33723283,0.15315825,0.42325813,0.09863679,0.052599095,0.3046626,0.11860062
0.07914606,0.17099836,0.0375734,0.09104273,0.04481865,0.18494415,0.07179103,0.06300835,0.26024273,0.10752281,0.31096768,-0.021091115,-0.013163865,0.15991834,-0.028467543
-0.009352058,0.13771251,0.031016856,0.27367875,-0.11107467,0.48506784,0.2984784,0.14136931,0.7335487,0.39895397,0.58227825,0.25937414,0.30221567,0.46713808,0.1241124
0.06467476,0.13317776,0.03223206,0.09348397,0.015587512,0.15140292,0.07563844,0.05019703,0.24601796,0.07429918,0.2896116,-0.050771765,-0.03998715,0.13029511,-0.027452748
0.85318226,0.77350795,0.6857903,0.7518684,0.71131027,0.9816433,0.20742154,0.43528402,0.6083073,0.28235337,0.7525527,0.37790164,0.19683388,0.61835885,0.34544253
0.0771955,0.16293025,0.044233717,0.12688734,0.022815082,0.18025836,0.07504251,0.062553965,0.27089864,0.105060935,0.30776638,-0.040079847,-0.023736458,0.15757987,-0.011568261
0.079355836,0.18355855,0.0052876063,0.25825804,-0.07567574,0.318154,0.2188405,0.1072439,0.5936478,0.37366715,0.548604,0.22494176,0.25498316,0.38397068,0.107853875
0.7438257,0.71802217,0.6233575,0.6601069,0.6290439,0.8666613,0.17319947,0.3582791,0.5391852,0.23749614,0.67238444,0.2911121,0.1248405,0.5274241,0.28021595
0.49253482,0.4749471,0.328873,0.45093384,0.32935712,0.4623731,0.10992545,0.21732476,0.44563878,0.22018325,0.512008,0.23389472,0.13610852,0.36259136,0.14541142
-0.009906612,0.08830717,-0.026282635,-0.021368913,-0.04332187,0.15276468,0.044925895,0.036590267,0.20341711,-0.019272894,0.2479466,-0.18071732,-0.17182054,0.081076436,-0.058272544
0.07231387,0.13855496,0.00077361055,0.07557583,-0.055278376,0.1331874,0.11400977,0.07345432,0.28780204,0.051571604,0.3570481,-0.07070237,-0.07509136,0.16006124,-0.0032095509
