YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
0.4,0.2782212086659065,0.1184210526315789,0.2201138519924098,0.6170212765957447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26665223,-0.097791165,-0.29617658,0.017409973,-0.41296208,0.37637797,-0.032381024,-0.16258767,-0.24784893,0.16956078,-0.3380723,0.1968880909634949
0.6,0.2143671607753705,0.3078947368421053,0.2352941176470588,0.5957446808510638,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22369102,-0.112501,-0.22475544,-0.027323145,-0.36112642,0.33697718,-0.04281615,-0.16613118,-0.25002757,0.14245981,-0.28602695,0.2175344105326152
0.4,0.0353477765108323,0.1394736842105263,0.0256166982922201,0.2765957446808511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25576288,-0.12324969,-0.2687663,-0.011343237,-0.39862487,0.36291385,-0.03410712,-0.16968817,-0.26047212,0.15567811,-0.31630778,0.0110712148414123
0.6,0.217787913340935,0.2947368421052631,0.2333965844402277,0.5319148936170213,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2262899,-0.114065036,-0.22829828,-0.02742986,-0.36436862,0.34000766,-0.042847414,-0.16710815,-0.251531,0.14392312,-0.28882942,0.1403351286654697
0.6,0.1493728620296465,0.2289473684210526,0.1527514231499051,0.4042553191489361,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22674158,-0.11458637,-0.2300686,-0.028110258,-0.36493757,0.3405327,-0.04290373,-0.16774976,-0.25191194,0.14437042,-0.28855014,0.06852184320766
0.6,0.1003420752565564,0.2157894736842105,0.1072106261859582,0.7021276595744681,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23011228,-0.1155916,-0.23270556,-0.025869027,-0.36898643,0.3438363,-0.042511526,-0.16731624,-0.25272983,0.1457921,-0.29346576,0.0972471573907839
0.4,0.1254275940706955,0.0921052631578947,0.0834914611005692,0.425531914893617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12651631,-0.07435657,-0.13371044,-0.035207704,-0.25148073,0.2441922,-0.044591743,-0.1352842,-0.21359514,0.08823697,-0.18907432,0.0864751645721125
0.0,0.201824401368301,0.1184210526315789,0.1565464895635673,0.425531914893617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2613694,-0.105048984,-0.28563473,0.009788096,-0.40674913,0.3704438,-0.03500385,-0.16242549,-0.248396,0.16498016,-0.33456364,0.1439257929383602
0.4,0.185860889395667,0.2131578947368421,0.1774193548387097,0.5319148936170213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16915533,-0.089557916,-0.17598757,-0.021389637,-0.29843417,0.28188497,-0.039887883,-0.14112641,-0.22482632,0.115823284,-0.23260157,0.3123877917414722
0.0,0.0786773090079817,0.081578947368421,0.040796963946869,0.4042553191489361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23245355,-0.11220509,-0.24918821,-0.0065042637,-0.37476355,0.3376876,-0.038212832,-0.15627511,-0.23879878,0.14800563,-0.30030543,0.0801915020945541
0.2,0.1801596351197263,0.2421052631578947,0.183111954459203,0.4042553191489361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16275331,-0.08408964,-0.15989181,-0.02653746,-0.2856955,0.27341852,-0.04234411,-0.14188102,-0.22068612,0.107906036,-0.22158377,0.1505086774386594
0.2,0.1562143671607753,0.2763157894736842,0.1755218216318785,0.7446808510638298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14416212,-0.07580667,-0.14855942,-0.024317201,-0.26583174,0.25695026,-0.04194184,-0.13289651,-0.21223609,0.096951306,-0.2075418,0.3635547576301616
0.2,0.0273660205245153,0.1710526315789473,0.0303605313092979,0.2978723404255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19700864,-0.08950258,-0.21031293,-0.0043831132,-0.33057126,0.304952,-0.03749364,-0.14443621,-0.22719629,0.12515126,-0.26153946,0.0742070616397366
0.4,0.1744583808437856,0.1421052631578947,0.1423149905123339,0.574468085106383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2501838,-0.12039634,-0.26423678,-0.008444566,-0.3943485,0.35888463,-0.040181782,-0.16376138,-0.251562,0.15565915,-0.32157516,0.1549970077797726
