size_D,duration_D,app,har,dba,nlan,telonuse,t01,t03,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_4,Generated_Var_5,effort_D
1.0084089,-0.00020702183,1.4449161,1.5240395,1.137452,1.8336289,-0.11850625,1.1040088,0.6544718,0.9318849,0.7983956,1.0311041,1.1828065,1.8395298,1.5875555,1.5003548,1.9972135,0.5835078,1.1941264,1.1417471,1.8454276,1.1087797,0.3858485
0.38649324,-0.06669256,1.0480058,0.70397764,0.86399746,0.4983775,-0.1834236,0.6968441,0.0048809797,0.72727835,0.6573897,0.6340605,0.818487,0.8602765,0.78368306,0.66688675,0.93584204,0.15269098,0.5739589,0.28443262,1.0859765,0.7479221,0.12570609
0.5060812,0.024783544,0.7629572,0.8855417,0.58617616,1.1183399,0.5508373,0.61833906,0.27602503,0.46737567,0.6961067,0.66777796,0.6499556,0.92628694,0.7302074,1.110342,1.0629561,0.27271062,0.57732445,0.5377004,1.1762193,0.5746561,0.14237297
0.33228067,-0.0086422255,0.7797796,0.6698928,0.6244861,0.6616788,-0.09597534,0.5816821,0.21356127,0.4607989,0.4867167,0.54015636,0.6063383,0.8274926,0.7107695,0.6557563,0.8499778,0.28022262,0.5597265,0.48157728,0.8836206,0.63749784,0.12028694
0.24638847,-0.039275654,0.85195714,0.60710937,0.6961773,0.47047764,-0.12734729,0.55825007,0.028133731,0.56554806,0.5529979,0.50794274,0.63864285,0.7167525,0.6574787,0.57939595,0.75357217,0.19343886,0.5010973,0.30783314,0.85629886,0.58155435,0.09116396
0.2592098,-0.036824126,0.83100873,0.55620575,0.6938858,0.41206974,-0.13716651,0.55837536,0.010824837,0.5694688,0.5636339,0.49530816,0.65428287,0.6562807,0.63653386,0.5554344,0.7309841,0.15355183,0.49283284,0.2810639,0.8157577,0.5993851,0.10502924
0.41495153,-0.016145404,0.9936715,0.8082633,0.75264055,0.68628216,-0.013182491,0.6686292,0.12186747,0.6107425,0.5966368,0.6501475,0.7462796,0.92173404,0.7655908,0.7719015,0.97071344,0.27822667,0.5646169,0.39814353,1.0992565,0.6710827,0.10792452
0.51412296,-0.004113379,0.7578678,0.8754918,0.5987208,1.0938993,0.64528096,0.61005646,0.261923,0.49354076,0.708056,0.6128049,0.6102457,0.901402,0.7120878,1.1211132,1.0298343,0.2153009,0.5108271,0.4937303,1.1391697,0.49735484,0.1570831
0.68093294,-0.095163636,1.6108801,1.185061,1.3679814,0.86017805,-0.20038265,1.0591108,-0.16559076,1.1641563,1.0633624,1.0474868,1.3735859,1.3981469,1.1678587,1.0924969,1.5089805,0.11726873,0.8291752,0.3142261,1.7357355,1.105428,0.2710873
0.5735676,0.036104377,0.7744561,0.8171733,0.64208823,1.0613339,-0.015707888,0.7153853,0.4452347,0.46509317,0.54216987,0.7330883,0.7523907,1.1068912,0.9033762,0.8880892,1.2230792,0.33608678,0.7585763,0.71390194,1.1241299,0.8477594,0.21255468
0.38335007,-0.06340315,0.9932651,0.8278819,0.80140954,0.67526305,-0.13973103,0.624323,0.028742619,0.6464538,0.5997081,0.6486964,0.79118514,0.9966013,0.830979,0.7402409,0.9780403,0.16425283,0.65198547,0.4317423,1.0962763,0.69998634,0.14225635
0.31963813,-0.04111601,1.0778764,0.67642605,0.928021,0.49460733,-0.22500004,0.6906003,-0.087579794,0.7535672,0.7436309,0.62717223,0.8531978,0.8562313,0.7887635,0.64317274,0.89014,0.16802756,0.59513223,0.27720633,1.0034666,0.70544934,0.13607584
0.41769853,-0.09268671,0.9576247,0.77645373,0.8618193,0.7447618,0.4284271,0.6555895,0.03343255,0.696876,0.93521756,0.63676417,0.78621405,0.94635385,0.7028317,1.0066606,0.9968167,0.18234006,0.5586922,0.28311568,1.187204,0.6397728,0.12426056
0.5873415,-0.03365702,1.0069274,0.84071034,0.8599093,0.938473,-0.28846812,0.8171836,0.32897827,0.65581214,0.5907275,0.78414494,0.8908985,1.2158996,1.0240347,0.85693884,1.2739316,0.25871876,0.7782703,0.6371027,1.2489357,0.98146945,0.1966946
0.8347351,-0.005823753,0.9137674,1.2600194,0.8279119,1.7937373,1.8600537,0.86460924,0.41663745,0.6688918,1.3709488,0.9097293,0.85048556,1.2709322,0.7746579,2.0076084,1.5844061,0.20142135,0.5932755,0.5350753,1.809914,0.61707646,0.23363087
0.6356164,0.11270257,0.7069398,0.585305,0.6689044,0.90148914,-0.38411278,0.84161174,0.5578866,0.48269024,0.4237076,0.80803674,0.83733577,1.1338017,0.9113352,0.64268976,1.2913916,0.2583183,0.7748981,0.7004418,1.0518942,1.1466644,0.2172272
0.38862354,0.0061344937,0.96295875,0.82578665,0.73695624,0.7757322,-0.04910875,0.63286346,0.18615298,0.5708152,0.5668212,0.61465335,0.69395435,0.9487928,0.8174887,0.7834006,0.9728974,0.30341676,0.6377651,0.5318168,1.0682944,0.6428687,0.14089996
0.6570498,-0.06044235,0.8566056,1.0093354,0.81551707,1.3785267,1.3852782,0.77741396,0.23200008,0.6703848,1.1978071,0.775179,0.8110742,1.0787051,0.6936822,1.6191204,1.3572475,0.117926836,0.546462,0.41717857,1.5391172,0.59825295,0.19802518
0.27799472,-0.005419596,0.8189753,0.63335115,0.6375682,0.52684546,-0.07523651,0.54236704,0.090648666,0.49636468,0.5178348,0.49871576,0.59897625,0.71455437,0.6421343,0.60330564,0.7581184,0.23793316,0.50645167,0.3614043,0.8404912,0.5643132,0.10289219
0.5486879,-0.051447112,1.316212,0.9773809,1.0675942,0.7336936,-0.15006343,0.8621964,0.05306801,0.87262404,0.783239,0.8084168,1.0156286,1.190347,0.9854475,0.9102897,1.240622,0.22721612,0.6891264,0.38181555,1.4334471,0.89840716,0.1605525
0.38885424,0.030929819,0.708045,0.5186764,0.60122657,0.5794609,-0.27673393,0.6484723,0.31112364,0.44548982,0.41769737,0.6221193,0.6524288,0.8466628,0.6981278,0.5386431,0.88855445,0.20475602,0.5706004,0.48266554,0.86239976,0.82743394,0.11897248
0.4482031,-0.01790084,0.88803774,0.7727719,0.7278212,0.7890121,-0.12923974,0.68437266,0.23479596,0.5437821,0.53969127,0.6610163,0.74969256,1.022509,0.8421351,0.7537103,1.0611758,0.2731622,0.66877073,0.53259087,1.0627221,0.789175,0.15654132
0.29637808,0.006420912,0.7237376,0.53910583,0.59793615,0.473651,-0.18472031,0.5866052,0.17207786,0.43852943,0.4604247,0.530646,0.5953047,0.73973423,0.6240085,0.525219,0.755079,0.19051641,0.52656907,0.3661703,0.8107266,0.6877945,0.08237955
0.42934296,-0.028797016,0.9221833,0.6665663,0.7728657,0.57105654,-0.34219545,0.70455587,0.14835405,0.6000912,0.52369654,0.6680293,0.7747086,0.9578954,0.8218547,0.5980501,0.97498477,0.16780123,0.638777,0.44491297,1.0283647,0.86844105,0.12282239
0.41894248,0.009545739,0.72652256,0.60779005,0.61242306,0.7018455,-0.17606162,0.632597,0.31065494,0.45489654,0.45567986,0.611243,0.64804125,0.8848009,0.73825,0.6403973,0.9278753,0.23925003,0.58449674,0.5066274,0.9076333,0.7723375,0.1409155
0.30254817,-0.01229219,0.83011144,0.68453217,0.620919,0.59623563,-0.02984415,0.5463054,0.15343402,0.48787546,0.50574803,0.51560175,0.5980652,0.7608683,0.6606512,0.66469634,0.79248846,0.2728131,0.50800633,0.4062438,0.8831543,0.55964124,0.08907263
0.39968297,-0.04416077,1.0191016,0.78535,0.79878604,0.61120933,-0.098102435,0.6659989,0.07897276,0.6551487,0.6046033,0.6327952,0.76836336,0.9163689,0.78195184,0.7264778,0.9500779,0.2514126,0.5704001,0.36895782,1.0811912,0.69286674,0.106560275
0.38732046,-0.027749602,0.8914221,0.7834937,0.65936434,0.8132804,0.16690253,0.5680953,0.18830387,0.5183401,0.6410355,0.60910195,0.67493975,0.89684623,0.7124271,0.8807503,0.92510724,0.2631761,0.5289421,0.49509835,1.044358,0.5769863,0.14377467
0.3451455,0.010060913,0.83268094,0.6880011,0.6358828,0.65429556,-0.12924263,0.6052049,0.2207331,0.49510974,0.48344845,0.57346475,0.6274918,0.86598325,0.73816466,0.65799713,0.8739911,0.26567915,0.58877546,0.5106127,0.93160146,0.66345733,0.13113073
0.5592321,0.042253736,0.7814499,0.7759011,0.6603776,0.98334616,-0.14172877,0.72275734,0.44593066,0.48950166,0.47024262,0.6719173,0.7227878,1.0618033,0.89301115,0.7786412,1.1552516,0.3444657,0.71471125,0.6692434,1.0307668,0.82933736,0.21190953
0.4366421,-0.039436053,0.93243414,0.7544714,0.7428071,0.7003423,-0.17649859,0.6818491,0.20240855,0.58075476,0.53450483,0.6536655,0.7566445,0.98642737,0.8281322,0.7268324,1.0217712,0.24575639,0.6420479,0.47154516,1.0588611,0.7832066,0.12388322
0.6403,-0.14774576,1.4862849,1.0935471,1.2096668,0.7994045,-0.23469214,0.935923,-0.044405982,1.0636901,0.87265176,0.8885436,1.1790712,1.3795121,1.1633266,0.99032164,1.3956089,0.1744041,0.79265517,0.3834597,1.6035378,1.0003734,0.18697786
0.30068016,-0.0036868863,0.7885488,0.6132691,0.6115921,0.5160679,-0.13784161,0.5774983,0.17262185,0.46884984,0.47222582,0.53277624,0.6107624,0.7596604,0.649781,0.5850017,0.7901082,0.23879099,0.5269284,0.390431,0.85115784,0.6481696,0.08584526
0.3767066,-0.13144124,1.0278585,0.7093721,0.9504574,0.638775,0.17141871,0.7077136,-0.041370183,0.7879367,0.8949787,0.6203661,0.8340145,0.9118555,0.77335286,0.8919151,0.9961794,0.09891486,0.57790136,0.24609044,1.1860173,0.70159477,0.16022307
0.53325427,-0.104749516,1.2009916,0.9672148,0.94306684,0.81273425,-0.07454613,0.7658463,0.12187812,0.8054064,0.7108326,0.7319868,0.90262383,1.1493496,0.99103314,0.9347732,1.1732675,0.264444,0.65187734,0.48577654,1.3337893,0.7903797,0.15948063
0.32653952,-0.023087885,0.86102664,0.69671804,0.6652678,0.591402,-0.025386892,0.57525575,0.1341815,0.52345854,0.5612224,0.5409807,0.6348675,0.785647,0.6784921,0.6862167,0.8223785,0.2681177,0.5073985,0.38703525,0.9306213,0.5934838,0.09547347
0.39453882,-0.02466537,0.73703563,0.7562455,0.5726629,0.89213526,0.48114622,0.5511916,0.18201664,0.4508391,0.6497239,0.5386648,0.5445746,0.7754022,0.6200529,0.9301205,0.87660736,0.2370221,0.44547406,0.40799594,1.0027251,0.46385568,0.11148809
0.7200369,-0.019586645,1.0109016,1.0623504,0.8438944,1.314257,0.96019,0.81627923,0.26997754,0.6587171,1.0164163,0.8352143,0.8545249,1.1774182,0.7898393,1.4406579,1.3253778,0.18243752,0.57892495,0.46309525,1.5722272,0.66949004,0.18901293
0.6033651,0.009451603,0.7371022,0.9424959,0.58531356,1.290387,0.777386,0.6448015,0.35890585,0.48071286,0.77038395,0.6603602,0.62390935,0.97759056,0.7774291,1.2433867,1.167496,0.2823527,0.54565907,0.59202343,1.2129973,0.5325983,0.20806183
0.45178044,-0.058212623,1.165509,0.7564759,0.99413157,0.4968089,-0.30932444,0.7831107,-0.10907162,0.8531108,0.7265073,0.7169622,0.956326,0.92863137,0.8737393,0.65301466,1.0046632,0.09378108,0.65202165,0.25272352,1.1666924,0.85243744,0.17610438
