TeamExp,Transactions,Entities,PointsAdjust,Envergure,Language,Generated_Var_1,Effort
0.7029731,0.53188115,0.4017278,0.57269895,0.9906553,0.5329697,0.25928837,0.4694623
0.087527044,0.14132936,0.13924453,0.12512846,0.5152313,1.0377159,0.7575646,0.10808265
0.7143167,0.10370321,0.09322111,0.07377963,0.57204115,0.9694764,0.61798996,0.1365448
0.08627284,0.13604501,0.14049654,0.12490255,0.2199744,1.0602049,0.91640836,0.020435978
0.8427769,0.35347873,0.5264446,0.4574362,0.65111125,1.0491582,0.31644207,0.5440273
0.79016083,0.100805655,0.23031591,0.12653242,0.57974356,1.045644,0.5423076,0.21201251
0.3098905,0.087497495,0.16745254,0.11093037,0.47769427,1.0031519,0.62265134,0.09725252
0.16855347,0.1625597,0.29551587,0.21950196,0.9026252,0.65125555,0.5932531,0.2596192
0.2818084,0.08860313,0.2716757,0.1416809,0.4785575,0.6899019,0.9677162,0.09212873
-0.0022342578,0.14601497,0.19171743,0.14233796,0.30329823,1.0848238,0.8400551,0.07326773
-0.024634741,0.100366786,0.15476385,0.12031278,0.35808554,0.9499214,0.698419,0.07797242
0.39694056,0.05441332,0.30582994,0.14485511,0.44087753,0.55109906,0.9077876,0.089720085
0.22947423,0.11303136,0.2435044,0.15922128,0.4951038,0.41801253,0.46414393,0.119500116
-0.011199504,0.09093321,0.24158712,0.12396301,0.2687989,0.8688866,0.6469591,0.13450086
0.60544544,0.12221454,0.38853264,0.21298563,0.72626406,0.83461356,0.8956056,0.24638218
-0.006068863,0.19616374,0.10149691,0.17449676,0.4784843,1.0393981,0.82573766,0.055702478
0.20854494,0.13336521,0.3335929,0.20939839,0.5948299,0.8563188,0.9637626,0.17263164
0.25542778,0.14549692,0.12472378,0.11133219,0.49005607,1.0316825,0.82775915,0.09080386
0.72752184,0.08344023,0.059130378,0.030502398,0.44547275,1.0473772,0.41679782,0.071188286
0.60372025,0.24364237,0.29585633,0.29785132,0.6461499,1.0361626,0.41586745,0.34883788
0.6048812,0.044749793,0.19630349,0.06400543,0.03972596,0.7949423,0.38208437,-0.01837549
0.666395,0.14530018,0.26163435,0.19073433,0.7167235,1.0260274,0.7436805,0.26224846
0.43678802,0.08195463,0.23356934,0.12573457,0.12067981,0.9028056,0.43245447,0.054559886
0.9665441,0.06561612,0.17694688,0.08087666,-0.030068766,1.1271375,0.35549426,-0.0605851
0.22010787,0.23507826,0.10290164,0.23929316,0.5964287,0.1349924,0.37535197,0.013554361
0.7516981,0.6822231,0.11288734,0.5962797,1.0908189,-0.06074954,0.12349072,0.20932038
0.42509115,0.0989561,0.34713012,0.1851686,0.62514937,0.73250973,0.93655366,0.18152219
0.7617362,0.5224535,0.63920844,0.63972753,0.5111185,0.9315575,0.21078862,0.5946144
0.5142853,0.087599926,0.21428473,0.10161458,0.5354711,1.0058012,0.49234164,0.15840624
-0.044150032,0.18772396,0.16697848,0.183078,0.7034072,0.8896796,0.7917749,0.09909503
0.16373661,0.15667164,0.08673779,0.12463799,0.57360244,1.1247512,0.7880528,0.11836062
-0.008604512,0.1641012,0.12114906,0.15184596,0.75081974,0.703948,0.61625165,0.10390422
0.7765033,0.11085837,0.3136574,0.15680736,0.49621633,1.0158929,0.37456596,0.23429704
-0.082184106,0.15299608,0.21230341,0.18793406,0.5294634,1.0368392,0.8484793,0.104680374
0.3564923,0.109714516,0.1566383,0.121542215,0.38249174,0.8597674,0.8459537,0.0812402
0.0021359697,0.12732962,0.21395281,0.14638317,0.311155,0.8796318,0.88945043,0.052740134
0.42379224,0.026782455,0.2506287,0.118346184,0.4290391,0.5220464,0.94450444,0.06954782
-0.026394866,0.097974986,0.12413868,0.11121647,0.7323318,0.77317417,0.66008097,0.13031647
0.059731573,0.0998007,0.22175561,0.14133094,0.26943702,0.70223784,0.9640586,0.015256717
0.56080663,0.12204835,0.2915221,0.19055857,0.26311082,0.8835556,0.37615675,0.13779938
0.08147993,0.122694835,0.1331315,0.13055882,0.673032,0.9284443,0.6843896,0.15994887
0.4834527,0.10473361,0.20727827,0.106877625,0.5909582,0.93350637,0.49532098,0.1798887
-0.005529724,0.1701274,0.16870919,0.15059002,0.35299602,1.149902,0.91900146,0.0961404
0.6420265,0.107593015,0.09502388,0.12664199,0.34790373,0.9726291,0.73571193,0.10243508
-0.05047989,0.17374802,0.10406233,0.14161,0.40560687,0.9628833,0.7511202,0.053153135
0.75699574,0.11371234,0.33848655,0.17180188,0.064140275,0.8029419,0.32686436,0.06813431
0.7679329,0.06859531,0.1841571,0.08657099,0.47942048,0.99831647,0.55544424,0.1282519
0.7443056,0.083648905,0.25247863,0.10423151,0.20772941,0.90240604,0.33514738,0.07470989
0.71466625,0.18045934,0.5030794,0.29083315,0.8579303,0.97037786,0.6974114,0.4334532
0.59388775,0.29098412,0.35690475,0.35838702,0.8285281,0.92427224,0.4141115,0.4360931
0.7641169,0.21263136,0.31283116,0.25443462,0.5218131,1.0342689,0.38268256,0.27943018
0.7409446,0.11412073,0.34421468,0.15144281,0.28504428,0.9374677,0.38011962,0.10902734
