PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,source
0.38468611346325343,0.17215565093485663,0.42966124026123725,0.6646791549244402,0.4588762229740377,0.3222490388948214,original
0.37656501276327126,0.3558549438067465,0.5833895444305812,0.5131616164078995,0.39879517402241993,0.4470245886478449,original
0.2404076734897968,0.41038462052105984,0.37938310495809163,0.8792426926899266,0.28597179925194194,0.2576641039032615,original
0.35765953385830673,0.3645217083720712,0.5738290653795756,0.5237134459475085,0.41208675382305426,0.4429286647902284,original
0.2941298280430428,0.36537822387817864,0.5774596439348791,0.5793316140141449,0.4159282235024308,0.4311844935114694,original
0.30034986965826466,0.3203708937058142,0.6258596149361043,0.56485808821323,0.3618310219099612,0.4279460875770342,original
0.254083556205879,0.37888124630821707,0.33518384311029914,0.5249360071576794,0.2595356313504783,0.26361843355482945,original
0.29011573263908236,0.08445369321643192,0.3300606864854529,0.5512255144492313,0.07470722608939623,0.44875439948346035,original
0.3571149544019892,0.2933278320719468,0.47880841206784,0.5703015697037992,0.2664809425042287,0.37120920755056175,original
0.26422821632697807,0.13753753606057634,0.2206704383606755,0.9060300753454541,0.14464675408713612,0.33370235663525527,original
0.32990081449129544,0.36093698876924946,0.3210095470052242,0.6579635400372329,0.09022251853692903,0.312066535887631,original
0.3883997503530484,0.2991626240706211,0.3759189536070495,0.6133098147879679,0.040298560030028796,0.33839716190411234,original
0.2230038960405854,0.18116540768222728,0.4118511885442584,0.7367797783321031,0.2087358399856429,0.523744210212818,original
0.3405480860707148,0.2635912564713869,0.42006667811287934,0.7414140379895625,0.3681616241667001,0.2982343966090498,original
0.40494025486449536,0.4211855489360902,0.3488132571748449,0.7330438870340865,0.30269227545687405,0.27385517519850905,original
0.23241474841294393,0.30556517750720047,0.4098241007424307,0.4079398321937102,0.2612328860663742,0.39211560379356364,original
0.30133256160114014,0.3197517316207876,0.43618338284112335,0.8039322636425642,0.2328040177924148,0.19008234129380733,original
0.39987011976517006,0.6817319485567375,0.32757299330477174,0.7350179085175532,0.37812609022199284,0.7322384816938834,original
0.41344207248717385,0.6994222635184788,0.47582127357492504,0.7221950047432959,0.527143592260571,0.9806516711369648,original
0.21318838146823754,0.44398016856784317,0.6177266982971165,0.5166365893560013,0.2180286628491075,0.23279670629392388,original
0.5948884162164599,0.5776377608730777,0.3122797562488571,0.4982307289898942,0.426647126572377,0.4976634688647943,original
0.3793511969102799,0.42760741791359796,0.40005114320176927,0.8075190100809325,0.23610386017765042,0.43610110044872347,original
0.46943419435639666,0.4544175640853245,0.45512575550939577,0.6088685949919417,0.4283422552473034,0.2505683596021473,original
0.45142789520503324,0.48808846264548134,0.6369608431015392,0.37649316253822146,0.4305441406750695,0.1392566623497291,original
0.3774563016788624,0.36335453562089604,0.5520063216080081,0.7545574797447001,0.4758901281793659,0.6577751534377348,original
0.37157542410659045,0.5096887769096908,0.4479321320105395,0.663527787651906,0.11389040344831358,0.571020614086932,original
0.37584592200136996,0.5530385267158315,0.5683488638082549,0.6189707574585462,0.22170326422519088,0.5837270701642081,original
0.4644496429992443,0.4651393638986549,0.46921522400576204,0.6070210261878469,0.17473947467308115,0.8227898173138661,original
0.395196640514054,0.4579525688212776,0.3714455669145371,0.805628242497443,0.2502078445348612,0.40757489260148205,original
0.45091079113410126,0.5341478596554061,0.4269900557858358,0.6009048633154936,0.12153671731872406,0.6147621979385143,original
0.3339619166564016,0.49829268669784915,0.48057330950765464,0.8024125159001145,0.37330492653352604,0.33442266648045127,original
