ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_Input,MI_N_effort_NPDR_AFP,MI_N_effort_Enquiry,MI_AFP_PDR_AFP,Effort
0.40359184,0.11629723,0.1890475,0.25749078,0.1889169,0.20468305,0.25042814,0.22452171,0.20120816,0.63211125,0.12697583,0.12901437,0.12600687,0.1422502,0.021170737,0.7603278,0.23180333,0.056499805,0.12332439,0.034584902,0.5646752,0.06858861,0.018248813,0.20355101,0.034002498,0.15050565,0.07300129,0.06649937
0.5757208,0.20543262,0.1755594,0.4174312,0.14161696,0.41062266,0.4061849,0.4134999,0.06438044,0.76264095,0.07119364,0.06254295,0.027242087,0.03943344,0.021835778,0.77967024,0.5082217,0.07699122,0.11786651,0.072249345,0.5994219,0.024036787,0.017578764,0.23413135,0.023103412,0.09548306,0.13967292,0.121737435
0.19737156,0.10202937,0.22620882,0.3049819,0.15050513,0.1624256,0.22765724,0.27666962,0.10359948,0.51351357,0.19189072,0.17602375,0.15143573,0.15140538,0.0147126615,0.77734375,0.26050442,0.047461852,0.2467719,0.05815939,0.61224127,0.07497821,0.03280468,0.32165334,0.050201982,0.13298294,0.09263511,0.080724806
0.23332019,0.124435484,0.22408241,0.3029988,0.15901828,0.1756926,0.25209534,0.24934734,0.18144502,0.5601361,0.15426624,0.14375187,0.12196225,0.12926778,0.014166925,0.7604014,0.29621884,0.045215406,0.20673111,0.057182617,0.5984993,0.07485516,0.02829118,0.31267256,0.046203755,0.13303043,0.084382616,0.07648968
0.17620027,0.09558111,0.2186914,0.30492416,0.16113581,0.18421671,0.21671417,0.2983721,0.0644086,0.4852954,0.19666952,0.18053727,0.15438798,0.15209348,0.014915332,0.77716273,0.19998357,0.038866505,0.24147703,0.058906816,0.6124481,0.06533214,0.03118436,0.31223357,0.044381343,0.12873556,0.08815081,0.07321919
0.41167593,0.14447382,0.24255446,0.112932295,0.21793863,0.48399317,0.26995164,0.23049513,0.2641516,0.76362026,0.18368852,0.17570464,0.17341046,0.18167773,0.016461797,0.76586324,0.37671536,0.11989719,0.15073162,0.09407325,0.6277929,0.10548127,0.055078853,0.34436324,0.08202955,0.14325897,0.13668388,0.13104239
0.36457008,0.11750607,0.19471368,0.23252481,0.20902768,0.22558771,0.28279713,0.26306748,0.12768197,0.68957186,0.103279814,0.09978794,0.09017669,0.10470387,0.010275939,0.7409498,0.3409284,0.028913658,0.10463384,0.059160426,0.5285145,0.06535164,0.026459098,0.22380957,0.025585847,0.13074902,0.054811813,0.055725448
0.6160483,0.13760835,0.23915595,0.24157304,0.21960244,0.18143351,0.22205801,0.24820122,0.1900279,0.6444026,0.30209202,0.28263855,0.2892297,0.28643498,0.021806661,0.77144486,0.32583547,0.11971505,0.15826455,0.08154253,0.5997047,0.08186931,0.05062548,0.21144061,0.06909658,0.16717276,0.13649788,0.1308135
0.5153773,0.12732954,0.20140585,0.23869316,0.20863315,0.23411074,0.25670457,0.25734907,0.15221664,0.6390845,0.19155975,0.17986676,0.1835897,0.18918677,0.020075332,0.7635533,0.3012005,0.07523372,0.11776761,0.059467323,0.5904678,0.07492577,0.030887641,0.21130286,0.046143048,0.14901216,0.092056125,0.08705018
0.46619746,0.11895025,0.18120115,0.22689746,0.20082858,0.25199103,0.29405665,0.25392732,0.13680509,0.5864916,0.24050632,0.21692054,0.2356897,0.23003002,0.024525624,0.7739644,0.38095552,0.078814745,0.10292834,0.06570487,0.54474723,0.09394337,0.046636783,0.20508775,0.07246011,0.15469968,0.09361232,0.08615417
0.41645163,0.12434234,0.21596895,0.24654213,0.18608753,0.18796611,0.2391952,0.22098395,0.21843746,0.6785618,0.12583399,0.1233281,0.116854,0.13122554,0.019537807,0.7633929,0.39856797,0.065049216,0.13093118,0.041731916,0.57635236,0.07064248,0.016566461,0.23891644,0.035261583,0.14509352,0.0855791,0.08235493
