TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Effort
4170.954320987655,5523.078364389552,85,253,52,305,34,5690.986996992904,5152
4562.657933371531,4781.589387863032,86,197,124,321,33,5690.986996992904,5635
5663.34714277463,5523.078364389552,85,40,60,100,18,5690.986996992904,805
4562.657933371531,4781.589387863032,86,200,119,319,30,5690.986996992904,3829
4562.657933371531,4781.589387863032,86,140,94,234,24,5690.986996992904,2149
4562.657933371531,4781.589387863032,86,97,89,186,38,5690.986996992904,2821
5532.599076977262,4767.917093745391,85,119,42,161,25,5090.136848800373,2569
4170.954320987655,4274.951521207242,83,186,52,238,25,5690.986996992904,3913
4815.877496643536,4767.917093745391,85,172,88,260,30,5690.986996992904,7854
4815.877496643536,5523.078364389552,83,78,38,116,24,5690.986996992904,2422
5663.34714277463,4767.917093745391,84,167,99,266,24,5690.986996992904,4067
5532.599076977262,4767.917093745391,84,146,112,258,40,5690.986996992904,9051
4170.954320987655,4767.917093745391,84,33,72,105,19,5690.986996992904,2282
4815.877496643536,5523.078364389552,85,162,61,223,32,5690.986996992904,4172
5663.34714277463,5523.078364389552,85,223,121,344,28,5690.986996992904,4977
4815.877496643536,4274.951521207242,85,119,48,167,26,5090.136848800373,1617
5663.34714277463,5590.56088285795,85,57,43,100,43,5690.986996992904,3192
5663.34714277463,5523.078364389552,86,68,316,384,20,5090.136848800373,3437
4815.877496643536,5523.078364389552,87,9,386,395,21,5090.136848800373,4494
5663.34714277463,4274.951521207242,86,58,34,92,29,5690.986996992904,840
5663.34714277463,5523.078364389552,86,318,269,587,34,5090.136848800373,14973
5532.599076977262,5523.078364389552,85,88,170,258,34,5690.986996992904,5180
5532.599076977262,5523.078364389552,86,306,132,438,37,5690.986996992904,5775
5663.34714277463,4767.917093745391,87,304,78,382,39,5690.986996992904,10577
4170.954320987655,5523.078364389552,86,89,200,289,33,5690.986996992904,3983
5663.34714277463,4767.917093745391,85,86,230,316,33,5690.986996992904,3164
5532.599076977262,4781.589387863032,86,71,235,306,37,5690.986996992904,3542
4815.877496643536,4767.917093745391,85,148,324,472,39,5690.986996992904,4277
5663.34714277463,5523.078364389552,85,116,170,286,27,5690.986996992904,7252
5663.34714277463,4767.917093745391,85,175,277,452,37,5690.986996992904,3948
5663.34714277463,5590.56088285795,86,79,128,207,27,5690.986996992904,3927
4170.954320987655,4767.917093745391,86,145,38,183,27,4142.179047428536,710
5663.34714277463,5523.078364389552,87,174,78,252,41,4142.179047428536,2429
4170.954320987655,4767.917093745391,85,194,91,285,35,5690.986996992904,6405
5532.599076977262,4274.951521207242,88,126,49,175,38,4142.179047428536,651
4170.954320987655,5590.56088285795,86,137,119,256,34,5090.136848800373,9135
5532.599076977262,5523.078364389552,87,289,88,377,28,4142.179047428536,1435
6161.497933030073,5123.9055074261005,87,260,144,404,24,5690.986996992904,5922
4170.954320987655,5523.078364389552,88,158,59,217,18,4142.179047428536,847
4815.877496643536,5590.56088285795,88,302,145,447,52,5090.136848800373,8050
4170.954320987655,4767.917093745391,87,451,48,499,28,5690.986996992904,4620
