size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
562,14,6631.783821770126,7098.3487373860435,8166.353524604348,7440.194954033694,7753.386808366473,1,7691.6219375767205,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062
647,16,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871
130,5,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845
254,8,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330
1056,16,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272
383,12,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224
345,12,9189.701177496165,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826
209,27,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320
366,24,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125
1181,54,9189.701177496165,8602.71069157793,8602.71069157793,8418.923669008951,7753.386808366473,2,7691.6219375767205,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900
181,13,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300
739,21,9189.701177496165,7279.228710685109,8166.353524604348,8418.923669008951,7753.386808366473,1,7691.6219375767205,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150
108,7,8881.531504196148,7098.3487373860435,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900
48,10,8881.531504196148,7279.228710685109,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583
249,19,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565
371,11,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,7691.6219375767205,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047
211,13,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520
1849,32,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910
2482,38,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286
434,40,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,4,7691.6219375767205,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052
292,29,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039
2954,14,8881.531504196148,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,4,7691.6219375767205,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500
304,14,9189.701177496165,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,1,7691.6219375767205,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369
353,28,9189.701177496165,7279.228710685109,8166.353524604348,8418.923669008951,7753.386808366473,1,7691.6219375767205,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184
567,16,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,8645.141647591041,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447
467,13,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,8645.141647591041,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5100
3368,45,9189.701177496165,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,3,7691.6219375767205,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63694
253,4,8881.531504196148,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,2,8645.141647591041,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1651
196,10,7243.077134484602,8921.955507527928,8166.353524604348,8418.923669008951,8339.546154152467,3,8645.141647591041,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1450
185,12,6631.783821770126,8228.715101052167,8166.353524604348,8418.923669008951,8339.546154152467,4,7691.6219375767205,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1745
