size_D,duration_D,app,dba,telonuse,t01,t02,t04,t05,t07,t08,t10,t11,t13,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_t14,MI_size_D_t10,MI_size_D_app,MI_size_D_t15,MI_size_D_t12,MI_size_D_telonuse,MI_size_D_har,MI_size_D_ifc,MI_size_D_dba,MI_duration_D_t07,effort_D
0.022568256,0.05327601,0.1391978,0.031895727,0.7241127,0.043209076,0.031407894884473694,0.7278814727881473,0.055374473,0.12706579270657928,0.113330424,0.46289206,0.1911890514713431,0.04628429277705757,0.047235303,0.051466085,0.03841107384110738,0.0329452,0.034949414,0.065955944,0.39376896362613784,0.2817752,0.14022261,0.014912912,0.006802700908162054,0.37110493,0.044781875521812446,0.040597282,0.033385627,0.020039786,0.04546921272815277,0.024584565
0.09045284,0.021875061,0.26357588,0.110054374,0.7499118,0.14566796,0.11861071711664302,0.7599723759972377,0.15037179,0.13567297356729738,0.06634389,0.500062,0.13082786784967207,0.028849603730976222,0.075764365,0.13088319,0.08423153442315345,0.10391441,0.09166751,0.13715956,0.3809141428548486,0.26205823,0.18044083,0.051321134,0.048702927922175676,0.4252558,0.14668795533120446,0.07763114,0.08402069,0.09902161,0.04137030448221827,0.072089806
0.2687308,0.2868086,0.3257877,0.1052801,0.4763922,0.14593042,0.10625050137503009,0.499916309991631,0.13726422,0.34954476495447656,0.31988007,0.18409057,0.2202727732163664,0.1619445797166748,0.34048623,0.2872095,0.2911354891135489,0.27222246,0.23518118,0.32252917,0.5810665348639922,0.46974418,0.36080402,0.27779943,0.27701349662080976,0.5634232,0.2831083716891628,0.2796498,0.3204991,0.29157016,0.26713065602783936,0.29207417
0.30348048,0.3292134,0.342052,0.1202482,0.43653718,0.16646259,0.10058171203490274,0.4672722067272207,0.15087134,0.3674722967472297,0.35246593,0.17401092,0.24454405467264329,0.1979931718795903,0.36405793,0.29727882,0.3096383809638381,0.30324858,0.28254038,0.35720825,0.5971819358309162,0.48577166,0.3722357,0.3028391,0.29776211786572704,0.58669424,0.300992219900778,0.3283432,0.3600912,0.3098524,0.2911281774676907,0.32200417
0.113832794,0.02656965,0.30053815,0.2078926,0.7865866,0.23902576,0.22961600377696023,0.7723729772372978,0.23980752,0.0788888678888868,0.048253633,0.520156,0.15569119934147196,0.0994662699679762,0.03718312,0.14681102,0.09515208951520895,0.096026614,0.1628226,0.14532934,0.3400204404012264,0.18612106,0.11933224,0.054245256,0.05121609907296595,0.39961773,0.1503897649610235,0.10441769,0.081119284,0.14549175,0.03854583431275006,0.10204973
0.018430099,0.046399377,0.15115145,0.032028437,0.7210799,0.039394394,0.029431791765907506,0.7441471344147135,0.05950074,0.12895987289598732,0.122591555,0.50734085,0.2205195732311744,0.044183972651038364,0.06925757,0.057084918,0.04740668974066897,0.036362074,0.03789822,0.062557936,0.4030133241807995,0.30307955,0.1761063,0.01448018,0.01082316864939012,0.3805559,0.07241352675864732,0.038889505,0.037965786,0.0204732,0.0536097032165822,0.0058288677
0.28696895,0.14064252,0.51875734,0.31832337,0.6483553,0.3513534,0.23359616401576985,0.7210426721042672,0.34103218,0.3407536340753634,0.1562149,0.46161819,0.06405787384347243,0.170874400252464,0.20573682,0.24230695,0.22852205285220528,0.27057087,0.2595536,0.29189774,0.45894342753660566,0.24518579,0.25915712,0.16543712,0.19834652190079133,0.53787357,0.3186105681389432,0.23916891,0.19994001,0.30689153,0.18002800080168005,0.24972318
0.17115644,0.10728919,0.34447733,0.14862221,0.66625863,0.18993987,0.12858278771496728,0.7077548707754872,0.18885985,0.24314575431457544,0.14198062,0.42843452,0.15748595944915758,0.0801119248067155,0.16965657,0.18068667,0.16012555601255563,0.17445737,0.14753965,0.21745612,0.4607875076472505,0.27340367,0.2691028,0.11034332,0.12645988758759324,0.5000652,0.23105837689416228,0.15391135,0.16289817,0.17199232,0.12261313235678795,0.14896615
0.050414957,0.03952506,0.15705252,0.08708277,0.7616082,0.08467607,0.10875702652542159,0.7214138721413872,0.0925625,0.0791148329114833,0.09489879,0.47740886,0.17737525064251503,0.07283506437010386,0.056981504,0.094094135,0.037303603730360374,0.05058021,0.08928617,0.08237528,0.3486923209215393,0.29916722,0.12618676,0.031806186,0.021225781273546875,0.34490788,0.09482359051764093,0.079736345,0.04699093,0.0536359,0.043834189630051375,0.043841504
0.012404114,0.043952882,0.12243235,0.024535507,0.7334757,0.024474561,0.017331214039872846,0.7185136718513672,0.04129301,0.11581213158121317,0.10458496,0.45571095,0.19961053197663195,0.0319588799175328,0.054933965,0.03815382,0.04363910136391014,0.03270957,0.03500744,0.06490265,0.3883933933036036,0.3289054,0.16390003,0.02568878,0.01923306415398385,0.36845693,0.06483202351679765,0.029072084,0.022571232,0.010230657,0.03812822228769334,0.022232886
0.26047918,0.2301257,0.41067496,0.20884371,0.5091734,0.25320792,0.159161399549684,0.596488859648886,0.23227441,0.3247370124737013,0.26297167,0.33928537,0.12880929772855787,0.1667145600028736,0.25316155,0.223519,0.2782458078245808,0.25934356,0.22690609,0.31083095,0.523592381415543,0.35842544,0.29333988,0.2234739,0.22103980326238823,0.55785334,0.2190444680955532,0.24542287,0.25256568,0.27327064,0.19918735195124113,0.25979656
0.022459447,0.14072612,0.06646478,0.08577466,0.7335332,0.040817037,0.0826270049576203,0.6381527638152764,0.029376507,0.06997615699761571,0.172262,0.34128082,0.15943350956601057,0.15203887912233274,0.0565653,0.030062558,0.02885605288560529,0.029671218,0.14149147,0.044812053,0.31828311909698714,0.3648176,0.125164,0.034943413,0.0280512066830724,0.29387096,0.046976427302357265,0.08523116,0.03512334,0.017424073,0.0957756917465415,0.087333046
0.050940253,0.044578142,0.21123585,0.056453586,0.71307707,0.08396007,0.05810371348622281,0.7487531748753175,0.10075846,0.17002321700232173,0.10573396,0.5269676,0.18337196100231767,0.030540288832417332,0.06525806,0.080684006,0.06525239652523965,0.07153441,0.038523205,0.099608906,0.42316755539005335,0.27049625,0.1908721,0.04255379,0.03966786938007217,0.4177633,0.0912623908737609,0.033245765,0.054243647,0.04539003,0.04943367296602038,0.03890556
0.3776603,0.39637542,0.34850386,0.13675636,0.43431106,0.18404163,0.12149766728986003,0.4050174405017441,0.16503435,0.398680939868094,0.4202722,0.17129704,0.4481697968901879,0.24687279481236768,0.4411738,0.40616572,0.39904159990416005,0.37256593,0.38291755,0.4106747,0.6234023974041439,0.54325664,0.46188152,0.3826585,0.37425609245536556,0.64236295,0.4234187176581282,0.3798602,0.42092672,0.38879535,0.36792924207575456,0.36552307
0.032894045,0.07127217,0.106179655,0.0223324,0.7607529,0.016069561,0.019584627175077633,0.694473929447393,0.036043644,0.11465071146507115,0.116454616,0.40032303,0.19611248176674892,0.04132735947964157,0.08059981,0.06907499,0.06466341646634166,0.04126174,0.052204765,0.07741465,0.39465769367946163,0.33320338,0.16535085,0.043075174,0.03869002532140152,0.37164348,0.0799703370029663,0.063704155,0.043404587,0.019494686,0.061293106677586404,0.05314028
0.07401229,0.1546548,0.107530594,0.121735394,0.7649483,0.04487869,0.06542659392559565,0.6409205640920564,0.0486854,0.09199906319990632,0.19919014,0.33546823,0.2413678444820707,0.15623885937433157,0.083653934,0.060194068,0.09821324982132498,0.043061867,0.18350875,0.07920623,0.34060146043608763,0.4476835,0.17582723,0.054968745,0.08284926897095615,0.3179245,0.16717278328272167,0.14133069,0.06468056,0.026089799,0.15292075917524556,0.11097236
0.049333036,0.023301855,0.19768837,0.046861053,0.74503934,0.0864784,0.050365033021901984,0.7731506373150638,0.10195032,0.1298920629892063,0.080419436,0.5266111,0.22000131320007882,0.012339145740348743,0.063291736,0.09220691,0.06486312248631225,0.06328316,0.048014484,0.10311355,0.4087112245226735,0.25610366,0.198784,0.029916417,0.023493179409590767,0.42393318,0.10816590918340907,0.046048604,0.05543132,0.047313925,0.03658256219495373,0.024826758
