Transactions,Entities,PointsAdjust,Envergure,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_ManagerExp,MI_Entities_Language,Effort
0.1481247,0.22004688,0.23781478426888708,0.46771473,0.09854265191255912,0.38978088,0.090759866,0.050808024,0.19575852042414796,0.3299622,0.26749295
0.30769134,0.16437392,0.2891502173490131,0.54416585,0.12247582734854964,0.54487926,0.18335071,0.13038374,0.2716415528358447,0.24326807,0.39126194
0.1330404,0.18900688,0.20415484224929056,0.40509552,0.08111411086684665,0.33040583,0.06445748,0.06972323,0.15644825435517457,0.29729727,0.21127926
0.17147678,0.06931785,0.1662918899775134,0.511798,0.03144947588696855,0.29935205,0.1094981,0.082078196,0.13974170602582942,0.13187537,0.1284489
0.3598141,0.24143067,0.3790905427454326,0.63555723,0.1958964417537865,0.6240739,0.33071882,0.16818553,0.37414314258568576,0.3498826,0.42395896
0.22280088,0.060166676,0.20555616233336974,0.44563258,0.05359031621541897,0.18220109,0.15784633,0.11708565,0.13596510640348936,0.036309816,0.10733912
0.19995895,0.12871744,0.18390484103429047,0.37195277,0.06667008400020505,0.310312,0.05996529,0.050246693,0.11228014877198512,0.21562095,0.20262513
0.08795479,0.0680287,0.07516959451017567,0.29161996,0.02591141255468475,0.21015477,0.029689008,0.09240518,0.06275955372404463,0.14888647,0.1340263
0.23360273,0.17546032,0.2824707769482466,0.5793673,0.11506507690390462,0.49881637,0.16850118,0.07675824,0.25412539458746053,0.24522571,0.30208445
0.17199004,0.12328732,0.14473414868404894,0.5333144,0.05053526303211578,0.34358257,0.101318136,0.059607435,0.07685711231428877,0.22436294,0.24640936
0.15537652,0.17004445,0.1657919399475164,0.4487043,0.07836841470210489,0.3686142,0.10369478,0.08612123,0.10606120939387906,0.2522241,0.2287644
0.1718696,0.007276904,0.17697441061846464,0.2078121,0.022624423357465402,0.19752632,0.02499565,0.1236389,0.1117834638216536,0.071037695,0.1082821
0.30112237,0.14757283,0.2983834879030093,0.5591781,0.11184199671051981,0.44561595,0.18773544,0.1420127,0.2827846717215328,0.19056074,0.28268307
0.14059432,0.32561874,0.28889161733349705,0.63212746,0.1975720518543231,0.50359243,0.19421999,0.06326042,0.26997861300213866,0.4560799,0.37696046
0.24023867,0.17606167,0.263766415825985,0.47295296,0.1123577267414636,0.46704346,0.16541494,0.110043615,0.1513695748630425,0.29214078,0.21505168
0.20704296,0.32385278,0.32430661945839717,0.6723407,0.2448769146926149,0.5697232,0.25974566,0.091453955,0.1915012008498799,0.47080356,0.34564817
0.10359395,0.15717253,0.1413342484800549,0.34122276,0.07147512428850747,0.27399373,0.054803006,0.045233544,0.1111470948852905,0.24207586,0.23676485
0.18494204,0.0035309177,0.22441881346512882,0.19099958,0.0015633777938026676,0.23448168,0.017795302,0.14134511,0.0907220749277925,0.10992784,0.11882895
0.23280084,0.14590637,0.23311230398673824,0.5840705,0.08361912501714751,0.43596005,0.1708765,0.07398747,0.12427011357298863,0.27225554,0.28158477
0.39034042,0.18410002,0.34408729064523746,0.6957515,0.13630540817832448,0.4560094,0.30490863,0.11083357,0.3823653617634638,0.18583319,0.31352013
0.15377653,0.112143785,0.1444037186642231,0.4387321,0.04502911270174676,0.27889642,0.094462335,0.08459077,0.15397718460228155,0.16255307,0.1992595
0.17527649,0.19273226,0.22731147363868842,0.5919209,0.13249539794972387,0.39345405,0.15176821,0.051147267,0.13448478655152132,0.3035977,0.23614253
0.14186606,0.08562428,0.1387229983233799,0.39322585,0.06706838402410303,0.29762387,0.09168309,0.09558654,0.12351538764846122,0.13347435,0.10621586
