AFP,Input,Output,Enquiry,File,Added,PDR_UFP,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Effort
0.0005730428,-0.0018988028,0.0075124893,0.031916384,-0.018299777,0.0026706234,0.135946,0.024205333,0.6025153,0.9667816,0.9409026,0.01905912
-0.00042474084,-0.0045780037,0.00049844943,0.04025712,-0.0010677688,0.0058704317,0.4132818,0.05295512,0.5726044,0.87886673,0.79057294,0.023488902
0.034923054,0.023443725,0.060046915,0.08116572,0.05412881,0.044288397,0.010374103,0.0277452,0.59943926,0.92847574,0.92083097,0.01602025
0.008700449,0.007048346,0.02338932,0.016375963,0.012116881,0.011763407,0.0070236176,0.00049483776,0.61932576,1.0011656,1.0074418,-0.009447336
0.03380717,0.024491876,0.06739941,0.15157612,0.0073730983,0.020264784,0.17030728,0.2137227,0.6035491,0.8813611,0.86945385,0.18237136
-0.003610353,-0.011850055,0.012217004,0.030193567,0.0013037398,0.0021224506,0.15965804,0.022623522,0.58859086,0.9396146,0.91725445,0.012953956
0.015548738,0.005778037,0.038151234,0.063612394,0.023411535,0.0027741715,0.05707319,0.047309563,0.60198593,0.924101,0.91450745,0.038118325
0.018653918,0.006296087,0.065935224,0.033621028,0.014245322,0.012721363,0.03028196,0.027835919,0.6071868,0.9581398,0.96957475,0.0163737
0.02421271,0.0068809725,0.08517751,0.043527894,0.029004594,0.028399648,0.011408657,0.026932007,0.6056336,0.92879564,0.9306849,0.01329297
0.0063058473,-0.0023884661,0.024990782,0.06665425,-0.0020828806,0.0078942105,0.029130002,0.016290352,0.6031984,0.9402599,0.9610639,0.004114766
0.004325978,-0.0015235934,0.03305011,0.028869597,-0.00071136653,0.012064183,0.12142898,0.04885541,0.60507965,0.9672761,0.95610136,0.03719756
0.009090164,0.0030186959,0.026503496,0.017441198,0.00862975,0.011218004,0.02732948,0.018906133,0.5940367,0.9668251,1.0049406,0.00367168
-0.00021066144,-0.006439341,0.014149439,0.020408858,0.0012604035,0.0072218906,0.04111099,0.0064487606,0.60775805,0.9666135,0.9943257,-0.0052590086
0.029459331,0.02228846,0.028419282,0.14024739,0.054884657,0.044496447,0.1459105,0.16500215,0.5863482,0.87441504,0.8203214,0.14394973
-0.0013484946,-0.0039511584,0.011802796,0.036807008,-0.0023869388,0.008024311,0.19668166,0.03103449,0.59918416,0.92817956,0.8862229,0.019659061
0.009800247,0.004896179,0.041193366,0.006759867,0.007775292,0.011757256,0.058510933,0.027000396,0.62466496,0.98640144,0.98733634,0.015655633
0.014082307,0.011983138,-0.009559917,0.12232776,0.011795396,0.016263515,0.31771275,0.1616609,0.5593834,0.87208486,0.8314901,0.12650065
0.025565041,0.0105276145,0.031026106,0.10023576,0.029741256,0.012776041,0.03478233,0.037762396,0.60249186,0.97741187,1.0448028,0.019888127
0.00017406326,0.0005521085,0.013871759,0.042868115,-0.0051702857,0.008539204,0.14617598,0.042010672,0.60040843,0.93387747,0.91281146,0.031018443
0.009577595,0.010864157,0.0013787225,0.08548959,0.010246554,0.0156092625,0.39217257,0.18060294,0.5612261,0.8719245,0.811677,0.13888307
0.016123999,0.0017480105,0.04332531,0.008720748,0.028105436,0.030112168,0.056791317,0.057406165,0.5796746,0.91735685,0.88543,0.04766301
0.005884204,0.009254582,0.010090563,0.049079675,-0.00038170815,0.004599821,0.28613907,0.0799016,0.57757276,0.9218053,0.87890404,0.061767876
0.012807654,0.0077838264,0.017243497,0.03280408,0.019809362,0.019220695,0.36945626,0.11873718,0.5415132,0.85121953,0.78783584,0.08254009
0.013421909,0.007938303,-0.0012909975,0.0590997,0.013672404,0.019084495,0.020292068,0.0018399749,0.6109078,1.0001793,1.024709,-0.010504562
0.024929995,0.015350305,0.04678372,0.040188298,0.04506608,0.034491967,0.047901638,0.062151514,0.6045749,0.94367146,0.9558002,0.047632534
0.004345293,0.0013363697,-0.013573023,0.046450205,0.009222211,0.007386368,0.19129412,0.036718875,0.6035534,0.96007824,0.9147938,0.02317721
0.0120230755,0.0044167005,0.036952965,0.06800154,0.004669687,0.013575405,0.08730109,0.044104025,0.6079545,0.97150195,0.9681273,0.034825098
0.010387632,0.010237731,0.0014280956,0.035574168,0.022175696,0.007331023,0.016437259,0.032097302,0.5872964,0.9212674,0.9631044,0.0155827105
0.0545588,0.029925954,0.104428455,0.22391258,0.03624353,0.064318016,0.14746897,0.28249833,0.58828115,0.87408674,0.8465779,0.25548807
0.0030191713,0.0002592355,-0.012459183,0.038546972,0.01912868,0.007693995,0.08811818,0.037146978,0.60395396,0.92458814,0.90662664,0.025346044
0.018152736,0.008270793,0.081623584,0.020503264,0.0057428535,0.022503316,0.004610602,0.0053269435,0.60802007,0.93597364,0.944658,-0.0060751676
0.005843955,0.0023653544,0.0094094835,0.011616148,-0.008328225,0.008099504,0.12865059,0.04069808,0.6126467,0.9911264,0.961605,0.03279571
0.0010387572,-0.006150283,0.01016417,0.038552813,-0.0036399104,0.0027444102,0.12066734,0.02804652,0.61055064,0.96260476,0.9579953,0.018619126
0.0012494926,-0.0009905994,-0.0035552233,0.041331604,0.004338149,0.0060491506,0.33919707,0.051547684,0.5715705,0.9020407,0.8165324,0.025353912
0.045138307,0.026250161,0.0790512,0.16537923,0.030253908,0.040981412,-0.004882235,0.031764418,0.59740186,0.9100369,0.888722,0.017393589
0.011811268,0.0025752094,0.035046566,0.07191306,0.0049791094,0.023179729,0.095887795,0.06219054,0.6032639,0.94517064,0.92547995,0.051057134
0.009878075,0.001031125,0.028363477,0.013365518,0.0170372,0.015913678,0.004769638,0.017480586,0.5893594,0.9499279,0.98863024,0.00012409361
0.037964363,0.017911892,0.12025833,0.02317892,0.050269935,0.041756745,0.08874363,0.11461947,0.58891153,0.93627656,0.8840304,0.099051274
0.02380728,0.0053150207,0.06477244,0.10743199,0.02508954,0.04162915,0.050212786,0.043699645,0.5948074,0.91119885,0.90736324,0.03414711
