data,cplx,time,stor,virt,acap,lexp,loc,Generated_Var_1,Generated_Var_3,actual
0.519492,0.3521719,0.08167293,-0.024949066,0.22851107,-0.01556661,0.4439751,0.034940213,0.50708395,0.7038474,-0.081849344
0.6373626,0.39461285,0.07973262,-0.058873296,0.21042544,-0.12741515,0.6094357,-0.060405016,0.57593733,0.783303,-0.11888524
0.5124907,0.34230137,0.021098033,0.014511604,0.18534884,0.08357083,0.30768484,0.03606095,0.6292969,0.7524915,-0.07108983
0.49962732,0.47050548,0.16932066,0.13638163,0.4226408,-0.10258351,0.5746784,0.12050506,0.45656574,0.60620165,-0.017406888
0.61991686,0.41655833,0.122026324,0.05608353,0.32351452,-0.14811856,0.6419966,0.039729632,0.40172273,0.6095569,-0.06353917
0.7468179,0.049024,-0.23913574,-0.30006152,0.16124329,0.5360786,0.0019868314,0.014903809,0.72014683,0.7605592,-0.2439284
0.56763494,0.46344572,0.16390562,0.08513366,0.34526765,-0.16512418,0.6595962,0.045725293,0.4407279,0.66487813,-0.070979126
0.5041259,0.55060554,0.27166897,0.24961221,0.65589833,-0.17531882,0.7902378,0.13210064,0.36579102,0.5260599,-0.0663865
0.4976187,0.41075546,0.06042175,0.056549504,0.37560773,0.087439254,0.42984933,0.14098711,0.49745128,0.62966603,-0.016961396
0.47592175,0.36729068,0.051140346,0.0708913,0.30532968,0.12112089,0.34023714,0.14825459,0.5712634,0.6298181,-0.041607298
0.5003612,0.38879865,0.08611694,0.027924847,0.25252703,0.000503446,0.4532655,0.07366554,0.4936344,0.6436292,-0.039732613
0.8025993,0.12518302,-0.22499385,-0.19770023,0.017206445,0.5879958,-0.15621626,0.031659514,0.8576787,1.0306921,-0.23221216
0.43243355,0.35242635,0.032755345,0.06914855,0.34296715,0.16057287,0.32270253,0.13163275,0.5110578,0.55351853,-0.042573698
0.95511174,0.09068731,-0.30189252,-0.293467,-0.038096324,0.7492726,-0.27449417,0.0075236596,0.99702317,1.2150099,-0.3057673
0.54030204,0.18767771,-0.07563553,-0.09265314,0.26192078,0.29388914,0.21333273,0.05195657,0.49797577,0.5123539,-0.1164392
0.48100165,0.5079028,0.22360873,0.21944943,0.5832521,-0.11605762,0.68419886,0.14040594,0.32661948,0.4889127,-0.065402456
0.75050086,0.18345639,-0.13128889,-0.17574129,0.024494112,0.40632528,-0.0032476187,0.0052067386,0.7786142,0.97286975,-0.22581998
0.5106622,0.27575412,0.012672327,0.030201484,0.38574666,0.21576849,0.28212014,0.12666662,0.503811,0.5234101,-0.046085484
0.52212024,0.41862434,0.084582016,-0.0062240437,0.2743473,0.011563455,0.4957388,0.058202423,0.48241898,0.6839466,-0.02739384
0.3626863,0.5297321,0.24955615,0.26717445,0.7360964,-0.1252594,0.7258482,0.14124617,0.39866963,0.45358157,-0.002859123
0.72892004,0.18846142,-0.14558303,-0.12368345,0.06266479,0.43895003,0.0060386807,0.04355884,0.74605775,0.9338068,-0.19019109
0.48018196,0.4166096,0.0887511,0.08880368,0.28890294,0.032984227,0.41594812,0.09961654,0.53260326,0.6725087,-0.022188254
0.7258862,0.1544184,-0.17176005,-0.17615333,0.05928456,0.4980312,-0.050703138,0.051299773,0.74791205,0.8988341,-0.18624917
0.775652,0.07444176,-0.2561112,-0.29276553,0.06340562,0.5978465,-0.11301468,0.030695986,0.7716039,0.84695125,-0.2412155
0.40914753,0.3353576,0.088357575,0.09469458,0.47776678,0.08604592,0.41942328,0.12715542,0.39391226,0.42470178,-0.02971036
0.4964131,0.37468094,0.037877854,0.049418136,0.35876757,0.16783892,0.35238805,0.15170355,0.5261841,0.5949774,-0.023514695
0.59986407,0.42844355,0.13315228,0.06145832,0.30695242,-0.13452531,0.6285994,0.03721307,0.41912436,0.622481,-0.07363836
1.7841418,-0.1498838,-0.770749,-0.7256639,-0.29345804,1.4999329,-0.82346976,-0.12302853,1.9004357,2.3091953,-0.7549748
0.41529322,0.45247048,0.21694916,0.20680228,0.66603565,-0.08007746,0.69570124,0.13404252,0.28490245,0.36298805,-0.04098914
0.49443945,0.34884292,0.014178153,-0.005620159,0.3151743,0.16134903,0.32131803,0.11327789,0.5211402,0.6004916,-0.037956573
0.9570315,0.11316092,-0.25407547,-0.32133216,-0.033046916,0.5541586,-0.042423457,-0.062323414,1.0530849,1.3351936,-0.35378397
