rely,data,virt,acap,pcap,modp,actual
0.2728246,0.6685686,0.32020292,0.19214171,0.897172,0.6568635,0.5787465578746559
0.36156374,0.23609295,0.5814182,0.35652834,0.6383968,0.48670477,0.37101147710114774
0.24562937,0.74279046,0.42378592,0.23289198,0.73179126,0.45570278,0.6730588673058867
0.43061,0.6026039,0.5505236,0.2869814,0.48318112,0.39735615,0.5179995817999582
0.114430845,0.6912719,0.5899659,0.074906826,0.8162546,0.44861698,0.6455306645530664
0.3399189,0.29681838,0.37998322,0.45347518,0.77004826,0.5420933,0.4475504047550405
0.16567045,0.4493491,0.8695648,0.15200335,0.68507457,0.41068405,0.4421043842104384
0.08822867,0.572784,0.6186277,0.094201505,0.89287764,0.5056067,0.5381676538167653
0.24112481,0.2845439,0.552451,0.1705988,0.7847135,0.43111408,0.41898427189842724
0.09908226,0.47447723,0.6594701,0.09700686,0.9665697,0.6620558,0.4561858056185806
0.19209266,0.4943392,0.5733693,0.2231254,0.722984,0.28878757,0.45769976576997656
0.258641,0.731434,0.32695535,0.2627985,0.73575115,0.48313195,0.6810067681006768
0.2622227,0.6296333,0.25288332,0.2418052,0.8166657,0.59600925,0.5334541133454113
0.1394521,0.6843933,0.5557118,0.16240221,0.68938565,0.25611264,0.7172188317218832
0.15964174,0.4823515,0.845739,0.20362467,0.64783615,0.30208904,0.6185997118599712
0.25828558,0.23995787,0.73477995,0.20350897,0.71913946,0.52829415,0.36006191600619164
0.108777285,0.73213285,0.46822655,0.07711893,0.90664333,0.53745764,0.6937740693774069
0.16150832,0.4797942,0.73232996,0.073431194,0.7719117,0.44954318,0.4278482027848203
0.35668606,0.4558973,0.61094916,0.24204361,0.55003357,0.44796067,0.5242350524235053
0.4099713,1.0,0.0063173175,0.3271926,0.6799959,0.4354176,0.8548126854812687
0.040854275,0.6169796,0.8686659,0.08251673,0.95591426,0.6255805,0.5342490534249054
0.2180649,0.5836441,0.734728,0.25460047,0.6984314,0.4225164,0.4890543689054369
0.050405115,0.5266059,0.77038604,0.0996179,0.831738,0.35145178,0.6054840605484061
0.22933084,0.53505677,0.46619177,0.2283231,0.8149529,0.6492617,0.495860329586033
0.014495462,0.57205707,0.90154594,0.1106447,0.92944664,0.49799,0.5632954163295417
0.03988412,0.543069,0.9101571,0.13307154,0.81843007,0.40246415,0.5682710968271096
0.26047152,0.51388156,0.5270842,0.23792285,0.6568898,0.4172485,0.6098184609818461
0.1046772,0.37686068,0.7667378,0.12806356,0.8992428,0.5015131,0.502723680272368
0.051816255,0.54303455,0.88090897,0.12562168,0.8820907,0.4753955,0.5532892853289285
0.08037943,0.56232285,0.6199669,0.16471934,0.858001,0.46684158,0.602443260244326
0.09850708,0.5766348,0.89189076,0.12006152,0.8922471,0.57524836,0.48781351878135193
0.1403628,0.4373489,0.85934246,0.13728923,0.8242193,0.56884915,0.4205297920529792
0.20472443,0.50951225,0.40437895,0.2071333,0.784548,0.4755813,0.49090831909083193
0.16843331,0.521815,0.49229425,0.32694203,0.77430475,0.4963227,0.6216198621619862
0.24624527,0.33992177,0.52084696,0.2240097,0.71650314,0.42079872,0.48011450801145084
0.45908833,0.2683749,0.62187046,0.18882364,0.4749437,0.5582757,0.2096697909669791
0.04418513,0.62211394,0.7632979,0.06469071,0.9047764,0.49779326,0.5586061558606156
0.19163007,0.33708268,0.59101456,0.1900447,0.81190187,0.5860346,0.43287186328718635
0.118183196,0.44672033,0.61787266,0.06410712,0.90695333,0.5878708,0.45499901549990157
0.1456632,0.51103234,0.5106885,0.2033987,0.7470937,0.36265683,0.5815876581587658
0.45693105,0.8994578,0.08923644,0.355716,0.5603466,0.39707133,0.7788202378820238
0.2968402,0.5210997,0.65714264,0.21578622,0.5873947,0.3888958,0.5432573543257355
0.69071734,0.04152885,0.4238337,0.52174306,0.41116333,0.82470566,0.026699783669978366
0.15941572,0.47441936,0.8004482,0.2541632,0.7497777,0.4399317,0.6108806610880662
0.3847087,0.20821139,0.5522658,0.25955194,0.7694784,0.6857081,0.297141929714193
0.25506413,0.31291056,0.7313871,0.15513366,0.64424646,0.42594963,0.3061377106137711
0.3529654,0.5921166,0.21996224,0.40756482,0.6740864,0.42345512,0.6105658610565862
0.16987282,0.47913814,0.8154605,0.23378992,0.64439225,0.26626515,0.6062284606228461
0.13295215,0.5118445,0.87476414,0.18368572,0.7344398,0.4394589,0.501436450143645
0.17665792,0.39737934,0.8329071,0.22378898,0.70608485,0.415982,0.48275350827535085
0.18973994,0.59062374,0.56927633,0.30189496,0.64007807,0.34158707,0.798185009818501
0.31050748,0.43368065,0.7949307,0.23235667,0.51031005,0.31391644,0.4456716045671605
0.22169507,0.6800368,0.5365924,0.21161556,0.70852816,0.3735119,0.598755859875586
0.111564994,0.49346057,0.7622068,0.15225333,0.74693054,0.41254938,0.5760292976029298
0.34680742,0.3908566,0.3617983,0.3024208,0.6097491,0.31640202,0.398885709888571
0.3821534,0.24415776,0.7807409,0.23108071,0.5632138,0.53261924,0.33105227310522733
0.35062766,0.3134321,0.51692617,0.39665645,0.67040837,0.60158885,0.41430468143046817
0.21782577,0.59842706,0.46338284,0.21788943,0.7904119,0.5979227,0.5436238043623804
0.06821883,0.62497663,0.6203567,0.042004466,0.8144133,0.36525756,0.5903857590385759
0.39002877,0.5152944,0.3037345,0.363544,0.6322624,0.44036824,0.5498210149821016
0.15302181,0.40939403,0.75153875,0.22440612,0.7912491,0.51825196,0.42307404230740425
0.18649262,0.67421913,0.7145941,0.26782775,0.5456758,0.17731667,0.7331453733145373
0.10048354,0.6630975,0.6929462,0.14676696,0.7942958,0.43672007,0.5814710581471058
0.23323417,0.45887494,0.5507895,0.42450923,0.7207475,0.48393935,0.7292392429239244
0.22738254,0.5099271,0.44009984,0.18102336,0.7812557,0.54814917,0.405944140594414
0.25510412,0.7073443,0.62045735,0.10541123,0.7187721,0.56788313,0.5444016544401655
0.3087852,0.34359223,0.55884707,0.21844357,0.70608944,0.55508775,0.45001134500113454
0.11573404,0.4120923,0.73554355,0.18314272,0.77208763,0.4054842,0.4714836471483647
0.31535536,0.19840924,0.5062809,0.30040514,0.74391484,0.61089444,0.4247322424732243
0.34102613,0.29364562,0.6025634,0.35425377,0.5988908,0.44188714,0.4492312449231245
0.20076233,0.42588145,0.7006693,0.27994055,0.68885434,0.3706563,0.6799174079917408
0.13359725,0.50587314,0.8586756,0.21102697,0.7560767,0.36679474,0.6316087631608763
0.45591974,0.09771606,0.39560288,0.36765516,0.6866845,0.60265917,0.34798153479815347
0.5309351,0.19665584,0.38117856,0.5843568,0.53650546,0.6509694,0.4357974035797404
0.5656612,0.613013,0.17984909,0.8865423,0.38794526,0.5046808,1.0
0.18672848,0.5264933,0.5180959,0.22790885,0.79147595,0.47636706,0.5628182262818227
0.06571838,0.67804307,0.6425546,0.027159333,0.91695845,0.5658237,0.695199619519962
0.39459467,0.7591015,0.17657024,0.41850775,0.6407808,0.46063906,0.6844562384456239
0.42198396,0.4344584,0.55898094,0.5152782,0.34039748,0.2573252,0.6685516668551668
0.3790341,0.47489777,0.71979797,0.3876028,0.42304853,0.1911216,0.5788594578859458
0.22705305,0.83961725,0.35298198,0.18271768,0.8441098,0.5783453,0.7033762703376271
0.3280133,0.30721197,0.82576835,0.351107,0.47049603,0.3510895,0.2494111149411115
0.22908866,0.6189241,0.80710983,0.11664724,0.7662374,0.59813064,0.47039144703914476
0.2982062,0.62526417,0.68747103,0.17743582,0.66709304,0.46446562,0.5674513567451357
0.08166173,0.63558155,0.8076834,0.06833774,0.8846525,0.5651891,0.5895999589599958
0.19091964,0.5100754,0.64462733,0.17908281,0.8051873,0.49877143,0.4694475469447547
0.6181667,0.057117105,0.42199987,0.46581113,0.5801253,0.67914236,0.1511081651108165
0.03573814,0.6422982,0.69763935,0.03401339,0.89981836,0.48436219,0.6215324621532462
0.212435,0.51678574,0.8860043,0.29862654,0.55284065,0.2608098,0.507494950749495
0.22175664,0.49246678,0.5133434,0.34692776,0.7808824,0.5822501,0.5472117547211754
0.13507557,0.609607,0.5529365,0.20735013,0.72611105,0.35387522,0.7241734424173443
0.04510802,0.49621493,0.78237087,0.090495884,0.88360304,0.45750904,0.5222471522247152
0.32873392,0.2815871,0.59312564,0.2476145,0.5931791,0.4452449,0.3460038046003805
0.22963727,0.4148717,0.8039925,0.20839787,0.6287059,0.3858449,0.33917931391793144
0.15068835,0.49276054,0.593715,0.20306528,0.814046,0.5430651,0.5221071122107112
0.092996776,0.53453565,0.63911784,0.08556247,0.9347334,0.5765496,0.495735649573565
0.24903262,0.43333423,0.45825863,0.3848701,0.7835871,0.5661788,0.6091197609119762
0.12638515,0.36877343,0.675959,0.13492781,0.8964282,0.55771,0.46046410604641064
0.16051102,0.5739634,0.5002116,0.11041361,0.85386574,0.5595609,0.49519454951945496
0.034544945,0.66369724,0.6681703,0.04018867,0.9610125,0.5457679,0.6191725619172562
0.34949988,0.47662807,0.49579883,0.28392315,0.61991286,0.44035375,0.6040039604003961
0.3020032,0.50125766,0.37436587,0.44497067,0.7170647,0.5854101,0.584305958430596
0.05864808,0.56971353,0.8752051,0.08854902,0.90054005,0.5711844,0.49342874934287495
0.089036286,0.5563468,0.71346086,0.11410588,0.77876085,0.318958,0.4696934669693467
0.30294335,0.48704523,0.46458256,0.20699686,0.6909392,0.5231766,0.496532669653267
0.05375254,0.49620897,0.86380804,0.082342625,0.89093035,0.47680682,0.5318392531839253
0.056518614,0.55605006,0.84870696,0.17590654,0.8984078,0.55920213,0.5574845557484557
0.058422297,0.44149372,0.74543595,0.08295864,0.93357456,0.5696057,0.5046467504646751
0.23093617,0.32069308,0.72621095,0.17342669,0.6893608,0.49346268,0.4445292244529225
0.10513806,0.63505185,0.73772514,0.072414696,0.85558426,0.5207554,0.600947160094716
0.15751153,0.43473166,0.74877286,0.029627621,0.80499405,0.6449674,0.39258680925868095
0.26749653,0.7320292,0.23794863,0.27239358,0.7540507,0.52592635,0.6572942657294266
0.24084526,0.44529477,0.8062656,0.18255723,0.6306083,0.42470342,0.5260943526094353
0.22119015,0.46340644,0.7588044,0.19228351,0.69497085,0.4064748,0.5432458543245855
0.25532568,0.6729022,0.42688492,0.09540564,0.7479247,0.54764473,0.596095029609503
0.06678155,0.5619292,0.9177047,0.16686618,0.7944063,0.3917759,0.6018086601808661
0.14353329,0.59537536,0.7905857,0.24435931,0.68697494,0.25647855,0.6509857250985726
0.35037154,0.38997847,0.7469298,0.24314421,0.44515625,0.3106811,0.40079860007986007
0.17789418,0.6144894,0.66153604,0.1567818,0.9225936,0.66222525,0.4536381453638145
0.11920756,0.33508813,0.68152034,0.093360424,0.9551665,0.7072056,0.4869662986966299
0.2816512,0.58458245,0.47607252,0.23096293,0.6991989,0.5325813,0.5113017511301751
0.4711634,0.7399955,0.16648784,0.38462788,0.53115296,0.4093982,0.5527074552707455
0.16475618,0.4299245,0.5405685,0.110455155,0.873337,0.5882607,0.4728127472812747
0.27318233,0.45146003,0.40477937,0.33476508,0.7638755,0.5625485,0.5336343033634303
0.12318647,0.44869348,0.8024559,0.110908985,0.9106636,0.66636485,0.4122088712208872
0.3141433,0.47389975,0.3223765,0.44433856,0.6526413,0.38607466,0.6270987627098763
0.13122994,0.40669125,0.71570814,0.15710413,0.7505197,0.26390958,0.4917044491704449
0.13328582,0.6038927,0.8342068,0.14666337,0.90205586,0.58262223,0.5368972536897254
0.5926319,0.7052387,0.24202612,0.47065616,0.4667985,0.5501107,0.5656227565622757
0.15104002,0.7104115,0.52739257,0.1482752,0.738594,0.3776494,0.7361143736114374
0.13736206,0.5670204,0.7173948,0.21034944,0.6995336,0.32333583,0.6425491642549165
0.22191215,0.6847867,0.44811758,0.1916691,0.69004834,0.2651142,0.5464650946465095
0.29483992,0.33883014,0.5224831,0.27872622,0.70508313,0.581879,0.3782223578222358
0.17760211,0.6927868,0.5545885,0.14942616,0.73961616,0.42288536,0.6367185136718514
0.40357542,0.1541424,0.5431092,0.25804323,0.65720654,0.6894402,0.22418020241802025
0.4244585,0.68463707,0.12944353,0.54606223,0.7450864,0.7351069,0.5569699956969996
0.8203161,0.3776044,0.1342994,0.7220788,0.37272453,0.724443,0.3080531308053131
0.12600899,0.5772605,0.6533739,0.13916272,0.6927525,0.25209588,0.6368132636813264
0.089583874,0.48714614,0.67860585,0.15474063,0.83408463,0.500637,0.5345299134529914
0.5894008,0.7475403,0.36225995,0.38527942,0.43847254,0.540833,0.5063428506342851
0.15602744,0.5753301,0.71577245,0.22173047,0.7452654,0.34267184,0.7251352225135222
0.35006303,0.24048647,0.62329865,0.297064,0.6427313,0.51374954,0.28512852851285286
0.12978786,0.61014575,0.63135076,0.07583523,0.8560504,0.5027986,0.5337566533756654
0.40708244,0.37768734,0.7684834,0.27488565,0.4329531,0.3450389,0.3573063957306396
0.25399202,0.42858925,0.5723787,0.4233188,0.627458,0.40687907,0.7410472741047275
