size_D,duration_D,har,dba,ifc,nlan,telonuse,t02,t03,t05,t06,t13,t14,effort_D
0.20099404,0.13856205,0.2098139,0.062498033,0.13196162319616234,0.31962276803772316,0.64923126,0.33278036,0.13490013650998633,0.21678383300702997,0.36664572199874335,0.14754277885256672,0.17570996,0.2229242433754546
0.18429114,0.14412233,0.23367155,0.11153722,0.15724001572400156,0.3736319126368087,0.6659466,0.36464673,0.2309124569087543,0.29413975764838546,0.39961167397670044,0.18808991128539468,0.17418379,0.2230651633839098
0.24480179,0.13794777,0.14793056,0.04582405,0.11115153111515312,0.3080550691944931,0.6279458,0.2047298,0.0692469130753087,0.21459348287560898,0.3065937983956279,0.10638154238289255,0.26817322,0.28498671709920304
0.19909084,0.27097872,0.07560778,0.1362294,0.12211654821165482,0.04449910955008904,0.47580498,0.09540349,0.21533620846637913,0.09067771544066293,0.08082817984969079,0.11284709677082581,0.007914841,0.2685370561122234
0.13170582,0.1913026,0.34405524,0.2746032,0.27761292776129276,0.08829098117090188,0.5612538,0.44960207,0.41738103826189615,0.15703934942236097,0.331518849891131,0.2911675174700511,0.22001326,0.14664228879853736
0.36577404,0.24748564,0.27501768,0.094855785,0.297823849782385,0.3601607939839206,0.5403311,0.37681592,0.2326096367390363,0.3805823528349412,0.33258183995491036,0.2480392048823523,0.47829986,0.3862433631746018
0.11662179,0.07423107,0.3411212,0.11349183,0.16395799639579964,0.3086218491378151,0.7222921,0.4009493,0.2119935788006421,0.1960501817630109,0.45500358730021523,0.2227779733666784,0.17073303,0.11167256670035401
0.1469526,0.113539204,0.19713247,0.070866644,0.10108397410839741,0.27247903275209673,0.6523416,0.27262837,0.11587999841200015,0.18931637135898227,0.34382459062947546,0.17615415056924902,0.13223082,0.20258736215524173
0.11108193,0.0021393895,0.5448874,0.18318027,0.2202700320270032,0.3664095633590436,0.8095306,0.6044881,0.306533629346637,0.23467446408046785,0.6231313373878803,0.5007917300475038,0.29244775,0.03727564423653865
0.3731173,0.1872082,0.44314325,0.13779408,0.3547487954748796,0.6249401375059862,0.70963544,0.4626673,0.2113766788623321,0.57069983424199,0.5414607824876471,0.36788292207297535,0.5036874,0.3580258714815523
