TeamExp,ManagerExp,YearEnd,Transactions,Entities,Envergure,Language,Effort
0.8261827,0.67297685,0.3562212513732751,0.18669814,0.372448,0.49664956,0.7424253657574633,0.22334105
0.5814703,0.29705077,0.553405933204356,0.21066877,0.40098584,0.4873426,0.7363962263603773,0.24683927
0.80600536,0.72801673,0.4662809079768545,0.47424644,0.5855827,0.5679449,0.605063439493656,0.4814847
0.32173774,0.77448845,0.2498152149889129,0.25027525,0.19901638,0.69450945,0.702962689703731,0.22153914
0.5042156,0.25893003,0.5649231338953881,0.13448265,0.33689827,0.35686105,0.5974113902588609,0.17527497
0.70156056,0.7442032,0.1379470182768211,0.1813511,0.2760282,0.6076186,0.7166165583383441,0.24257384
0.6973235,0.75952244,0.24873445492406732,0.13587701,0.24842004,0.5219487,0.7851357214864279,0.15629196
0.20695262,0.76926064,0.6096392365783543,0.30926192,0.25226194,0.79057586,0.707844489215551,0.307944
0.5651895,0.7735126,0.3279609596776576,0.08189351,0.21144779,0.22193317,0.39662083033791695,0.10603838
0.53559124,0.5831641,0.47770496866229817,0.20837256,0.35875934,0.5748912,0.8329281567071842,0.22443268
0.39267433,0.7771379,0.4960213597612816,0.0686184,0.1325239,0.16507025,0.22995724700427528,0.0958992
0.8464247,0.74302846,0.5095780805746849,0.24381539,0.4526444,0.6018332,0.9268332373166762,0.3163721
0.47354978,0.69624263,0.18459688107581287,0.33601105,0.30377963,0.9407786,0.800956589904341,0.3743842
0.48748744,0.34206045,0.19846184190771052,0.1842325,0.28968096,0.76813847,0.697043630295637,0.27384135
0.46143264,0.37177622,0.37762894265773655,0.24592443,0.35789543,0.738067,0.797289120271088,0.26683253
0.30393535,0.27417806,0.6821873409312406,0.24554312,0.15869513,0.54560536,0.6837049616295039,0.27343127
0.22758257,0.43782517,0.37488432249305936,0.2866367,0.31737074,0.6691784,0.6408200359179964,0.22541717
0.79590666,0.72433496,0.39079162344749746,0.3269931,0.46342593,0.57712626,0.7377249262275073,0.35361335
0.8726325,0.8433955,0.5882823852969431,0.68440175,0.70367485,0.72881854,0.6086223391377661,0.68601775
0.27626815,0.74622613,0.550453133027188,0.1341037,0.23202164,0.3618427,0.512286048771395,0.18692838
0.4648701,0.35643768,0.5087361305241679,0.1448786,0.25850978,0.26291668,0.5286029471397053,0.18277496
0.42086202,0.3153707,0.3936385736183144,0.25695658,0.38629857,0.6291172,0.6764839323516066,0.25743392
0.43406916,0.24617027,0.48845424930725495,0.22816586,0.29003394,0.5711879,0.6816385318361468,0.22301601
0.7032395,0.63898504,0.4583338775000326,0.5577212,0.61990654,0.78618824,0.6662725733727426,0.5774462
0.79650277,0.7866375,0.49165454949927295,0.63399273,0.6525036,0.69711596,0.507939289206071,0.6463675
0.27062237,0.74980086,0.6016693361001602,0.11624911,0.21151032,0.20230755,0.13860294613970536,0.112983264
0.69548017,0.44254324,0.51692783101567,0.29093271,0.53069097,0.55266523,0.7887964611203538,0.3180468
0.8613552,0.7661964,0.4975614298536858,0.17069437,0.40989906,0.4572214,0.800671559932844,0.25065392
0.21391374,0.5308373,0.6615988396959305,0.18857145,0.23232132,0.41017348,0.49929459007054094,0.22031587
0.28158423,0.59109557,0.42058118523487115,0.35325962,0.326776,0.9024662,0.7697560630243937,0.35187963
0.39245927,0.3857144,0.3651090819065449,0.2681137,0.35116488,0.67900795,0.6877130812286918,0.24672168
