rely,data,modp,tool,actual
0.40005934,0.17611784,0.6919679,0.41418374,0.58251953
0.23061353,0.15313661,0.56260777,0.182692,0.5298103
0.36906397,0.1495142,0.64694995,0.20374902,0.60087943
0.23352134,0.18722816,0.5234657,0.21712245,0.42199284
0.18741393,0.38909388,0.50137436,0.15823685,0.75419074
0.18566403,0.26689118,0.64762425,0.17559765,0.5993622
0.5136709,0.15976346,0.70456874,0.41133845,0.5890107
0.20380008,0.6067353,0.67027104,0.3539586,0.7169524
0.45774686,0.099905536,0.59092605,0.3959638,0.39888155
0.06877604,0.77535516,0.1602156,0.15465339,0.71035933
0.7628445,0.08468649,0.60983723,0.77308017,0.42988637
0.031092644,0.53025144,0.2403048,0.13361074,0.6818194
0.07523498,0.64043593,0.47211388,0.2156141,1.0
0.34660274,0.14476916,0.61081785,0.2117237,0.53650934
0.7098026,0.11877838,0.7021104,0.6714778,0.49649405
0.10227147,0.8195667,0.08608256,0.31358135,0.81739014
0.3632239,0.2700791,0.8602926,0.35846305,0.459238
0.13871068,0.2637812,0.64629966,0.14391844,0.617162
0.027578562,0.51436704,0.2877386,0.119554624,0.60026383
0.11622992,0.3726912,0.555919,0.172116,0.52997065
0.11876336,0.3217235,0.57104266,0.06481512,0.62588483
0.33478177,0.20353425,0.5684407,0.32701844,0.40313324
0.05087152,0.48231888,0.4535826,0.1702648,0.63352615
0.25117278,0.17206044,0.61303943,0.19129635,0.4888761
0.04441312,0.595105,0.21023923,0.19725053,0.56586826
0.1018545,0.51788276,0.37070873,0.14517342,0.56023586
0.08684859,0.8251109,0.25082964,0.28460842,0.77498496
0.071828336,0.8240969,0.18633452,0.2507282,0.9771873
0.08333439,0.38638598,0.44126806,0.09347977,0.5838974
0.29267395,0.1422005,0.5724663,0.248958,0.5915828
0.08780208,0.85524535,0.09629841,0.2931474,0.6863051
0.20494714,0.20227394,0.5617492,0.17679213,0.5309824
0.095788926,0.8201262,0.066606715,0.2280985,0.80107766
0.25547993,0.2660855,0.7269984,0.17333986,0.6456095
0.19986069,0.1875258,0.4244024,0.25856727,0.4430312
0.034347028,0.4780691,0.33784786,0.11964972,0.66511935
0.47906327,0.17351526,0.7021435,0.46016884,0.46905336
0.063593656,0.5262048,0.37172925,0.049577966,0.7893727
0.06304231,0.48792726,0.44289792,0.14795823,0.64925367
0.03637123,0.48929974,0.3215139,0.10628648,0.66005385
0.2458356,0.12031157,0.59461504,0.2252795,0.42699546
0.03721267,0.48508978,0.3425783,0.14916013,0.66605365
0.5232793,0.18481334,0.73620653,0.5138233,0.48220396
0.04642254,0.4106395,0.40542218,0.18635587,0.60718876
0.39393038,0.10805012,0.6197134,0.32142007,0.53218347
0.24966925,0.20702639,0.5878349,0.15607004,0.52467483
0.3089761,0.22285506,0.58850765,0.2587573,0.39393678
0.20193177,0.25420788,0.6821799,0.22569816,0.5548313
0.029088706,0.42178994,0.41821414,0.15787055,0.6802997
0.2959525,0.1543623,0.6351803,0.23707037,0.4747061
0.07788354,0.37232843,0.5057215,0.13704015,0.6304563
0.4323364,0.12156589,0.59813803,0.34009916,0.45471647
0.27787107,0.18349004,0.63734,0.24918173,0.52660644
0.016139627,0.5507356,0.23660469,0.17471604,0.62503135
0.679727,0.13871028,0.6268291,0.5473706,0.48803163
0.18638918,0.40172622,0.6071516,0.14462383,0.75995487
0.1063185,0.31950632,0.514632,0.15025376,0.59480023
0.11938998,0.4296787,0.4963003,0.042275712,0.7124259
0.27215695,0.19506422,0.7072552,0.28370714,0.44245484
0.018493593,0.5447919,0.28181836,0.20049493,0.77070427
0.25822932,0.24637163,0.5582457,0.28688967,0.6610817
0.19280952,0.22051972,0.5147441,0.15732615,0.48921072
0.18835813,0.25790712,0.64776343,0.20496409,0.52366894
0.21441907,0.19480655,0.5487843,0.13406704,0.51836765
0.20332551,0.26035607,0.67620516,0.064253554,0.69415694
0.41958034,0.08986799,0.6082961,0.3795573,0.4780711
0.08507827,0.43850565,0.43138242,0.15319248,0.6216199
0.15298516,0.27268213,0.55578464,0.06591995,0.7130094
0.062405497,0.60055166,0.23594043,0.13015576,0.777292
0.08212772,0.37904182,0.48668966,0.09139337,0.58046234
0.23227105,0.20655009,0.60508776,0.14819433,0.5897081
0.27880305,0.16064084,0.5911177,0.22845517,0.46264184
0.1333265,0.30231348,0.5764989,0.13526393,0.5904266
0.2975512,0.26666015,0.7420955,0.19649182,0.5386392
0.6216267,0.10603924,0.63460046,0.60546035,0.37597612
0.06784168,0.42183313,0.44104266,0.13382675,0.6304081
0.075099945,0.57190853,0.36008346,0.0,0.7508864
0.35364306,0.082819924,0.5748413,0.2995435,0.33014345
0.7513049,0.081879705,0.70922893,0.698322,0.4549276
0.08472237,0.35121617,0.3764845,0.17808841,0.5177311
0.23797408,0.23842224,0.7499776,0.19799663,0.7340389
0.24883091,0.28539148,0.7752329,0.22493033,0.61991674
0.020192057,0.61044604,0.19408472,0.19431321,0.62870383
0.08881432,0.9471764,0.0,0.33064663,0.8585428
0.30775028,0.12619235,0.63302344,0.21202229,0.56160593
0.3206067,0.11052017,0.5649188,0.26638335,0.47333908
0.097658545,0.2899155,0.4820408,0.11434917,0.53657216
0.23390335,0.1530661,0.5939515,0.19353633,0.45403087
0.27189505,0.1850865,0.6227133,0.25621903,0.41359597
0.25283045,0.1920186,0.58367205,0.16684951,0.5529143
0.1365793,0.25812507,0.4270396,0.106019095,0.5060902
0.1623914,0.27964932,0.588153,0.09293549,0.6649643
0.09585324,0.37527528,0.5180691,0.1445591,0.60249525
0.062585026,0.71796465,0.2407648,0.24612914,0.7729485
0.35367477,0.1636672,0.58774525,0.21380974,0.5042245
0.029538572,0.515424,0.33050495,0.17495726,0.7129614
0.07485011,0.33809987,0.45469153,0.17256258,0.5202326
0.090732485,0.69684786,0.3167168,0.22608514,0.7200396
0.07452676,0.5022549,0.2878519,0.021275833,0.6843441
0.06038162,0.5342837,0.37352136,0.14294435,0.7803835
0.05703175,0.6486162,0.19723628,0.16218789,0.64467585
0.44535756,0.13365777,0.6346051,0.4416651,0.638067
0.42693782,0.15662283,0.6483551,0.29358166,0.5630681
0.6587992,0.14302266,0.60326666,0.52475256,0.47872496
0.1809344,0.2761597,0.46150735,0.10650374,0.60948384
0.04522562,0.74062276,0.16154754,0.13636594,0.67884034
0.15767851,0.24173838,0.6476408,0.1997966,0.5731629
0.0622423,0.34897992,0.42322806,0.15268661,0.51951295
0.46628308,0.09247864,0.5774343,0.40775645,0.49883646
0.39716482,0.117490366,0.57449913,0.32321978,0.5531121
0.018640935,0.52444327,0.3274374,0.18894808,0.7063745
0.4227159,0.14106795,0.70018554,0.38147813,0.5463712
0.0881207,0.37296617,0.38582376,0.104452446,0.7088666
0.12193611,0.3323044,0.42040253,0.1697271,0.45713043
0.103459,0.935587,0.14818229,0.2665999,0.87880707
0.32956165,0.17885739,0.64877564,0.32060868,0.5297619
0.096755385,0.49998042,0.45764253,0.19536884,0.6069823
0.6189316,0.08920501,0.6629811,0.50261563,0.553938
0.13863072,0.3969984,0.48278406,0.09300013,0.6578172
0.06330538,0.3713974,0.39461672,0.19713919,0.5291518
0.17040569,0.18845615,0.5919045,0.20906322,0.37688035
0.27366525,0.18845123,0.60681564,0.099267974,0.7007346
0.0,0.5174058,0.28566357,0.19184317,0.73553264
