size_D,duration_D,app,nlan,t02,t08,effort_D
0.5385364,0.591524,0.24884179,0.40825087,0.06031698,0.47399154,0.761694715701683
0.61193115,0.66863006,0.22993472,0.45024508,0.009997338,0.55083764,0.8256383495383011
0.45809457,0.5650264,0.09504002,0.2762852,0.03209448,0.44900984,0.8272610796356648
0.4294421,0.49138576,0.29678264,0.32214195,0.18340605,0.42898855,0.6013036360782182
0.25410116,0.29146296,0.3400611,0.21889947,0.34380782,0.36092493,0.5029176801750608
0.37932852,0.48581848,0.13658103,0.21071586,0.11595839,0.43205518,0.7157494429449666
1.0,0.95627916,0.7584218,1.0,0.19722855,0.9482858,0.7136474128188448
0.4564398,0.5574646,0.11556435,0.27576366,0.04412806,0.44812033,0.8117164887029893
0.48951262,0.57210755,0.12147778,0.31045574,0.024383754,0.45035595,0.841739850504391
0.2725832,0.30067572,0.46715268,0.22887537,0.37852263,0.39545107,0.4159125249547515
0.5160601,0.6015537,0.18245342,0.33504593,0.046759307,0.47970355,0.753004715180283
0.39740676,0.4289019,0.29531047,0.29853055,0.19319591,0.38626444,0.6146550368793022
0.4784333,0.5795179,0.11411762,0.2914775,0.028755665,0.46019563,0.824524849471491
0.3399933,0.4361308,0.15105036,0.24094231,0.1459997,0.3842128,0.7091522425491346
0.60962665,0.64588666,0.37894616,0.4659434,0.11271462,0.56248,0.5823534349412062
0.41325867,0.52096695,0.113587916,0.22801684,0.087554455,0.4508185,0.7661723459703408
0.21013509,0.33619964,0.3622345,0.12542172,0.41601002,0.4255669,0.544364132661848
0.36896563,0.34181267,0.41670987,0.4415726,0.24322975,0.23899357,0.6617660897059654
0.3406785,0.4365199,0.17983237,0.19542374,0.17124796,0.41600338,0.6812769408766164
0.85001993,0.87806064,0.5392755,0.7550657,0.111729056,0.8227236,0.7540740852444452
0.42740953,0.5145951,0.19143292,0.26570144,0.11002901,0.4477713,0.7076705424602325
0.67990667,0.6204149,0.44693908,0.6392092,0.09190637,0.501063,0.8479950508797032
0.4424187,0.4881168,0.2377244,0.31761423,0.11661503,0.4088569,0.7143741128624468
0.5716607,0.5807848,0.23761025,0.45502645,0.03790933,0.45973858,0.7983986479039189
0.24568191,0.34283248,0.31022432,0.11897767,0.343422,0.42263138,0.5145545308732719
0.408866,0.5090752,0.113280624,0.22638075,0.081147045,0.43282497,0.7602750456165028
0.48357862,0.5299764,0.18423173,0.33171624,0.060474098,0.4251237,0.7610699456641967
0.5996019,0.7186777,0.29706147,0.4594839,0.10427794,0.6872525,0.6445136386708183
0.31764185,0.5011,0.1166105,0.26423815,0.18815562,0.53243816,0.7608952956537178
0.2894389,0.21430472,0.5836419,0.4466825,0.395617,0.22539525,0.4175555950533357
0.50645804,0.59084904,0.12565607,0.35645717,0.010174841,0.45157927,0.8617182917030975
0.64629745,0.6961005,0.30258104,0.49334213,0.03799191,0.59098583,0.8100114986006899
0.42621863,0.480277,0.21470973,0.3225337,0.11578357,0.3923513,0.7066766424005986
0.38406447,0.51265824,0.07276943,0.18858871,0.09517068,0.45919877,0.6988181919290916
0.49968123,0.46700522,0.36401525,0.45976564,0.1428363,0.37120956,0.7014176120850568
0.39094886,0.42580646,0.32434198,0.36536843,0.16331059,0.33144927,0.7473067448384048
0.32223806,0.4303909,0.21249357,0.17190376,0.21166646,0.421853,0.6851231411073885
0.49851894,0.5827308,0.13979188,0.3214869,0.03824526,0.4646123,0.8105171786310308
0.45711306,0.56564677,0.10364127,0.26914856,0.043361455,0.45797414,0.8052813883168832
0.30555677,0.36186367,0.21132657,0.22419387,0.2116394,0.3744743,0.6170269370216163
0.59240913,0.7048992,0.20088527,0.41922992,0.030696005,0.58904314,0.7888887973333278
0.5052406,0.613165,0.16225347,0.32795954,0.042399526,0.50366384,0.7820798469247908
0.44526106,0.4423775,0.28618625,0.3465144,0.16794506,0.37628406,0.6746701404802085
0.461825,0.53818697,0.16684827,0.2774537,0.07475838,0.45304555,0.7497767449866047
0.44450295,0.51556724,0.18503037,0.30360687,0.078339726,0.39893788,0.8522853511371211
0.46677744,0.57288307,0.10464656,0.27872548,0.033505857,0.45786488,0.823159649389579
0.4517722,0.4429875,0.33129534,0.48489946,0.14133817,0.27316728,0.8205349892320994
0.40755326,0.4269548,0.31049648,0.34985572,0.18810531,0.37942368,0.6076978764618727
0.47401854,0.58990365,0.11398399,0.2796952,0.040442944,0.47864747,0.7960719977643199
0.44488207,0.55020696,0.088024795,0.2678089,0.036441028,0.4395134,0.8210549892632993
0.57246286,0.37394622,0.6806283,0.7406095,0.27060145,0.22784877,0.6804586408275185
0.40561527,0.5129455,0.094558716,0.23572767,0.07469702,0.43162042,0.7697350861841052
0.75746894,0.74983317,0.44779631,0.63425577,0.066476375,0.6601383,0.7956516077390965
0.44258028,0.5487132,0.101097494,0.2780021,0.04477465,0.43860567,0.8123395887403754
0.33393174,0.38034785,0.3350983,0.25874218,0.25802857,0.4073705,0.5134432608065957
0.41991937,0.5044343,0.15107241,0.2785077,0.084688485,0.41809604,0.7415731944943917
0.40951467,0.39333874,0.4259089,0.4621867,0.23239398,0.29043177,0.6178090970685459
0.41631824,0.47094858,0.25022277,0.30235836,0.15117475,0.40784454,0.6285654677139281
0.18430117,0.2788579,0.46898386,0.09556233,0.52961195,0.41328743,0.43191989591519375
0.41557,0.43804368,0.25071928,0.3714822,0.107311934,0.30696294,0.7663225959793558
0.42382732,0.42634267,0.28956214,0.36560863,0.15608361,0.35540047,0.6411415684684941
0.48458374,0.31200525,0.62042475,0.674161,0.27811426,0.16109908,0.6838605810316348
0.33211285,0.41085872,0.41208228,0.20333077,0.3378728,0.4637577,0.42510219550613176
0.28675234,0.31477734,0.3303688,0.24735248,0.29424804,0.37144843,0.5078545304712718
0.68736565,0.75587374,0.3170928,0.55359524,0.038983256,0.65930307,0.7947776776866607
0.8457173,0.8310267,0.6327326,0.7318268,0.159226,0.7733732,0.6023660361419622
