rely,data,time,stor,turn,acap,pcap,lexp,modp,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,actual
0.2,1.0,0.0,0.1071428571428572,0.7142857142857147,0.64,0.6527777777777778,0.2631578947368424,1.0,0.0967056323060573,0.47540024,0.35049564,1.0,0.22359686,0.5883051,0.8959615,0.6377752,0.38445047,0.6177071,0.60712874,0.70931965,0.1785222176389534
0.2,1.0,0.0,0.1071428571428572,0.7142857142857147,0.3866666666666667,0.4166666666666667,0.0,0.666666666666667,0.2534973258305604,0.58465326,0.51499265,0.82888377,0.41420627,0.46654186,0.63294876,0.46220803,0.47540593,0.5391062,0.46529022,0.5326782,0.1399057406903572
0.3846153846153847,1.0,0.0,0.0,0.2499999999999999,0.2,0.2222222222222222,0.0,0.2142857142857144,0.1132558666225327,0.73434234,0.67139333,0.9329995,0.63906217,0.32816482,0.17510922,0.32070875,0.55986077,0.40948173,0.308417,0.30579752,0.020809015192073
0.0,1.0,0.0,0.0,0.4642857142857144,0.64,1.0,0.0,1.0,0.0505391892127314,0.5798901,0.46871158,0.99465054,0.4166069,0.49073374,0.6579925,0.5218568,0.4775649,0.50596565,0.5008808,0.5652039,0.0205457210310599
0.2,0.0,0.0,0.0,0.4642857142857144,0.3866666666666667,0.2222222222222222,0.0,1.0,0.0122123307956307,0.5940272,0.6884796,0.42857432,0.64628977,0.29922637,0.3526171,0.26466942,0.6317148,0.3539161,0.33981502,0.35123476,0.0023784239211521
0.0,0.272727272727273,0.0,0.3749999999999999,0.4642857142857144,1.0,1.0,0.0,1.0,0.0017595512273305,0.3773667,0.3410027,0.9698146,0.26014355,0.62674177,0.97935635,0.60339063,0.34802547,0.6852036,0.6380341,0.7579898,0.0032560711245293
0.0,0.272727272727273,0.0,0.0,0.0,0.3866666666666667,0.4166666666666667,0.0,0.2142857142857144,0.004285639623003,1.0,0.9902753,0.6231345,0.98165923,0.0,0.20234588,0.009672971,0.9847568,0.0,0.0074048587,0.03172679,0.0001843059127092
0.6153846153846153,0.0,1.0,1.0,0.4642857142857144,0.0,0.4166666666666667,1.0,0.666666666666667,0.0174387205797808,0.13080001,0.21544848,0.25654724,0.20079337,0.7758406,0.65989155,0.7524688,0.13555217,0.80999994,0.7942387,0.7443904,0.093829262513055
0.6153846153846153,0.0,0.4545454545454546,0.3749999999999999,0.4642857142857144,0.2,0.2222222222222222,0.6315789473684218,0.2142857142857144,0.0244072402919809,0.5336153,0.6086769,0.31537592,0.57972705,0.38193852,0.4508495,0.37188432,0.5656646,0.40368447,0.40055898,0.39281055,0.0366066648528624
1.0,0.0,0.1666666666666668,1.0,0.7142857142857147,0.2,0.2222222222222222,0.2631578947368424,0.4285714285714286,0.0235361753279559,0.18909289,0.2446293,0.31926617,0.2610743,0.7897457,0.59492886,0.73192745,0.16126087,0.8164882,0.76744175,0.73305684,0.0276546633784151
