size_D,duration_D,nlan,t01,t02,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_TransPro,har_Multi,har_Network,har_PC,dba_Other,ifc_GUI,ifc_TextUI,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_app_InfServ,MI_size_D_t02,MI_size_D_t08,MI_size_D_har_Mainfrm,MI_size_D_t03,MI_size_D_t14,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_app_ProdCont,MI_size_D_telonuse_Yes,MI_duration_D_t07,effort_D
562,14,1,5,3,3,4,4,3,3,2,4,3,5,3,0,1,0,0,0,1,0,1,0,7868,2248,1124,1686,562,562,1686,2248,0,1686,2810,1686,1686,2248,0,0,56,1062
647,16,3,4,3,5,4,5,4,5,4,4,4,4,5,0,0,1,0,0,0,0,0,1,10352,2588,2588,2588,1941,0,1941,3235,647,3235,2588,3235,3235,2588,0,0,64,7871
130,5,3,2,3,3,2,2,4,3,4,4,4,4,4,0,0,1,0,0,0,0,0,1,650,260,520,520,390,0,390,260,130,390,520,390,520,520,0,0,10,845
254,8,2,3,3,2,2,3,4,5,4,3,2,3,3,0,1,0,0,0,0,0,0,1,2032,508,1016,1016,508,254,762,762,254,508,762,1270,762,762,0,0,16,2330
1056,16,3,2,2,4,3,5,4,4,5,4,3,2,3,1,0,0,0,0,0,0,0,1,16896,3168,5280,4224,3168,0,2112,5280,1056,4224,2112,4224,3168,4224,0,0,48,21272
383,12,2,3,3,3,4,3,4,4,3,4,5,4,4,0,0,1,0,0,0,0,0,1,4596,1532,1149,1532,766,0,1149,1149,383,1149,1532,1532,1532,1532,0,0,48,4224
345,12,4,2,3,3,2,2,4,4,4,4,4,5,4,0,0,1,1,0,0,0,0,1,4140,690,1380,1380,1380,0,1035,690,0,1035,1725,1380,1380,1380,0,345,24,2826
209,27,2,4,3,5,3,5,5,5,3,4,4,2,3,0,0,1,0,0,0,0,0,1,5643,627,627,1045,418,0,627,1045,209,1045,418,1045,627,836,0,0,81,7320
366,24,1,2,3,3,4,5,4,3,3,3,3,2,3,0,0,1,0,0,0,0,0,1,8784,1464,1098,1464,366,0,1098,1830,366,1098,732,1098,1098,1098,0,0,96,9125
1181,54,2,4,3,3,4,5,3,2,2,2,3,4,2,0,0,1,0,0,0,0,0,1,63774,4724,2362,3543,2362,0,3543,5905,0,3543,4724,2362,2362,2362,0,0,216,11900
181,13,2,2,3,2,2,5,3,4,2,3,2,3,3,0,1,0,0,0,0,0,0,1,2353,362,362,543,362,181,543,905,181,362,543,724,543,543,0,0,26,4300
739,21,1,5,3,4,3,3,3,2,2,2,1,1,2,0,0,1,0,1,0,0,0,1,15519,2217,1478,2217,739,0,2217,2217,0,2956,739,1478,1478,1478,0,0,63,4150
108,7,2,2,2,2,1,4,4,3,4,4,1,5,1,1,0,0,0,0,1,0,0,1,756,108,432,432,216,0,216,432,0,216,540,324,108,432,0,0,7,900
48,10,3,2,3,3,2,4,4,3,5,3,3,4,2,1,0,0,0,1,0,0,0,1,480,96,240,192,144,0,144,192,0,144,192,144,96,144,0,0,20,583
249,19,2,2,3,2,3,5,4,3,3,4,2,4,3,0,1,0,0,0,0,0,0,1,4731,747,747,996,498,249,747,1245,249,498,996,747,747,996,0,0,57,2565
371,11,2,3,4,3,3,3,5,5,2,4,3,3,3,0,0,1,0,0,0,0,0,1,4081,1113,742,1855,742,0,1484,1113,371,1113,1113,1855,1113,1484,0,0,33,4047
211,13,1,2,3,2,4,4,4,3,2,4,3,3,3,0,0,1,0,0,0,0,0,1,2743,844,422,844,211,0,633,844,211,422,633,633,633,844,0,0,52,1520
1849,32,4,4,1,3,4,5,4,4,4,4,3,3,4,0,0,1,0,0,0,0,0,1,59168,7396,7396,7396,7396,0,1849,9245,1849,5547,5547,7396,7396,7396,0,1849,128,25910
2482,38,4,4,3,4,5,4,5,4,5,5,3,1,4,0,0,1,0,0,0,0,0,1,94316,12410,12410,12410,9928,0,7446,9928,2482,9928,2482,9928,9928,12410,0,2482,190,37286
434,40,4,3,2,3,4,5,4,4,4,4,4,2,3,1,0,0,1,0,0,0,0,1,17360,1736,1736,1736,1736,0,868,2170,0,1302,868,1736,1302,1736,0,0,160,15052
292,29,3,4,3,4,3,4,5,5,3,4,4,2,3,0,0,1,0,0,0,0,0,1,8468,876,876,1460,876,0,876,1168,292,1168,584,1460,876,1168,0,0,87,11039
2954,14,4,4,4,2,4,3,4,4,5,3,2,3,3,1,0,0,1,0,0,0,0,1,41356,11816,14770,11816,11816,0,11816,8862,0,5908,8862,11816,8862,8862,0,0,56,18500
304,14,1,4,3,2,4,4,5,4,3,4,2,4,3,0,0,1,1,0,0,0,0,1,4256,1216,912,1520,304,0,912,1216,0,608,1216,1216,912,1216,0,0,56,9369
353,28,1,4,3,2,2,4,4,4,2,2,3,3,3,0,0,1,0,1,0,0,0,1,9884,706,706,1412,353,0,1059,1412,0,706,1059,1412,1059,706,0,0,56,7184
567,16,4,2,2,2,4,4,5,5,5,4,2,2,4,0,0,1,0,0,0,0,0,1,9072,2268,2835,2835,2268,0,1134,2268,567,1134,1134,2835,2268,2268,0,567,64,10447
