PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,Effort
0.09747386976760078,0.17264168153628334,0.44442159990113583,0.7741218438957084,0.6849168871577601,0.15812884445726072,0.7459540929737368,0.49790531094268475,0.6088158704149162,0.1367183206945818
0.03226167328181633,0.2778171279954923,0.4609091646503486,0.6306788140389382,0.7113608709000963,0.1552705539982488,0.4193878936052446,0.5135092186908355,0.2310685769199584,0.075539436568121
0.014441445261033102,0.17103232468225368,0.44577342139435183,0.636169984842445,0.7277658192589115,0.1502007065637901,0.4013224374486236,0.45925326617317613,0.28219634974129826,0.0117595340147268
0.01839398659011015,0.26121258817392246,0.44453080471652806,0.5965532381154649,0.7321217848992867,0.15334837454267938,0.4265200272221119,0.43818801645259037,0.34595845408910614,0.0588343041359856
0.02970543981418599,0.2298813722188812,0.46372090632110824,0.6599092386155871,0.7272288647822458,0.15423438583047042,0.29352228252558765,0.49409358662039543,0.396145789740507,0.0543649485291424
0.007634174438578067,0.2739730564615498,0.4413296508429526,0.5958010484009437,0.7308420979843621,0.14996523272883186,0.4231999277903791,0.4640184573926599,0.3565958921508508,0.0239403597464922
0.009581549768235609,0.3175865634407306,0.44251462508013056,0.5933513777770211,0.7298550690230294,0.14597268636282612,0.41692603801987504,0.4890796295268098,0.3492073186899557,0.0289592262886031
0.011531128161083381,0.2237848841618027,0.44308512602751154,0.6240863273895176,0.7274552336160249,0.1515906915609031,0.43666769330038174,0.46313916211669065,0.30445488202352655,0.0207348792907645
0.012091645683425817,0.2312858469637052,0.4454006844979418,0.6211366779561933,0.7306749150847487,0.1518544183664229,0.3987891940095373,0.4629700634965178,0.34266726319555546,0.0222918269406894
0.012054705200445947,0.7531495485979669,0.4432411159141952,0.5049920850363594,0.7250574957103315,0.12363314540360337,0.4465893468026391,0.6191237477530779,0.4111308205675192,0.0612887863135143
0.050699213521104056,0.35303499199740046,0.44693571350797767,0.6360539963148613,0.728866913605284,0.1637071489594796,0.3854013147608706,0.4175364867494578,0.29427186014918316,0.1863574751804227
0.009042299689149599,0.3728202727270379,0.44080402884477,0.5852884360434166,0.7288421798709238,0.14438949608008692,0.4175475103591705,0.5138196392494396,0.34465669179881114,0.030735978312635
