data,cplx,stor,tool,actual
0.6685686,0.20698243930175605,0.20505268230316093,0.24659917534008244,0.5787465
0.23609295,0.33286636671336334,0.3789337527360252,0.3778023322197668,0.37101144
0.74279046,0.16375078362492163,0.17494575049674502,0.1789346121065388,0.6730588
0.6026039,0.2930514206948579,0.37582298254937896,0.3141051685894831,0.51799953
0.6912719,0.06854929814507019,0.0562931033775862,0.06913250308674967,0.6455306
0.29681838,0.2910552708944729,0.3344381200662872,0.3740152925984707,0.44755036
0.4493491,0.1509454349054565,0.20011098200665892,0.18124900187509982,0.44210434
0.572784,0.08550848744915125,0.09691006581460396,0.16530387346961264,0.5381676
0.2845439,0.22876298712370127,0.23071165384269923,0.24652007534799245,0.41898423
0.47447723,0.11791242820875716,0.11847657710859463,0.198962010103799,0.45618576
0.4943392,0.14710344528965547,0.20470209228212555,0.1506740549325945,0.45769972
0.731434,0.1719607228039277,0.17998228079893686,0.1801032219896778,0.6810067
0.6296333,0.20777929922207006,0.21449001286940075,0.24704298529570146,0.53345406
0.6843933,0.0711903228809677,0.07152429429145767,0.10877044912295508,0.71721876
0.4823515,0.13670529632947034,0.2401538044092283,0.18767206123279387,0.61859965
0.23995787,0.2553247244675275,0.28729261723755706,0.31720236827976317,0.36006188
0.73213285,0.07890751210924878,0.07019722921183376,0.11501975849802414,0.693774
0.4797942,0.16454238354576164,0.1937364416241865,0.1539596146040385,0.42784816
0.4558973,0.3185746081425392,0.43985548639132915,0.3327348467265153,0.524235
1.0,0.2625084537491546,0.2403704144222249,0.22952506704749326,0.8548126
0.6169796,0.03873255612674439,0.03807211228432674,0.11596883840311616,0.534249
0.5836441,0.1513384148661585,0.1902929314175759,0.1735845626415437,0.48905432
0.5266059,0.022725549727445025,0.07288367037302022,0.09579696042030394,0.605484
0.53505677,0.20869505913049408,0.22719533363172004,0.2620923237907676,0.49586028
0.57205707,0.009209572079042792,0.03343147200588832,0.100404639959536,0.56329536
0.543069,0.012316463768353623,0.06889737413384245,0.11407302859269713,0.56827104
0.51388156,0.18567003143299685,0.2509194750551685,0.24415180558481941,0.6098184
0.37686068,0.100018579998142,0.12586176755170606,0.1729388627061137,0.50272363
0.54303455,0.03970548102945189,0.09280008556800513,0.10879181912081809,0.55328923
0.56232285,0.05812408918759108,0.0834922550095353,0.11873029812697018,0.6024432
0.5766348,0.07245823275417672,0.10429698625781918,0.14476524552347544,0.48781347
0.4373489,0.1339140066085993,0.1668304900098294,0.20500305949969405,0.42052975
0.50951225,0.1920251907974809,0.1929762515785751,0.21804616819538317,0.49090827
0.521815,0.12411518758848122,0.1389330983359859,0.19081734091826588,0.6216198
0.33992177,0.23907089609291038,0.29668034780082086,0.2709702529029747,0.48011446
0.2683749,0.48801903119809686,0.5249361314961679,0.4386242761375724,0.20966977
0.62211394,0.03947609305239069,0.03582954614977277,0.09180005481999451,0.5586061
