AFP,PDR_UFP,NPDU_UFP,N_effort,Effort
0.1475077,0.06715702671570267,0.03144458,0.07474221,0.075795874
0.1411669,0.20479315047931504,0.16066802,0.091599256,0.10022408
0.13779198,0.3186287318628732,0.2782971,0.08118074,0.08151172
0.15668808,0.4692647069264707,0.4379691,0.20732807,0.20166616
0.17425579,0.23337842333784237,0.19675821,0.11235465,0.121529415
0.24699192,0.06531187053118705,0.03759198,0.12143333,0.111771196
0.14449196,0.2604697060469706,0.22979787,0.07940176,0.08455438
0.095553055,0.18299473829947385,0.13668093,0.048066936,0.057143908
0.12912297,0.35370473537047353,0.31232533,0.13703686,0.1398566
0.1482333,0.4245275124527513,0.3367107,0.21803634,0.23165217
0.13790722,0.20371065037106506,0.16943035,0.07467724,0.078728445
0.15351535,0.13215008321500835,0.083627,0.08922146,0.09919362
0.5708712,0.10459228045922805,0.075980134,0.269445,0.2682387
0.16565555,0.13416358341635837,0.0952463,0.10691889,0.112788856
0.2469385,0.10544722054472205,0.07169492,0.09961487,0.1028703
0.17485617,0.0792516879251688,0.0462412,0.049672287,0.053887032
0.10515265,0.18527272852727286,0.14911243,0.07115768,0.071118265
0.16624093,0.16601041660104168,0.12580374,0.075540215,0.08285861
0.17094168,0.100527160052716,0.05752293,0.042175256,0.052935243
0.12246594,0.08882166888216689,0.04780688,0.03596222,0.043259405
0.11555478,0.19435107943510793,0.14256638,0.07334952,0.087910816
0.42775875,0.11142457614245763,0.063863575,0.14404827,0.15980783
0.1544472,0.12140915214091522,0.07492873,0.073489055,0.08953723
0.11396131,0.3717467571746757,0.34162813,0.11643398,0.102020845
0.12536956,0.301169010116901,0.26011148,0.10812257,0.110458195
0.097979434,0.12321905232190523,0.08417558,0.06226896,0.06563877
0.26852015,0.2858564885856488,0.24631825,0.31671625,0.31983647
0.19166768,0.0899459989945999,0.047530882,0.04431936,0.05481265
0.16598792,0.293624609362461,0.24642211,0.13019267,0.1445516
0.12938581,0.13677392367739238,0.07210996,0.052501813,0.072908744
0.13058454,0.16046341604634162,0.11427177,0.07070078,0.07650459
0.13699389,0.11621593162159317,0.07016577,0.03372229,0.04342647
0.24990135,0.10330463033046304,0.05999212,0.08594631,0.09934035
0.14213784,0.18995475899547593,0.14063448,0.13618577,0.1477771
0.12949085,0.1486924748692475,0.10170033,0.0611632,0.07638691
0.40577042,0.2699935069993507,0.21981522,0.41218266,0.43253604
0.2315274,0.1677167167716717,0.12039112,0.1499024,0.16199102
0.3096216,0.02373341337334134,0.0057564005,0.08036305,0.07731272
0.4302591,0.5167706516770652,0.497475,0.42472532,0.4197174
0.11597775,0.16647447664744766,0.13003132,0.058006067,0.06342666
0.12824427,0.2897719689771969,0.24198216,0.096179515,0.10251278
0.29716584,0.025716424571642457,0.022264,0.1624236,0.13005649
0.2556785,0.08646261864626187,0.052395463,0.089597836,0.09396594
0.07344733,0.18505063850506387,0.13554981,0.06567137,0.070236675
0.106863126,0.2939089293908929,0.25437376,0.10205114,0.1091667
0.18732981,0.06584477658447765,0.03468602,0.054861635,0.054618195
0.487866,0.12056010705601072,0.07388298,0.24508797,0.27221468
0.13563868,0.2779015277901528,0.2338399,0.0959492,0.10143359
0.38474563,0.06576041657604166,0.03146386,0.14992027,0.1622773
0.15022874,0.2557710255771026,0.21468851,0.04348672,0.04434712
0.14373583,0.12568978256897828,0.08449711,0.0554047,0.061645806
0.1371121,0.1803124380312438,0.1323798,0.06654246,0.075658485
0.2064848,0.06542315254231526,0.03473761,0.029814633,0.032425337
0.16611986,0.201183460118346,0.15095726,0.13002342,0.14092204
0.2309549,0.1788475578847558,0.1209392,0.11805031,0.1431173
0.15020089,0.17778258777825878,0.1331287,0.09413782,0.10684319
0.23383027,0.4495548149554815,0.4245874,0.29492676,0.28432468
0.14072064,0.41982324198232424,0.38645,0.14565815,0.14126717
0.09608091,0.36215889621588965,0.31936654,0.072937995,0.077692255
0.09565282,0.08484689248468925,0.053701155,0.036413297,0.031547666
0.12995617,0.30126943012694307,0.25103685,0.14500771,0.14285459
0.26394475,0.10316128531612853,0.07113707,0.11760625,0.12016541
0.13166845,0.09274566327456633,0.060948133,0.047629405,0.04770606
0.39261556,0.1595011559501156,0.124148436,0.17049074,0.17422788
0.30227625,0.2296935729693573,0.1927002,0.24351063,0.2513693
0.2641133,0.11542323154232317,0.06809163,0.08700295,0.10264242
0.32906651,0.29131826913182696,0.26155978,0.35137853,0.3512516
0.15405871,0.36627057662705764,0.3132798,0.19006021,0.19065084
0.08763637,0.1889367588936759,0.14979932,0.057459567,0.06342435
0.19019777,0.3199549919954992,0.29170847,0.14115669,0.14227559
0.13182569,0.5119748011974802,0.47718546,0.16164395,0.16008146
0.089871846,0.2070496007049601,0.16707131,0.08394631,0.08394764
0.22168775,0.6211051921105193,0.6122959,0.35683128,0.3199994
0.20556772,0.24037359403735942,0.19835019,0.14256904,0.1488872
0.14096716,0.15380264538026453,0.10570168,0.055077583,0.06945239
0.13017413,0.4216915821691582,0.39472863,0.14500362,0.13610865
0.1214471,0.17585584758558476,0.13310212,0.03639552,0.036535624
0.3346694,0.08204726220472622,0.05320382,0.07799483,0.083360024
0.263751,0.2377004837700484,0.19291487,0.22803505,0.24221689
0.15530843,0.17140491714049172,0.12502658,0.09782751,0.10945414
0.11202176,0.393848909384891,0.3555784,0.09840196,0.09558438
0.13436149,0.06037630403763041,0.034736954,0.022808693,0.020366766
0.13796419,0.18363374836337484,0.13751009,0.060309667,0.07498355
0.1623541,0.019123686912368692,0.012039162,0.02406606,0.005093636
0.13974322,0.14631380463138047,0.109142624,0.06232318,0.061784863
0.09592748,0.27411856741185675,0.22413296,0.052639548,0.059168577
0.14543739,0.1703490370349037,0.122392006,0.08762102,0.09434722
0.09780818,0.23820568382056842,0.19893458,0.04639885,0.04422506
0.11576809,0.1307010830701083,0.10262994,0.087518305,0.079868704
0.2935562,0.1089016758901676,0.06648886,0.12092283,0.13477923
0.12260182,0.09270834327083434,0.053642906,0.039280925,0.04714864
0.15104489,0.1192080219208022,0.084218964,0.081558265,0.08212079
