AFP,Added,N_effort,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_AFP_PDR_AFP,Effort
0.0901250785310411,0.1106038291605301,0.1366392496656835,0.0192725349623342,0.1094393523553069,0.1416251234059218,0.1367183206945818
0.0143354846079159,0.0037555228276877,0.0754547619483778,0.0369096369546609,0.0005332453006058,0.080381110122957,0.075539436568121
0.0081672282825975,0.0120029455081001,0.0116690175676418,0.0013307099556961,0.0007696822191151,0.0119591556995177,0.0117595340147268
0.0138785767319664,0.005081001472754,0.070893403432926,0.0297851216225799,0.0013360260991144,0.0619579318391357,0.0588343041359856
0.0161631161117139,0.0,0.0655077030170913,0.018675897965343,0.0299373414116306,0.0577254146846925,0.0543649485291424
0.0042263978525329,0.0,0.0288519665134001,0.0129876983819389,0.0016311946558955,0.0238489593107213,0.0239403597464922
0.0039979439145582,0.0,0.0348971404495411,0.0215735977821134,0.0018907617420123,0.0285567422468443,0.0289592262886031
0.0050259866354446,0.0088365243004418,0.0206451849273663,0.0058238763648078,0.000340436366147,0.0208219446325562,0.0207348792907645
0.0061111428408247,0.0059646539027982,0.0268735459524812,0.0084679793450241,0.0036717414944849,0.0226985305516346,0.0222918269406894
0.0024558798332286,0.0,0.0738610342743043,0.1618094049077831,0.0,0.0565729461583017,0.0612887863135143
0.0260437489291221,0.0338733431516936,0.1862829507776291,0.1224285594127415,0.0105318212417792,0.2009089203103706,0.1863574751804227
0.0033125821006339,0.001840942562592,0.0370404293905365,0.0312354558393516,0.0013960954896173,0.029694932402111,0.030735978312635
0.0108515620538009,0.0157584683357879,0.0550110828188829,0.0198105692652508,0.0073865931334472,0.050382252392647,0.0478807194929845
0.009537951910446,0.0123711340206185,0.0607631574126655,0.0357406066643247,0.0077295323908652,0.0636998931161929,0.0608491775653002
0.0218173510765891,0.0027982326951399,0.0143435490666617,0.000731764034548,0.0027369116047848,0.0109086755382945,0.0119060702641315
0.0145068250613969,0.012960235640648,0.0161204638297092,0.0015480786727424,0.0038354651062433,0.0165792286415964,0.0162105725903945
0.0018847449882917,0.0038291605301914,0.0451556174320833,0.0646391563850822,0.0003191186370462,0.039781581717157,0.0452430670037
0.0103375406933577,0.0117820324005891,0.0208833281430324,0.003446893919778,0.0007871161514162,0.0217826750324323,0.0209730006960471
0.0134787823405105,0.0013991163475699,0.0641337998497866,0.0319492432501076,0.0027194345191859,0.0678752967861422,0.0642195113016082
