Dataset                      Metric                    metric valor     t      l
---------------------------  ---------------------  ---------------  ----  -----
../datasets_2/albrecht.arff  MAE                       13.4669        100  0.002
../datasets_2/albrecht.arff  Median Absolute Error     11.2103        100  0.002
../datasets_2/albrecht.arff  RMSE                      14.2781        100  0.002
../datasets_2/albrecht.arff  R2 Score                 -13.1048        100  0.002
../datasets_2/albrecht.arff  MAE                        7.72215       100  0.003
../datasets_2/albrecht.arff  Median Absolute Error      6.76489       100  0.003
../datasets_2/albrecht.arff  RMSE                       8.83007       100  0.003
../datasets_2/albrecht.arff  R2 Score                  -4.39451       100  0.003
../datasets_2/albrecht.arff  MAE                        5.79183       100  0.004
../datasets_2/albrecht.arff  Median Absolute Error      5.17348       100  0.004
../datasets_2/albrecht.arff  RMSE                       6.88432       100  0.004
../datasets_2/albrecht.arff  R2 Score                  -2.27904       100  0.004
../datasets_2/albrecht.arff  MAE                       10.8774        100  0.005
../datasets_2/albrecht.arff  Median Absolute Error     11.9217        100  0.005
../datasets_2/albrecht.arff  RMSE                      11.9503        100  0.005
../datasets_2/albrecht.arff  R2 Score                  -8.88059       100  0.005
../datasets_2/albrecht.arff  MAE                        5.70866       100  0.006
../datasets_2/albrecht.arff  Median Absolute Error      3.43301       100  0.006
../datasets_2/albrecht.arff  RMSE                       6.91488       100  0.006
../datasets_2/albrecht.arff  R2 Score                  -2.30821       100  0.006
../datasets_2/albrecht.arff  MAE                        6.09672       200  0.002
../datasets_2/albrecht.arff  Median Absolute Error      4.54269       200  0.002
../datasets_2/albrecht.arff  RMSE                       7.08767       200  0.002
../datasets_2/albrecht.arff  R2 Score                  -2.47561       200  0.002
../datasets_2/albrecht.arff  MAE                        7.69508       200  0.003
../datasets_2/albrecht.arff  Median Absolute Error      6.76639       200  0.003
../datasets_2/albrecht.arff  RMSE                       9.12194       200  0.003
../datasets_2/albrecht.arff  R2 Score                  -4.75703       200  0.003
../datasets_2/albrecht.arff  MAE                        7.68473       200  0.004
../datasets_2/albrecht.arff  Median Absolute Error      6.75028       200  0.004
../datasets_2/albrecht.arff  RMSE                       8.67157       200  0.004
../datasets_2/albrecht.arff  R2 Score                  -4.20259       200  0.004
../datasets_2/albrecht.arff  MAE                        8.47309       200  0.005
../datasets_2/albrecht.arff  Median Absolute Error      7.70489       200  0.005
../datasets_2/albrecht.arff  RMSE                       9.49541       200  0.005
../datasets_2/albrecht.arff  R2 Score                  -5.23809       200  0.005
../datasets_2/albrecht.arff  MAE                        9.37007       200  0.006
../datasets_2/albrecht.arff  Median Absolute Error      8.0145        200  0.006
../datasets_2/albrecht.arff  RMSE                      10.3174        200  0.006
../datasets_2/albrecht.arff  R2 Score                  -6.36491       200  0.006
../datasets_2/albrecht.arff  MAE                        3.88216       300  0.002
../datasets_2/albrecht.arff  Median Absolute Error      2.47788       300  0.002
../datasets_2/albrecht.arff  RMSE                       5.85922       300  0.002
../datasets_2/albrecht.arff  R2 Score                  -1.37522       300  0.002
../datasets_2/albrecht.arff  MAE                        3.56856       300  0.003
../datasets_2/albrecht.arff  Median Absolute Error      1.83193       300  0.003
../datasets_2/albrecht.arff  RMSE                       5.45342       300  0.003
../datasets_2/albrecht.arff  R2 Score                  -1.0576        300  0.003
../datasets_2/albrecht.arff  MAE                       10.077         300  0.004
../datasets_2/albrecht.arff  Median Absolute Error      7.60126       300  0.004
../datasets_2/albrecht.arff  RMSE                      12.0376        300  0.004
../datasets_2/albrecht.arff  R2 Score                  -9.02542       300  0.004
../datasets_2/albrecht.arff  MAE                       12.9234        300  0.005
../datasets_2/albrecht.arff  Median Absolute Error     10.9437        300  0.005
../datasets_2/albrecht.arff  RMSE                      13.9363        300  0.005
../datasets_2/albrecht.arff  R2 Score                 -12.4376        300  0.005
../datasets_2/albrecht.arff  MAE                       14.3613        300  0.006
../datasets_2/albrecht.arff  Median Absolute Error     12.4787        300  0.006
../datasets_2/albrecht.arff  RMSE                      15.3417        300  0.006
../datasets_2/albrecht.arff  R2 Score                 -15.2845        300  0.006
../datasets_2/albrecht.arff  MAE                        6.42706       400  0.002
../datasets_2/albrecht.arff  Median Absolute Error      3.14797       400  0.002
../datasets_2/albrecht.arff  RMSE                       8.08369       400  0.002
../datasets_2/albrecht.arff  R2 Score                  -3.52109       400  0.002
../datasets_2/albrecht.arff  MAE                       11.343         400  0.003
../datasets_2/albrecht.arff  Median Absolute Error      8.98151       400  0.003
../datasets_2/albrecht.arff  RMSE                      13.5914        400  0.003
../datasets_2/albrecht.arff  R2 Score                 -11.7807        400  0.003
../datasets_2/albrecht.arff  MAE                       24.7717        400  0.004
../datasets_2/albrecht.arff  Median Absolute Error     23.7918        400  0.004
../datasets_2/albrecht.arff  RMSE                      25.6145        400  0.004
../datasets_2/albrecht.arff  R2 Score                 -44.3935        400  0.004
../datasets_2/albrecht.arff  MAE                       11.8325        400  0.005
../datasets_2/albrecht.arff  Median Absolute Error      8.61951       400  0.005
../datasets_2/albrecht.arff  RMSE                      13.3529        400  0.005
../datasets_2/albrecht.arff  R2 Score                 -11.336         400  0.005
../datasets_2/albrecht.arff  MAE                       15.7351        400  0.006
../datasets_2/albrecht.arff  Median Absolute Error     13.689         400  0.006
../datasets_2/albrecht.arff  RMSE                      16.4634        400  0.006
../datasets_2/albrecht.arff  R2 Score                 -17.7527        400  0.006
../datasets_2/albrecht.arff  MAE                        8.24469       500  0.002
../datasets_2/albrecht.arff  Median Absolute Error      6.66821       500  0.002
../datasets_2/albrecht.arff  RMSE                       9.51731       500  0.002
../datasets_2/albrecht.arff  R2 Score                  -5.2669        500  0.002
../datasets_2/albrecht.arff  MAE                        2.53626       500  0.003
../datasets_2/albrecht.arff  Median Absolute Error      1.5511        500  0.003
../datasets_2/albrecht.arff  RMSE                       3.27464       500  0.003
../datasets_2/albrecht.arff  R2 Score                   0.258092      500  0.003
../datasets_2/albrecht.arff  MAE                       13.6474        500  0.004
../datasets_2/albrecht.arff  Median Absolute Error     11.9221        500  0.004
../datasets_2/albrecht.arff  RMSE                      14.5724        500  0.004
../datasets_2/albrecht.arff  R2 Score                 -13.6921        500  0.004
../datasets_2/albrecht.arff  MAE                        8.48452       500  0.005
../datasets_2/albrecht.arff  Median Absolute Error      7.78542       500  0.005
../datasets_2/albrecht.arff  RMSE                       9.03965       500  0.005
../datasets_2/albrecht.arff  R2 Score                  -4.65363       500  0.005
../datasets_2/albrecht.arff  MAE                        5.54653       500  0.006
