size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,ifc_GUI,source_Inhouse,telonuse_No,MI_size_D_app_InfServ,MI_size_D_har_Mainfrm,MI_size_D_t14,MI_size_D_telonuse_Yes,MI_size_D_ifc_GUI,MI_size_D_har_Multi,MI_size_D_app_CustServ,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,562,0,2810,0,562,0,0,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,647,2588,0,0,0,0,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,130,520,0,0,0,0,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,254,254,762,0,0,0,0,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1056,2112,0,0,0,1056,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,383,1532,0,0,0,0,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1725,345,0,345,0,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,209,418,0,0,0,0,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,366,732,0,0,0,0,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4724,0,0,0,0,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,181,181,543,0,0,0,0,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,739,0,0,0,0,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,540,0,0,0,108,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,192,0,0,0,48,583
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,249,249,996,0,0,0,0,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,371,1113,0,0,0,0,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,211,633,0,0,0,0,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1849,5547,1849,0,0,0,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2482,2482,2482,0,0,0,37286
434,40,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,868,0,0,434,434,15052
292,29,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,292,584,0,0,0,0,11039
2954,14,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,8862,0,0,2954,2954,18500
304,14,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1216,0,0,304,0,9369
353,28,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1059,0,0,0,0,7184
567,16,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,567,1134,567,0,0,0,10447
467,13,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,467,1401,467,0,0,0,5100
3368,45,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,3368,6736,0,0,0,0,63694
253,4,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,253,506,253,0,0,253,1651
196,10,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,784,196,0,196,0,1450
185,12,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,185,185,925,0,0,0,0,1745
387,6,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,387,1161,0,0,0,387,1798
430,28,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,430,1720,0,0,0,0,2957
