TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_ManagerExp,MI_Entities_Language,Effort
0.79363346,0.858179,0.4498198,0.1481247,0.22004688,0.23781477,0.46771473,0.92378426,0.098542646,0.38978088,0.090759866,0.050808024,0.19575854,0.3299622,0.26749295
0.6989883,0.72498083,0.1630724,0.30769134,0.16437392,0.2891502,0.54416585,0.86368173,0.12247582,0.54487926,0.18335071,0.13038374,0.27164158,0.24326807,0.39126194
0.8451134,0.8547432,0.49447232,0.1330404,0.18900688,0.20415483,0.40509552,0.9160797,0.081114106,0.33040583,0.06445748,0.06972323,0.15644827,0.29729727,0.21127926
0.74635166,0.8401663,0.18028858,0.17147678,0.06931785,0.16629188,0.511798,0.94211936,0.031449474,0.29935205,0.1094981,0.082078196,0.13974172,0.13187537,0.1284489
0.85477096,0.8297158,0.61252576,0.3598141,0.24143067,0.37909052,0.63555723,0.88869655,0.19589643,0.6240739,0.33071882,0.16818553,0.37414318,0.3498826,0.42395896
0.30610332,0.7377894,0.669127,0.22280088,0.060166676,0.20555615,0.44563258,0.29245484,0.053590313,0.18220109,0.15784633,0.11708565,0.13596512,0.036309816,0.10733912
0.7282391,0.4155436,0.33375138,0.19995895,0.12871744,0.18390483,0.37195277,0.85501885,0.06667008,0.310312,0.05996529,0.050246693,0.11228016,0.21562095,0.20262513
0.5303181,0.8330495,0.5042922,0.08795479,0.0680287,0.07516959,0.29161996,0.8542427,0.025911411,0.21015477,0.029689008,0.09240518,0.06275956,0.14888647,0.1340263
0.7196384,0.81995946,0.18381622,0.23360273,0.17546032,0.28247076,0.5793673,0.9070431,0.11506507,0.49881637,0.16850118,0.07675824,0.25412542,0.24522571,0.30208445
0.17111346,0.42259932,0.36268967,0.17199004,0.12328732,0.14473414,0.5333144,0.917817,0.05053526,0.34358257,0.101318136,0.059607435,0.07685712,0.22436294,0.24640936
0.02586889,0.49980986,0.45764017,0.15537652,0.17004445,0.16579193,0.4487043,0.86396325,0.07836841,0.3686142,0.10369478,0.08612123,0.10606122,0.2522241,0.2287644
0.13972661,0.89243853,0.76928097,0.1718696,0.007276904,0.1769744,0.2078121,0.4190438,0.022624422,0.19752632,0.02499565,0.1236389,0.111783475,0.071037695,0.1082821
0.047429882,0.8379836,0.55487907,0.30112237,0.14757283,0.29838347,0.5591781,0.7930045,0.11184199,0.44561595,0.18773544,0.1420127,0.2827847,0.19056074,0.28268307
0.762987,0.86122584,0.4128797,0.14059432,0.32561874,0.2888916,0.63212746,0.93332016,0.19757204,0.50359243,0.19421999,0.06326042,0.26997864,0.4560799,0.37696046
0.07131635,0.45840853,0.5917282,0.24023867,0.17606167,0.2637664,0.47295296,0.90831435,0.11235772,0.46704346,0.16541494,0.110043615,0.15136959,0.29214078,0.21505168
0.8084178,0.420372,0.41769588,0.20704296,0.32385278,0.3243066,0.6723407,0.90128183,0.2448769,0.5697232,0.25974566,0.091453955,0.19150122,0.47080356,0.34564817
0.04059264,0.35074967,0.64088184,0.10359395,0.15717253,0.14133424,0.34122276,0.8558282,0.07147512,0.27399373,0.054803006,0.045233544,0.111147106,0.24207586,0.23676485
0.14053844,0.8971125,0.9193079,0.18494204,0.0035309177,0.2244188,0.19099958,0.41332394,0.0015633777,0.23448168,0.017795302,0.14134511,0.090722084,0.10992784,0.11882895
0.12551168,0.41407794,0.51688623,0.23280084,0.14590637,0.23311229,0.5840705,0.9326402,0.08361912,0.43596005,0.1708765,0.07398747,0.124270126,0.27225554,0.28158477
0.28530294,0.8603975,0.61877954,0.39034042,0.18410002,0.34408727,0.6957515,0.7003061,0.1363054,0.4560094,0.30490863,0.11083357,0.3823654,0.18583319,0.31352013
0.057424247,0.82304925,0.5580667,0.15377653,0.112143785,0.14440371,0.4387321,0.76266164,0.04502911,0.27889642,0.094462335,0.08459077,0.1539772,0.16255307,0.1992595
0.7325008,0.30441362,0.35847127,0.17527649,0.19273226,0.22731146,0.5919209,0.8588905,0.13249539,0.39345405,0.15176821,0.051147267,0.1344848,0.3035977,0.23614253
0.860331,0.8487572,0.29661626,0.14186606,0.08562428,0.13872299,0.39322585,0.8872964,0.06706838,0.29762387,0.09168309,0.09558654,0.1235154,0.13347435,0.10621586
0.28128734,0.8007713,0.5660158,0.15594596,0.1716115,0.19100766,0.2702567,0.70164543,0.07592583,0.29400876,0.030360095,0.06121648,0.18595561,0.19161719,0.21101847
0.29440728,0.2729396,0.32557702,0.1545153,0.39788434,0.2807364,0.43314403,0.6078939,0.27660373,0.406877,0.2106485,0.09085558,0.11427267,0.37580377,0.1295914
0.032972783,0.6598225,0.52410895,0.18883765,0.18454891,0.20847556,0.48978817,0.79983497,0.083982594,0.36991853,0.13280737,0.09367661,0.17472726,0.2258278,0.24662101
0.88370794,0.73694205,0.41927445,0.31318963,0.30188853,0.37288848,0.78329986,0.866545,0.26936868,0.6469614,0.41578943,0.15521494,0.3621478,0.4559214,0.58968705
0.6842533,0.74133754,0.57357395,0.23058441,0.20040363,0.28572056,0.16869396,0.7683432,0.091872424,0.44583565,0.07398583,0.14374559,0.22755125,0.26027185,0.23973615
0.060447466,0.46016833,0.5880611,0.2889249,0.15888928,0.30827454,0.5447082,0.88326544,0.13574828,0.51741886,0.2224166,0.15118276,0.16335154,0.28569347,0.2188772
0.28132552,0.6451787,0.53902835,0.28530753,0.15744549,0.2750927,0.0,0.58190423,0.047680743,0.36956808,0.012200337,0.08652669,0.1816651,0.19003415,0.14850713
0.19832855,0.89393884,0.38955343,0.15914494,0.07443513,0.1108195,0.6501684,0.8788639,0.03768007,0.28170544,0.14298886,0.0642001,0.15549044,0.14069888,0.21433531
0.58370864,0.83148926,0.62944084,0.6154623,0.3018681,0.57621664,0.8053738,0.6589235,0.41548818,0.62237895,0.61038804,0.4101979,0.6425178,0.28132725,0.54982626
0.8933624,0.3764132,0.6081684,0.2609023,0.12686668,0.2712057,0.5393352,0.8532514,0.108084604,0.44453356,0.15654647,0.124663055,0.15893582,0.22361243,0.26250172
0.06852502,0.88122386,0.5189334,0.20666829,0.11826831,0.16873932,0.6026193,0.7533147,0.061372615,0.28859738,0.15476057,0.06665149,0.20184925,0.13979483,0.2552021
0.48812032,0.4291534,0.61091185,0.035156302,0.83024156,0.44243002,0.60251445,0.7488179,0.673857,0.6767511,0.37950802,0.11521855,0.23456398,0.86001945,0.13960505
0.038131755,0.54248,0.6581612,0.18596363,0.10287501,0.19905666,0.47843373,0.61752546,0.07306817,0.31244922,0.12157716,0.099906944,0.13008243,0.14848165,0.20238425
0.7419859,0.7024944,0.14111307,0.25259796,0.17466192,0.28937748,0.6196529,0.92975855,0.10977563,0.51677775,0.20517318,0.10676106,0.22370097,0.27583227,0.29960588
0.8506033,0.8677512,0.36157554,0.13433036,0.23652762,0.2397933,0.6460948,0.93683505,0.13550207,0.43267512,0.17386134,0.041144013,0.23616785,0.37303716,0.34991622
0.1922974,0.88318104,0.38925862,0.17632487,0.078577414,0.116866246,0.7366308,0.8893187,0.044573553,0.26928377,0.18027443,0.04245157,0.16656454,0.13017361,0.25904226
0.77773154,0.7767168,0.52808315,0.27664128,0.25794017,0.3462233,0.43229997,0.82343996,0.19333076,0.54185516,0.1916894,0.119909726,0.30346602,0.33566022,0.34279028
0.053477056,0.53345656,0.35457093,0.18813437,0.2881977,0.24296796,0.13262358,0.47653282,0.16293548,0.30645424,0.01626981,0.09939374,0.21157813,0.20014718,0.18118954
0.29835537,0.8184897,0.037156373,0.31628385,0.03326255,0.2146663,0.60703504,0.95253104,0.03965012,0.43084478,0.1892558,0.098227434,0.22323984,0.06943434,0.1976828
0.49525613,0.7321043,0.39454645,0.33318296,0.39971924,0.3736148,0.35957503,0.57330155,0.30108073,0.4630159,0.18081313,0.08970927,0.41874546,0.2901965,0.35881197
0.81705767,0.75653225,0.34775805,0.23059788,0.23520876,0.3017863,0.5708283,0.8949769,0.15565467,0.5462714,0.20397766,0.11245221,0.26375222,0.36815828,0.38418758
0.76413447,0.55886567,0.59022593,0.23018947,0.16712633,0.25393638,0.6438403,0.83411336,0.10536033,0.42141882,0.1840213,0.07152504,0.19764781,0.24553387,0.2774474
0.11384012,0.83707947,0.6825485,0.19008747,0.07093987,0.2061629,0.15314113,0.47016224,0.03335867,0.22689791,0.019755874,0.10471013,0.15016904,0.099376366,0.13064094
0.11589336,0.45786875,0.49293393,0.24147385,0.16696534,0.2429386,0.4156838,0.84668255,0.11518437,0.46499246,0.1330127,0.10814704,0.14613934,0.26488578,0.18478243
0.5616782,0.76155937,0.39538532,0.42445678,0.28722447,0.38387036,0.41395438,0.433887,0.21533017,0.32293198,0.21952073,0.13132496,0.4306988,0.13525158,0.19136783
0.2363385,0.6691392,0.679619,0.3609982,0.16998145,0.3260387,0.729113,0.60208344,0.11950526,0.41718477,0.3373971,0.12601693,0.29160315,0.16922885,0.26264012
0.15862086,0.38759595,0.40619403,0.311442,0.22237897,0.33535236,0.63484144,0.8866518,0.17641926,0.5993842,0.30748326,0.14653319,0.13800144,0.34192228,0.325595
0.35563603,0.7337052,0.47598737,0.36670533,0.22347113,0.401423,0.7647482,0.92984825,0.19901949,0.6421411,0.36155537,0.16153398,0.3070444,0.39833927,0.47083473
0.05498036,0.5463862,0.30951512,0.5863715,0.084053144,0.462191,0.5841861,0.95188355,0.14231265,0.7480797,0.30834228,0.2341977,0.32158995,0.2348966,0.3339082
0.9066558,0.89320517,0.5472246,0.22908258,0.30187604,0.32818204,0.7505601,0.9248997,0.21510608,0.542464,0.32567194,0.08975037,0.33136237,0.42844385,0.4553159
0.79469967,0.77162707,0.36280435,0.14239985,0.40910152,0.33268437,0.7411467,0.9234858,0.30231768,0.5981526,0.30693373,0.0666427,0.27568516,0.55897754,0.35720515
0.5918212,0.79568344,0.6091742,0.14669965,0.118000835,0.16758358,0.26309574,0.778645,0.04580068,0.31018424,0.05180808,0.093030386,0.14118229,0.19025397,0.1684702
0.75035465,0.7051708,0.79560375,0.5264254,0.206837,0.51368296,0.57340086,0.82574874,0.28773466,0.7358687,0.42157602,0.2770616,0.41447777,0.29581356,0.45573467
0.41201195,0.8725867,0.51875055,0.19796205,0.19916472,0.2574145,0.64773417,0.92630315,0.11756793,0.43483987,0.206056,0.10899983,0.25053805,0.31540692,0.32054836
0.67740774,0.8911616,0.35351664,0.21191731,0.20176177,0.25857276,0.6847745,0.9475722,0.1158952,0.47988564,0.20740992,0.08633273,0.2764172,0.32555878,0.3871348
0.65742624,0.17766033,0.18599907,0.20815498,0.06256062,0.13619073,0.54960793,0.8353356,0.049589053,0.2386319,0.08934548,0.044111438,0.080662586,0.15373218,0.2674024
