size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,effort_D
0.143335192414947,0.2,0.0,0.0,0.6979651364831616,0.0,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,0.0,0.5,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.5,0.5071853,0.0075898020947219
0.1670384829894032,0.24,1.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.6666666666666666,0.0,0.75,0.5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.13187605,0.1154790765476699
0.0228667038482989,0.02,1.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.6666666666666666,0.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.4748391,0.0041514157595347
0.0574456218627997,0.08,0.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,0.5,1.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.61992645,0.0276813867630048
0.2810931399888455,0.24,0.8795232095320975,0.619852032890937,0.6979651364831616,1.0,1.0,0.6666666666666666,0.0,0.25,0.25,0.6666666666666666,0.0,0.25,0.0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.25,0.5,0.5030869,0.3278192391183787
0.0934188510875627,0.16,1.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.3333333333333333,0.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.75,0.75,0.34134188,0.0576920029788784
0.0828220858895705,0.16,1.0,1.0,0.6979651364831616,1.0,1.0,1.0,1.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.33964506,0.035540555529147
0.0448968209704406,0.46,1.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.3333333333333333,0.0,0.75,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.31450203,0.1067484273739918
0.0886781929726715,0.4,1.0,0.619852032890937,0.6979651364831616,1.0,1.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.0,0.25,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.7076143,0.1353488298394891
0.3159509202453988,1.0,1.0,0.8249376887731341,1.0,1.0,0.0,0.3333333333333333,0.0,0.75,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.25,0.68009484,0.1793189776742564
