Generated_Var_1,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_8,actual
273.75092,265.66745,-122.30801,-201.38861,-315.3939,127.26679,2040.0
222.57785,219.59668,-98.20577,-162.85248,-255.45665,102.03877,1600.0
40.33498,40.87305,-16.821524,-28.41318,-45.40433,17.236423,243.0
34.06994,34.270473,-14.812368,-24.778421,-39.10405,15.327067,240.0
5.579176,5.903236,-2.1487014,-3.8269174,-6.362185,2.1408715,33.0
6.077956,6.38387,-2.4896805,-4.289976,-7.074279,2.4725103,43.0
2.0748067,2.3719974,-0.6139883,-1.3379761,-2.358046,0.59322625,8.0
143.44597,138.84529,-64.63406,-105.66297,-165.74446,67.27679,1075.0
57.057602,55.898933,-25.21952,-41.81887,-65.77185,26.200687,423.0
43.51398,42.857544,-19.106434,-31.836151,-50.14443,19.824677,321.0
30.005033,29.921518,-13.018371,-21.84971,-34.54846,13.477312,218.0
27.95818,28.01503,-12.114113,-20.332537,-32.167736,12.536636,201.0
11.726156,12.046065,-4.896745,-8.341583,-13.366298,4.9846272,79.0
8.280425,8.561801,-3.4557076,-5.905994,-9.687764,3.4823463,60.0
8.400529,8.655069,-3.516448,-6.00313,-9.799417,3.56772,61.0
5.8083367,6.147564,-2.3362007,-4.0599236,-6.7293735,2.29137,40.0
1.9911624,2.3348935,-0.615968,-1.2763273,-2.38053,0.5274078,9.0
1521.6155,1468.4954,-687.2293,-1122.1268,-1756.2275,715.6508,11400.0
915.66254,900.94556,-404.88422,-670.5172,-1050.914,420.87695,6600.0
857.19543,829.86365,-384.195,-631.1579,-987.93964,399.84827,6400.0
332.93073,325.11752,-147.20995,-244.23972,-382.7608,153.2944,2455.0
100.05623,98.78855,-44.007233,-73.171455,-114.93623,45.73256,724.0
73.9992,73.02042,-32.488632,-54.118446,-85.067184,33.77186,539.0
63.267925,62.885487,-27.727697,-46.19319,-72.6392,28.797216,453.0
70.49495,68.94512,-31.209824,-51.71536,-81.23224,32.45554,523.0
52.8234,52.13167,-23.122688,-38.608982,-60.754364,24.025902,387.0
12.133049,12.324279,-5.1473937,-8.744707,-14.05214,5.277701,88.0
13.552647,13.756377,-5.7410865,-9.773003,-15.670669,5.889932,98.0
1.6603118,1.9704777,-0.5051837,-1.0651499,-1.9917471,0.40601167,7.3
1.4979095,1.8032818,-0.43647715,-0.9563339,-1.8102043,0.33789137,5.9
142.80952,138.93562,-63.639656,-104.96699,-164.56429,66.19807,1063.0
116.95773,117.94521,-49.14012,-82.54809,-131.62485,50.445946,702.0
81.52304,79.65156,-36.145554,-59.8242,-93.93444,37.574863,605.0
31.267437,30.950556,-13.646254,-22.81922,-36.032887,14.143662,230.0
11.439467,11.722184,-4.789352,-8.2122345,-13.235366,4.8981338,82.0
8.109868,8.412677,-3.3175352,-5.73962,-9.271196,3.3594253,55.0
13.365333,13.225083,-5.3117337,-9.026892,-14.461453,5.535338,47.0
3.5196025,3.7283368,-1.2064079,-2.322149,-3.8657913,1.2558734,12.0
2.0069582,2.3271277,-0.5861274,-1.290011,-2.334981,0.5529402,8.0
1.7640201,2.0925891,-0.5286624,-1.130103,-2.1249099,0.4444893,8.0
1.7268553,2.0175154,-0.49353382,-1.1041682,-1.989464,0.4465254,6.0
10.533317,10.699183,-4.107107,-7.1277866,-11.575645,4.2233615,45.0
12.502486,12.819906,-5.232419,-8.891364,-14.216474,5.3325624,83.0
13.14225,13.459601,-5.5093465,-9.342437,-14.929158,5.6158924,87.0
15.751776,16.063053,-6.6765523,-11.269698,-17.942266,6.8415494,106.0
21.507915,21.95411,-8.811984,-15.054098,-24.225008,9.021849,126.0
6.5400276,6.884839,-2.5126708,-4.47944,-7.4443517,2.5336845,36.0
190.11987,190.35458,-82.946495,-137.36115,-216.22627,85.69155,1272.0
26.575142,27.049744,-10.939198,-18.631556,-29.90864,11.214868,156.0
24.158947,24.139193,-10.444045,-17.56637,-27.834324,10.805002,176.0
16.657248,16.677023,-7.1831546,-12.084255,-19.263067,7.4011226,122.0
6.0008273,6.3201833,-2.3974087,-4.191633,-6.9045644,2.3678932,41.0
2.625607,2.9730823,-0.8659125,-1.7172574,-3.0759158,0.7882166,14.0
3.2294402,3.560751,-1.1763203,-2.1758413,-3.76595,1.1030817,20.0
3.1071687,3.4287946,-1.1004966,-2.0866005,-3.6138268,1.0466142,18.0
128.0041,124.0748,-57.483776,-94.230995,-147.83339,59.828457,958.0
32.070126,31.644642,-14.06632,-23.420446,-37.010006,14.567327,237.0
18.16809,18.408596,-7.7716985,-13.136946,-20.933092,8.001202,130.0
10.484374,10.797853,-4.3560925,-7.4385605,-11.929243,4.424963,70.0
7.9675465,8.257546,-3.2880335,-5.675157,-9.262785,3.3284752,57.0
8.612717,8.959808,-3.4133637,-5.9696894,-9.765081,3.4555619,50.0
5.711444,6.047362,-2.237112,-3.9530404,-6.563914,2.208735,38.0
3.0545475,3.3759153,-1.0226265,-2.02544,-3.5275884,1.0112989,15.0
