Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
162.2652,210.82742,-121.32294,201.43799,285.74805,-73.60248,-104.634674,186.84517,5152
175.2116,229.6651,-131.40514,218.12697,310.70792,-80.07291,-114.04369,203.51959,5635
24.764282,31.735233,-18.448904,30.960476,43.024933,-10.829152,-16.179846,28.499445,805
119.147514,153.46411,-88.27359,147.6892,207.81767,-52.588985,-76.49306,136.96683,3829
66.549446,85.346985,-49.289455,83.10796,115.832726,-29.317604,-43.1041,76.5553,2149
87.60655,113.65292,-65.188805,108.330536,153.62186,-39.026066,-56.225044,101.0928,2821
80.59443,104.45642,-60.114273,99.849335,141.43942,-36.11349,-51.92182,92.81209,2569
122.61308,159.6416,-91.71337,152.46394,216.27505,-55.5997,-79.48743,141.69667,3913
253.132,331.36652,-192.64986,312.29456,445.12598,-109.97553,-159.70334,288.25946,7854
75.898315,99.283875,-56.967327,94.09689,134.23265,-34.5432,-49.149036,87.88771,2422
126.65325,164.97572,-94.63663,157.43147,223.26747,-57.21605,-82.07309,146.54213,4067
292.73157,383.62997,-223.54286,361.2014,514.351,-125.943634,-183.52177,332.2639,9051
70.76652,93.146095,-53.263943,87.75013,125.62926,-32.342533,-45.981613,82.35134,2282
130.5471,170.68217,-97.88017,162.28088,231.05655,-59.58269,-84.70564,151.21423,4172
154.98001,201.53601,-115.63614,192.72145,272.8903,-69.858925,-100.37534,179.1783,4977
50.594097,64.72262,-37.44869,63.15514,87.87443,-22.269104,-32.641243,58.128822,1617
100.576355,132.2592,-75.627785,124.08863,178.20879,-45.101658,-64.30431,116.23936,3192
103.31175,133.52638,-76.60957,128.41013,180.82213,-45.195362,-67.29827,119.256424,3437
135.00902,176.59995,-100.53822,167.67767,238.02307,-60.033443,-87.74121,157.31133,4494
26.243769,33.46787,-19.459906,32.74182,45.44525,-11.479325,-16.927282,30.12056,840
477.39468,627.81476,-364.27966,591.55457,844.14844,-210.62555,-305.4208,547.9215,14973
159.87788,211.29332,-120.32939,198.91293,285.12582,-73.434906,-104.405945,186.70758,5180
180.0839,233.03136,-133.90419,223.84497,315.85168,-80.558586,-116.26491,207.58423,5775
342.43857,446.53506,-260.33002,422.19305,600.3935,-148.44386,-215.30978,388.5001,10577
122.17778,159.29883,-91.01264,151.51503,215.01935,-54.621204,-78.89368,141.74706,3983
96.13608,124.04084,-71.179474,119.148415,167.86082,-42.037113,-62.07238,110.796265,3164
107.790596,139.75221,-79.913826,133.42957,188.70792,-47.446007,-69.37109,124.68216,3542
129.57867,167.02261,-95.91947,161.29875,226.50568,-56.831654,-84.17171,149.41171,4277
227.90369,301.5814,-173.53555,283.07953,405.8527,-102.50634,-147.76779,264.47415,7252
120.00862,154.44821,-88.83695,149.75723,209.67537,-52.746098,-78.09858,138.33328,3948
121.39497,159.67407,-91.19333,150.91043,215.62343,-55.54619,-79.00977,141.37363,3927
22.434467,27.10685,-16.54458,29.35735,38.24822,-10.085795,-15.177785,25.54687,710
75.585,96.75501,-55.856663,94.320404,131.4415,-33.290768,-48.725555,86.87033,2429
202.45685,265.72348,-153.04263,250.87367,358.6152,-91.22654,-130.47841,233.70715,6405
20.280338,24.327068,-14.892905,26.564804,34.53686,-9.047545,-13.727204,23.056551,651
295.5546,387.65552,-225.92747,364.80017,519.49976,-127.11469,-185.32498,335.4875,9135
45.555275,54.16075,-33.11988,59.962303,76.94554,-19.882221,-30.074188,51.330723,1435
184.28752,240.07352,-137.67561,229.41649,325.07114,-83.398994,-119.63787,213.32124,5922
26.36939,32.28052,-19.592308,34.738018,45.43141,-11.930382,-18.050879,30.33874,847
