YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-499.32062,-599.498,119.9448,-425.7541,498.47046,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-548.2614,-658.45233,134.70798,-468.0066,550.13983,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-76.00222,-89.172806,18.365808,-62.9608,75.07724,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-373.42554,-445.78882,88.50527,-316.4469,370.86716,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-208.97098,-247.73958,48.30983,-175.54346,205.76274,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-273.2304,-326.91083,66.93709,-232.14423,273.4645,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-247.10078,-295.94016,59.936817,-209.94142,246.79762,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-378.57916,-454.1765,91.38359,-322.48923,378.1454,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-760.8737,-918.6879,192.58844,-653.5483,770.1492,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-232.14426,-278.825,57.93165,-197.9517,233.55069,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-395.10345,-473.47238,96.19174,-336.3208,395.25406,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-879.0896,-1062.2639,222.90016,-756.61115,890.83386,9051
