ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4.0,7490,0,0,0,1,1,83.62333,-61.705814,47.50486,-13.9802265,-282.1268,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,17.0,4150,0,1,0,0,1,55.072807,-46.254314,32.31183,-10.175156,-192.5746,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,9.0,668,1,0,0,0,1,7.346083,-5.823976,4.4442286,-1.3155572,-25.188433,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,4.0,3901,1,0,0,0,1,50.656418,-42.75512,29.442604,-9.519047,-176.57254,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,13.0,3607,1,0,0,0,1,52.32257,-43.92453,30.705967,-9.664625,-182.92905,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,4.0,1606,1,0,0,0,1,22.47138,-18.644226,13.267137,-4.128222,-78.22012,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,6.0,1936,1,0,0,0,1,26.259758,-22.61446,14.565741,-5.34623,-89.89358,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,7.0,1158,0,1,0,0,1,15.261279,-12.529113,9.065908,-2.7848713,-52.948452,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,6.0,1498,1,0,0,0,1,19.369638,-16.453535,10.931682,-3.8479416,-66.41578,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,7.0,4063,1,0,0,0,1,54.681335,-48.789326,27.897394,-12.392725,-183.23137,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,9.0,10200,1,0,0,0,1,126.24807,-106.54841,73.871,-23.38755,-442.199,10200
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,7.0,2053,1,0,0,0,1,27.048874,-23.662186,14.561547,-5.7509904,-91.7928,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,7.0,3034,0,1,0,0,1,37.752716,-32.01812,21.675291,-7.2549376,-130.90576,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,26.0,3348,1,0,0,0,1,42.144413,-35.3024,24.762947,-7.7752366,-147.23242,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,7.0,814,1,0,0,0,1,18.415396,-11.714512,10.71426,-1.3731635,-58.593506,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,3.0,911,1,0,0,0,1,12.16365,-9.905043,7.2572026,-2.2098517,-42.0845,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,6.4,2496,1,0,0,0,1,33.434135,-27.923725,19.677025,-6.1583314,-116.6839,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,10.0,1171,1,0,0,0,1,14.046052,-11.499665,8.356336,-2.5592854,-48.68642,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,13.0,3532,1,0,0,0,1,49.32324,-41.383736,28.954662,-9.107851,-172.40984,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1.0,525,1,0,0,0,1,8.544979,-6.8395877,5.144263,-1.5381107,-29.39318,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,4.0,1095,1,0,0,0,1,21.63743,-17.930487,12.788936,-3.968486,-75.310745,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,6.0,10957,1,0,0,0,1,149.62958,-138.72401,105.932526,-34.052536,-539.94836,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,6.0,344,1,0,0,0,1,5.1821012,-3.990821,3.1806817,-0.9138537,-17.59896,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,3.0,296,0,0,0,1,1,3.7705348,-2.7039058,2.3428464,-0.6374195,-12.544345,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,13.0,4220,1,0,0,0,1,54.634834,-48.720207,28.614258,-12.019365,-184.7823,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1.0,296,1,0,0,0,1,4.596478,-3.494727,2.838737,-0.8051438,-15.5450735,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,24.0,2082,0,1,0,0,1,23.873373,-19.8246,14.0945,-4.3835497,-83.15259,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,7.0,191,0,0,0,1,1,5.6160426,2.3358133,4.9931293,6.4925156,-10.633908,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,15.0,3583,1,0,0,0,1,44.658142,-40.076435,23.014969,-10.038141,-150.16872,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,2.0,395,1,0,0,0,1,7.126467,6.4113007,1.1991831,1.222398,-13.530482,328
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,8.0,406,1,0,0,0,1,4.156491,-2.8058832,2.5363054,-0.67130417,-13.61382,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,8.0,2151,1,0,0,0,1,26.645908,-22.767555,15.000086,-5.300203,-91.61674,1785
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,8.0,471,0,1,0,0,1,6.7315574,-5.303399,4.0854087,-1.201482,-23.033182,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,5.0,700,0,1,0,0,1,8.06611,-5.90779,4.788482,-1.3629162,-27.07412,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,2.0,698,1,0,0,0,1,11.168968,-9.062426,6.6764083,-2.0252066,-38.59598,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,3.0,1459,1,0,0,0,1,20.147701,-16.845379,11.706784,-3.8115876,-69.71108,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,4.0,1372,1,0,0,0,1,19.44707,-16.074984,11.509984,-3.561886,-67.62875,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,19.0,16690,0,1,0,0,1,185.55551,-156.78902,108.50059,-34.3969,-650.2008,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,2.0,239,1,0,0,0,1,3.8236344,-4.081165,2.6332455,-0.99183995,-13.530326,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,5.0,1520,1,0,0,0,1,18.267735,-15.075943,10.821373,-3.3429644,-63.49262,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,8.0,1754,1,0,0,0,1,21.481821,-17.798666,12.698074,-3.9396007,-74.765,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,6.0,1824,1,0,0,0,1,20.265406,-16.937496,11.784626,-3.8282988,-70.13999,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,8.0,804,1,0,0,0,1,11.934362,-9.710808,7.123322,-2.167288,-41.28035,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,20.0,5864,1,0,0,0,1,70.399315,-59.237732,41.260967,-13.020245,-246.32742,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,3.0,1172,1,0,0,0,1,20.623438,-17.071512,12.196863,-3.780257,-71.754486,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,13.0,5333,0,1,0,0,1,46.541603,-23.379465,23.183203,-5.8722873,-144.69229,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,8.0,1775,0,1,0,0,1,23.450151,-19.46608,13.847382,-4.304986,-81.668274,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,5.0,246,1,0,0,0,1,5.084413,-5.9904475,3.3435168,0.6440607,-20.97615,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,7.0,3793,1,0,0,0,1,45.890568,-38.47584,26.950327,-8.470639,-160.37085,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,12.0,10501,1,0,0,0,1,133.98854,-122.445465,64.91088,-31.752811,-445.32153,8716
