Transactions,Entities,PointsAdjust,Envergure,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
253.0,52.0,305.0,34.0,0.0,162.2652,210.82742,-121.32294,201.43799,-71.05096,-27.521154,285.74805,45.543804,-73.60248,-104.634674,186.84517,5152
197.0,124.0,321.0,33.0,0.0,175.2116,229.6651,-131.40514,218.12697,-76.996574,-29.566593,310.70792,50.180122,-80.07291,-114.04369,203.51959,5635
40.0,60.0,100.0,18.0,0.0,24.764282,31.735233,-18.448904,30.960476,-10.48129,-3.997367,43.024933,6.208536,-10.829152,-16.179846,28.499445,805
200.0,119.0,319.0,30.0,0.0,119.147514,153.46411,-88.27359,147.6892,-50.975803,-19.587584,207.81767,32.334515,-52.588985,-76.49306,136.96683,3829
140.0,94.0,234.0,24.0,0.0,66.549446,85.346985,-49.289455,83.10796,-28.281471,-10.991478,115.832726,17.432407,-29.317604,-43.1041,76.5553,2149
97.0,89.0,186.0,38.0,0.0,87.60655,113.65292,-65.188805,108.330536,-37.85365,-14.416802,153.62186,24.61449,-39.026066,-56.225044,101.0928,2821
119.0,42.0,161.0,25.0,0.0,80.59443,104.45642,-60.114273,99.849335,-34.966564,-13.386735,141.43942,22.027378,-36.11349,-51.92182,92.81209,2569
186.0,52.0,238.0,25.0,0.0,122.61308,159.6416,-91.71337,152.46394,-53.52357,-20.606503,216.27505,33.91843,-55.5997,-79.48743,141.69667,3913
172.0,88.0,260.0,30.0,0.0,253.132,331.36652,-192.64986,312.29456,-115.88434,-47.85368,445.12598,83.85386,-109.97553,-159.70334,288.25946,7854
78.0,38.0,116.0,24.0,0.0,75.898315,99.283875,-56.967327,94.09689,-33.32653,-12.678289,134.23265,21.414843,-34.5432,-49.149036,87.88771,2422
167.0,99.0,266.0,24.0,0.0,126.65325,164.97572,-94.63663,157.43147,-55.09466,-21.12435,223.26747,35.38672,-57.21605,-82.07309,146.54213,4067
146.0,112.0,258.0,40.0,0.0,292.73157,383.62997,-223.54286,361.2014,-134.70189,-56.604614,514.351,99.69364,-125.943634,-183.52177,332.2639,9051
33.0,72.0,105.0,19.0,0.0,70.76652,93.146095,-53.263943,87.75013,-31.143494,-11.720329,125.62926,20.542965,-32.342533,-45.981613,82.35134,2282
162.0,61.0,223.0,32.0,0.0,130.5471,170.68217,-97.88017,162.28088,-57.316208,-22.023726,231.05655,36.93076,-59.58269,-84.70564,151.21423,4172
223.0,121.0,344.0,28.0,0.0,154.98001,201.53601,-115.63614,192.72145,-67.264084,-25.874624,272.8903,43.105602,-69.858925,-100.37534,179.1783,4977
119.0,48.0,167.0,26.0,0.0,50.594097,64.72262,-37.44869,63.15514,-21.527868,-8.396627,87.87443,13.19586,-22.269104,-32.641243,58.128822,1617
57.0,43.0,100.0,43.0,0.0,100.576355,132.2592,-75.627785,124.08863,-45.216686,-17.648037,178.20879,30.45125,-45.101658,-64.30431,116.23936,3192
68.0,316.0,384.0,20.0,0.0,103.31175,133.52638,-76.60957,128.41013,-43.67091,-16.617056,180.82213,27.934834,-45.195362,-67.29827,119.256424,3437
9.0,386.0,395.0,21.0,0.0,135.00902,176.59995,-100.53822,167.67767,-57.814114,-21.749529,238.02307,39.520687,-60.033443,-87.74121,157.31133,4494
58.0,34.0,92.0,29.0,0.0,26.243769,33.46787,-19.459906,32.74182,-11.151611,-4.328391,45.44525,6.6908298,-11.479325,-16.927282,30.12056,840
318.0,269.0,587.0,34.0,0.0,477.39468,627.81476,-364.27966,591.55457,-217.84868,-88.45226,844.14844,158.76932,-210.62555,-305.4208,547.9215,14973
88.0,170.0,258.0,34.0,0.0,159.87788,211.29332,-120.32939,198.91293,-71.0501,-27.072466,285.12582,47.869854,-73.434906,-104.405945,186.70758,5180
306.0,132.0,438.0,37.0,0.0,180.0839,233.03136,-133.90419,223.84497,-77.713066,-30.03947,315.85168,49.321987,-80.558586,-116.26491,207.58423,5775
304.0,78.0,382.0,39.0,0.0,342.43857,446.53506,-260.33002,422.19305,-156.4929,-64.89428,600.3935,113.15395,-148.44386,-215.30978,388.5001,10577
89.0,200.0,289.0,33.0,0.0,122.17778,159.29883,-91.01264,151.51503,-52.725384,-20.00855,215.01935,35.18758,-54.621204,-78.89368,141.74706,3983
86.0,230.0,316.0,33.0,0.0,96.13608,124.04084,-71.179474,119.148415,-40.76432,-15.526953,167.86082,26.283043,-42.037113,-62.07238,110.796265,3164
