ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,Resource,Dev.Type,Duration,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_N_effort_Input,MI_N_effort_Enquiry,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Changed,MI_N_effort_Output,Effort
0.88350916,0.0025375523,-0.0002529974,0.017566133,0.004383048,-0.0063938447,0.009128628,0.0012269823,0.00050721224,0.0011900365,0.08439863,0.00073183305,-0.0011951509,0.00030496716,0.0054496536,0.0011538349,0.004931164,0.00027308738,0.00057030685,-0.00043820852,9.835651e-05,-0.00058073807,0.0005410497,-0.00040318276,0.0067674154
0.80352795,0.022463508,0.013697256,0.035662197,0.07423721,0.024524916,0.0065807793,0.023688449,0.00584654,0.00044803196,0.024618654,-0.0007922312,-0.0010175214,0.04963896,0.020975487,0.0015062359,0.004539216,0.0007840626,0.0007505258,0.0023952243,0.0033139735,0.0003534936,0.0010873335,0.00031047256,0.01924611
0.52611405,0.0033937632,-0.00032780087,0.015513232,0.004571248,0.0039813044,-0.0023337323,0.0018323746,0.0029506865,0.00023583695,0.11156276,-0.0003128252,-0.0010554804,0.068686984,0.008584576,0.0005382784,0.004221998,4.6213856e-05,0.00027962137,-0.0006657322,0.0010034256,-7.136946e-05,0.0005537645,-0.0007030997,0.010375125
0.43459174,0.0106084645,0.0042566387,0.036519095,0.014712406,0.005249398,0.0031089783,0.0062483335,0.011263958,8.6122775e-05,0.034083813,0.040085196,-0.0010100941,0.13085096,0.007887213,0.00032648141,0.0014002651,0.00041662218,0.0003889671,-0.0008535584,0.00455107,-0.00014598935,0.0007803336,0.00049092347,0.008745946
0.42388764,0.004797175,0.0026834472,0.0136403935,0.009082241,0.0005734316,-0.00194447,0.002698349,0.004886345,8.480178e-05,0.06471253,5.6139892e-05,-0.0009530092,0.046914186,0.0044635474,0.001178206,0.0030960443,-0.0001619758,0.00032127326,-0.0013697061,0.00062791933,-0.0006168664,0.00033643335,-0.0012156845,0.006393081
0.46275032,0.0066221245,0.0032232085,0.015977517,0.01388282,0.0043755737,0.0014681056,0.0057225944,0.0026284512,0.00035866754,0.044731457,-0.0004272086,-0.0009860708,0.027153317,0.0056212763,0.00073936325,0.002157668,8.915944e-05,0.00044932414,-0.0006350514,-0.00015777606,-0.00036062486,0.0004222456,-0.0011615951,0.0063991323
0.6629992,0.004489172,0.002971751,0.010940164,0.005960852,0.0027175264,0.0024108822,0.0035102076,0.0032105856,0.0005993594,0.06359226,0.00065679115,-0.00094638654,0.029072732,0.006775419,0.0007979777,0.0023589993,0.00011854796,0.0003024805,-0.00061124295,5.3823227e-05,-6.777549e-05,0.00051151105,-0.00047762488,0.0078071468
0.63430625,0.017877476,0.01418472,0.016227992,0.087669566,0.020686777,0.0012809661,0.021229729,0.002544227,0.0011427025,0.02621964,0.0019729657,-0.001115167,-0.0007554516,0.01841421,0.0016200531,0.004452138,0.00066425744,0.0006609014,0.003394815,0.00027454086,0.0006376335,0.0005184975,-0.00048632774,0.018798117
0.5049302,0.022361755,0.020514896,0.00011009211,0.045945358,0.03105903,0.012876378,0.026628861,-0.004807979,-0.0006316159,0.112817846,-0.0014798068,-0.0015487447,0.17520559,0.06480816,0.0026312745,0.017005714,0.0016806214,0.002248103,0.0058320626,0.018073551,0.0017856888,0.0013435838,0.0003705772,0.062119402
0.73483175,0.010304034,0.00599718,0.009181416,0.02585357,0.015919857,0.0065689245,0.009924717,0.003501305,-4.4502318e-05,0.092475854,0.031699713,-0.0009017036,0.034680746,0.02591765,0.00070548826,0.005906635,0.00063676835,0.0006263468,0.00084824173,0.0022656405,0.0009880245,0.0014216478,-0.000166026,0.023355076
