rely,data,cplx,stor,virt,turn,acap,aexp,modp,sced,loc,MI_loc_data,MI_loc_rely,actual
0.54171944,-0.11274457,0.6122208,0.056499526,0.20463705,-0.031961605,0.27506623,0.19000499,0.40815437,-0.25349504,-0.18101305,0.009711029,-0.048809666,0.23163266
0.3603768,-0.07787852,0.41918433,-0.033423133,0.12321432,0.10263175,0.29277095,0.23373134,0.3511207,-0.0647988,-0.09624289,0.033080067,-0.021912772,0.13201644
0.46239984,-0.11335017,0.44707108,0.04291207,0.10576225,0.098168924,0.3485135,0.21175686,0.39721107,-0.2614015,-0.18246037,0.03269375,0.0007735193,0.16894871
0.7577097,-0.29458898,0.5827411,-0.13809174,0.21412747,0.3046764,0.37981573,0.04902612,0.8690621,0.0831152,-0.2254624,0.08668649,0.16180648,0.3230477
0.7825277,-0.36924654,0.71566206,-0.05608873,0.2374956,0.12349276,0.47926396,0.14787374,0.8742999,-0.13966618,-0.3117921,0.060249597,0.06536694,0.38828805
0.75259745,-0.44726658,0.69338435,-0.08673352,0.23010324,0.16861513,0.46623147,0.08614006,0.9843512,-0.062842876,-0.27441043,0.038852926,0.09025803,0.38516963
0.60863996,-0.22712563,0.6626184,0.016476925,0.19091702,0.018246762,0.3671635,0.20997429,0.5145031,-0.33739245,-0.25134498,0.033335105,-0.02773213,0.28145403
0.7237735,-0.009624038,0.76290494,-0.7103384,0.10194296,0.39140806,0.42707402,0.12824833,1.2662555,0.7487793,-0.0075958073,0.13317767,0.23808105,0.28934222
0.42442024,-0.13314837,0.4243254,-0.0268839,0.12227249,0.10583669,0.2675712,0.15709408,0.40741146,-0.03561534,-0.10628222,0.022908922,0.019787695,0.14196084
0.38110492,-0.08465344,0.4675861,-0.07548272,0.15334591,0.034925483,0.2983379,0.23234195,0.4738737,-0.0040420443,-0.07917012,0.03096394,-0.025742233,0.17934555
0.33786714,-0.02275123,0.40159726,-0.035336144,0.11677803,0.097178645,0.29191792,0.23973921,0.3389969,-0.0824465,-0.055297155,0.036347024,-0.03937332,0.10081725
0.41997856,-0.095611304,0.44433293,0.044484373,0.13335943,0.048710827,0.30706438,0.2102388,0.32920888,-0.23244962,-0.14222336,0.01514962,-0.036591962,0.15133715
0.45812163,-0.1500335,0.53198516,-0.0023986027,0.14917603,0.032334886,0.3287655,0.23573364,0.41005203,-0.21153918,-0.15263903,0.031816073,-0.043788858,0.17574936
0.66524863,-0.27930212,0.5308669,0.05916258,0.15898053,0.16422093,0.37587094,0.11091527,0.63776886,-0.16010852,-0.26704884,0.035537027,0.10247813,0.31854755
0.43972695,-0.15076591,0.49750245,-0.07596454,0.1299012,0.09428432,0.28979576,0.18171455,0.5208006,-0.029440433,-0.11960639,0.028255211,0.0016737692,0.17256099
0.42357737,-0.074818775,0.49958676,0.044116113,0.16437462,0.03318774,0.28161445,0.2148309,0.35577488,-0.22287568,-0.12524302,0.013824711,-0.04146447,0.14844657
0.5699433,-0.16719843,0.65061164,-0.13939843,0.21620668,-0.058385484,0.31579748,0.2392537,0.522738,-0.07570632,-0.16234735,0.05895073,-0.013236988,0.28526378
0.7450502,-0.14828715,0.6210189,-0.4031408,0.21961592,0.49183574,0.43916106,0.062205475,1.0425116,0.5503944,-0.12841155,0.07183662,0.2421801,0.27650172
0.63987607,-0.20231059,0.5459252,0.10797425,0.11446935,0.07600697,0.37999523,0.15975276,0.4609988,-0.4338836,-0.3015572,0.03613018,0.034839343,0.2610924
0.45023182,-0.117500424,0.5265948,0.02910525,0.18456662,0.03554605,0.29515627,0.21210599,0.39544648,-0.21294105,-0.13916668,0.023317255,-0.045965057,0.1884346
0.39607444,-0.092622906,0.41597718,-0.11480635,0.1336619,0.14861214,0.29593304,0.21688703,0.53422636,0.06559075,-0.044651847,0.07274504,0.023747396,0.15300743
