size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t07,t08,t13,MI_size_D_duration_D,MI_size_D_t02,effort_D
-0.0012641214,0.13246953,0.94796526,0.9177022,0.75368285,0.68299055,0.7109548,0.58810604,0.5054012,0.301813,0.37522346,0.477893,0.4982068,0.5062754,0.6157843,0.43946448,0.41656226,0.09720367,0.013744943,0.06114544
0.0046084113,0.30018607,0.83307487,0.9633481,0.8375846,0.69273543,0.7358439,0.46009892,0.3205144,0.3861543,0.3528859,0.65082866,0.42838937,0.4606791,0.8005605,0.6670322,0.57365555,0.12022276,-0.02645792,0.087786905
-0.01533558,0.07596693,0.7861027,0.82890105,0.83966804,0.69826776,0.7643084,0.23913813,0.1308815,0.32561928,0.45298648,0.3196529,0.51085496,0.44994515,0.487667,0.41463315,0.4713309,-0.0067828856,0.027469777,-0.008716442
-0.015639164,-0.19857995,0.42635623,0.7272261,0.9106655,0.61333513,0.7116342,0.20991907,-0.03277102,0.4794935,0.51712114,-0.36557215,0.60384524,0.6850284,0.4037578,0.24728647,0.5183559,-0.02834132,0.014638629,-0.1253418
-0.043442547,0.23514827,0.9433295,0.9954849,0.94957185,0.76137376,0.7893354,0.30648023,0.1986108,0.39553526,0.43681645,0.6177538,0.49073082,0.46363413,0.73423135,0.68037915,0.5657786,0.060400385,0.0006960612,0.06512574
-0.0048449077,0.115788236,-0.028413601,0.6855245,0.8983691,0.641321,0.61610115,0.1260646,-0.056282133,0.5077469,0.35733652,-0.00074100494,0.3393978,0.49955583,0.57355714,0.6824555,0.74968284,0.009663451,-0.011465265,-0.12354721
-0.009494953,0.18190575,0.83687234,0.91017544,0.8311168,0.69833964,0.73679006,0.34542114,0.29037488,0.33545852,0.39974725,0.5131731,0.471794,0.43117654,0.616848,0.5233136,0.49307677,0.053625844,0.00075720437,0.039358437
-0.06048855,0.23128892,0.8806852,0.9844432,0.9519999,0.72982633,0.7428619,0.29303986,0.1805109,0.4164571,0.41286606,0.62759143,0.4703719,0.43677306,0.76566553,0.7094828,0.5629091,0.06855204,-0.0054647736,0.062527835
-0.018147392,0.2487617,0.85505635,0.9331063,0.8828379,0.7288692,0.75288606,0.3384121,0.2403412,0.3793989,0.41107213,0.60886914,0.4562297,0.42077166,0.71256566,0.6407891,0.5577804,0.0683502,-0.011270274,0.054048672
-0.032427475,0.21118376,0.7854327,0.88483196,0.86260045,0.716715,0.7293401,0.2839628,0.18358105,0.3673536,0.41363996,0.5407093,0.44169325,0.40173268,0.6559169,0.5943938,0.54278713,0.05061523,-0.000886105,0.033475295
-0.042758137,0.07693486,0.8965659,0.8635549,0.84525454,0.69565576,0.7575414,0.27538037,0.17969505,0.32500204,0.45742053,0.39816397,0.5231975,0.46213037,0.5347383,0.4055068,0.43610367,0.018645491,0.021236762,0.02520246
-0.01855762,0.0740697,0.91134244,0.90638065,0.8165753,0.6789094,0.7580858,0.3998542,0.34706622,0.30621147,0.41972196,0.37125313,0.54412735,0.50107807,0.5215795,0.37524745,0.41503316,0.032180037,0.019896496,0.019450266
-0.043944187,0.20323823,0.76039547,0.9134819,0.9216896,0.7401665,0.73126024,0.2590245,0.1536802,0.37999934,0.42189968,0.54397756,0.4454785,0.4157855,0.6844957,0.6546348,0.58346677,0.040577456,0.00059439614,0.02253148
0.046673246,-0.0141892955,-0.45280215,0.6173384,1.013229,0.57651216,0.6164289,0.16080064,-0.21181098,0.7631685,0.32661405,-0.5325701,0.37940645,0.76759744,0.66447806,0.6769158,0.91866654,0.028785303,0.0039916895,-0.22728291
0.004071392,0.08054419,0.9814281,0.9295549,0.7731291,0.67120975,0.7309253,0.6078836,0.5280163,0.29917052,0.40695393,0.3945494,0.5466816,0.5436017,0.5778235,0.3725666,0.4004292,0.089399904,0.018284034,0.0456393
-0.01825085,0.21786545,0.85070634,0.9122086,0.87691534,0.7218474,0.7513229,0.2999918,0.20880051,0.36647013,0.418674,0.56016076,0.4661256,0.4148181,0.66335714,0.6032193,0.5360786,0.055220958,0.0024166685,0.043583773
0.08326594,0.064724684,-0.7425045,0.6362283,1.1244911,0.7394486,0.72183925,0.135211,-0.24733523,0.842535,0.3539979,-0.5394949,0.32199407,0.79528415,0.7131889,0.8280455,1.1361803,0.0056466907,-0.019549966,-0.2534717
-0.018156946,0.1457572,0.5613478,0.78255993,0.83684504,0.66179925,0.6672992,0.18279998,0.08218141,0.3611154,0.38628107,0.33706996,0.41907114,0.3988843,0.5603403,0.57156134,0.538324,0.023459319,0.010345001,-0.022040641
-0.05246322,0.21608278,0.789302,0.91596085,0.9025384,0.7184844,0.7131415,0.28672838,0.1732654,0.39084068,0.3986888,0.5730451,0.44170117,0.41346896,0.7182629,0.67151755,0.56247985,0.06505091,0.0043399185,0.05118054
-0.009218425,0.23413615,0.85026133,0.92423797,0.8633348,0.73800147,0.7380234,0.33975714,0.25287104,0.3651407,0.39929342,0.6055644,0.44207823,0.40534377,0.6919576,0.6409588,0.5442879,0.062374346,0.015324768,0.059473865
-0.06832644,-0.015824653,0.908229,0.8477888,0.8562453,0.6420299,0.7175682,0.23802124,0.14919227,0.3193697,0.44652432,0.22994295,0.5579806,0.51148117,0.4702092,0.34504458,0.38555223,0.0073435456,0.028642584,0.023398153
0.38941193,0.52493954,0.5358986,1.2965213,0.82418823,0.43469256,0.92723405,1.3834441,0.3811336,0.9643742,0.21944602,0.7103402,0.5112465,0.9547802,1.4499613,0.8358135,1.0025126,0.5430836,0.15861744,0.36643034
-0.052653708,0.2056865,0.7941714,0.9188576,0.9017172,0.7146411,0.71591794,0.28467995,0.1789565,0.38900423,0.40470278,0.56258386,0.4487027,0.40436655,0.705153,0.65411067,0.55320007,0.06313111,-0.0036287308,0.047062717
0.17278317,0.020918015,-1.2429811,0.76629615,1.5352129,0.90031284,0.92494494,0.20181274,-0.39776984,1.2395703,0.43752635,-0.9797881,0.39376158,1.1477906,1.0081005,1.0967215,1.5928624,0.0034956671,0.0016637612,-0.3565589
-0.011108931,0.3124015,0.91868895,1.04495,0.95095253,0.75203806,0.77302116,0.40045753,0.2311763,0.43990523,0.414037,0.72284126,0.46252644,0.4615373,0.8443266,0.7856451,0.6261516,0.111931056,-0.0060932217,0.08347998
-0.0707843,-0.3519495,1.2327045,0.89526963,0.9071473,0.7082399,0.9147425,0.3921613,0.20983712,0.28876647,0.68427527,-0.2242125,0.8653141,0.77433175,0.2729954,-0.092737034,0.232184,-0.055827897,0.070304275,-0.032814518
