TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,MI_PointsAdjust_Transactions,MI_PointsAdjust_ManagerExp,Effort
0.70290744,0.8600597,0.47019774,0.27303508,0.52927864,0.45659858,0.81086266,0.7615695,0.1275659,0.34778935,0.6816106
0.74551886,0.94622296,0.39764935,0.212568,0.30059484,0.2806726,0.6722274,0.9514875,0.04738883,0.22214696,0.42639548
0.00049898867,0.33200794,0.8581738,0.066017024,0.19445027,0.09789848,0.11741045,0.73108566,-0.004570655,-0.009795766,0.10579765
0.65354764,0.9914396,0.28262156,0.07688393,0.09041188,0.05441236,0.29306412,1.0016342,-0.003686333,-0.011063436,0.046195455
0.6160865,0.9321068,0.77710223,0.21762586,0.16016433,0.18926404,0.35269547,0.31307915,0.021849815,0.12959924,0.068421565
0.117590085,1.0214452,0.61675566,0.104400426,0.12977622,0.09103293,0.34681195,0.7495681,-0.0013529863,0.08596587,0.08195778
0.6342661,0.38865122,0.54909253,0.20238848,0.4498309,0.30309638,0.7203855,0.9940651,0.034849413,0.107473895,0.19994013
0.64501864,0.97908264,0.64649945,0.096431196,0.92679435,0.34153116,0.38093704,0.73093003,0.030814528,0.28340518,0.25740293
0.09650796,0.18505372,0.9040924,0.12638116,0.06477412,0.10210267,0.43874204,0.68954986,0.0029578395,0.00036862306,0.062272526
0.60649836,0.74036235,0.72213626,0.18354657,0.33286542,0.23983636,0.5034022,1.0499839,0.039535105,0.12265633,0.12931748
0.047505427,0.04741244,0.79145557,0.011650026,0.048703887,-0.0010071583,0.4266705,0.5194025,-0.038407475,-0.041734964,0.048941568
0.16646293,1.0052998,0.1756813,0.16110244,0.18595281,0.13741925,0.8116061,1.0455121,0.019629676,0.06580751,0.17841066
0.0409336,0.45405868,0.57851756,0.11363792,0.36434868,0.20671615,0.50135946,0.8674986,-0.00016565621,0.06125245,0.105811074
0.07662271,0.3395661,0.5084909,0.23493537,0.16879512,0.20170796,0.5140541,1.055664,0.04022617,0.06159207,0.17155108
0.7405541,0.91387093,0.3271277,0.08022635,0.14365566,0.07826358,0.3667156,1.0170066,0.0019963654,0.045463733,0.061677836
0.005287788,0.31197542,0.9045191,0.021457694,0.20388277,0.09644685,0.41502106,0.7344817,-0.01716019,-0.002138799,0.10521569
0.19643097,1.062524,0.7639696,0.046741657,1.2250476,0.38069597,0.23829146,0.55567694,0.050952245,0.3629762,0.3631778
0.7370243,0.29150844,0.8951247,0.26306504,0.21662107,0.23514983,0.50598645,0.9589375,0.06508293,0.058874693,0.15201707
0.33526075,1.000718,0.25920612,0.10520697,0.13416314,0.08765649,0.3959905,1.0129429,0.0057944963,0.07323903,0.06348774
