AFP,Input,Enquiry,PDR_AFP,PDR_UFP,NPDU_UFP,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_AFP_PDR_AFP,Effort
0.0037990748,0.0018647204,0.0014743323,0.045851193,0.039337263,0.03335176,0.0053300182,0.0005121046,0.0015057408,-4.488103e-05,0.007673577,0.00749529
0.0056812745,0.0016624862,0.0017728067,0.07526341,0.060886465,0.058438674,0.012067629,0.0010180771,0.002266328,-5.7151934e-05,0.009791075,0.010069823
0.003449613,0.003847944,0.009423639,0.09714189,0.0852014,0.08336335,0.0055382117,0.0005308025,0.0024355913,-0.00023717179,0.0050788065,0.007310047
0.0030871986,0.0043595377,0.0250501,0.067441344,0.055605575,0.05721238,0.0038807145,0.0006037138,0.0013937824,9.180093e-05,0.0043347734,0.004858895
0.010509385,0.003924479,0.0029948857,0.020875193,0.019001229,0.009883005,0.0068316404,0.0010914023,0.0010123897,0.00041419663,0.00860293,0.008255769
0.00413908,0.00238919,0.0005302881,0.07555923,0.0659421,0.064735755,0.008428641,0.0007982404,0.002014024,-0.00026773778,0.006785791,0.0069945436
0.021980038,0.013756728,0.080414325,0.05506694,0.052184924,0.054133408,0.03736847,0.0015355763,0.005846832,0.0008535925,0.0349371,0.034416143
0.010431846,0.013019204,0.02085239,0.13287187,0.1254167,0.11938141,0.04420391,0.0021279785,0.014872818,0.00057699205,0.045204468,0.044180315
0.0049097976,0.0028113723,0.011954215,0.13645758,0.11715562,0.11605695,0.017979924,0.0009594178,0.00725754,2.708469e-05,0.019911472,0.021448813
0.0058462243,0.005366428,0.009957714,0.16138904,0.14171372,0.14978132,0.026177045,0.0011458,0.008402317,9.7877346e-05,0.023160875,0.02424566
0.008725702,0.0077756513,0.018526189,0.06263218,0.05257408,0.06096519,0.018189803,0.001151027,0.0038723613,-0.00015451614,0.014106218,0.015887605
0.0032821705,0.00016533479,0.0113866,-0.0025043897,0.004783498,0.0126530025,-0.0036188671,0.0009812542,0.00014096894,-0.000297484,-0.005703654,-0.0054868497
0.004156245,0.001851632,0.00419697,0.09798978,0.08272319,0.082140595,0.01387429,0.0010141936,0.0041339425,-0.00019422769,0.013037913,0.013998975
