Transactions,Entities,PointsAdjust,MI_PointsAdjust_Entities,Effort
0.14885086,0.18769935,0.16941997,0.041450527,0.1025544
0.28520694,0.34460163,0.31001922,0.15530257,0.2823545
0.18938935,0.11629984,0.13757093,0.008317139,0.025060568
0.16164362,0.11138276,0.19184485,-0.012038274,0.11310498
0.6176543,0.2608351,0.600736,0.34024364,0.14358863
0.2904353,0.28046167,0.29510728,0.127781,0.2378706
0.24447049,0.25985867,0.22433123,0.06033368,0.19493008
0.22198123,0.32650048,0.26720512,0.13143566,0.22453682
0.084621206,0.15075327,0.11021263,-0.0011944138,-0.013009843
0.15880878,0.288194,0.2161566,0.05619083,0.11541593
0.20174569,0.1856973,0.17463166,0.019806009,0.11920359
0.21983278,0.16453688,0.18496448,0.021474991,0.16844413
0.11549267,0.119661726,0.100568965,-0.0037296228,0.06285739
0.117191166,0.10496372,0.09417489,-0.010927873,0.0642626
0.10389443,0.13861598,0.12009107,-0.0038210563,0.028691456
0.10019614,0.040651266,0.10340674,-0.00021331012,0.036761783
0.14240424,0.20036301,0.17444742,0.058119897,0.06421494
0.1955599,0.3177691,0.22503859,0.08691327,0.15318568
0.2738642,0.40751612,0.30310243,0.15094654,0.28251228
0.11868745,0.09841207,0.10889049,-0.00040333718,0.03476877
0.20169443,0.17399262,0.1956031,0.07007182,0.16525158
0.14235647,0.08117031,0.120387316,-0.007376019,0.099977456
0.3944513,0.36573452,0.4457136,0.21287446,0.34580517
0.29537985,0.21878591,0.26086724,0.047151435,0.12036896
0.21288803,0.19211935,0.17774382,0.037762452,0.18877468
0.12306477,0.18051386,0.1461658,0.03503303,0.015786473
0.21790294,0.22706336,0.24210799,0.046449404,0.09969944
0.24079043,0.24029689,0.21181625,0.045687992,0.14602397
0.19460702,0.16239358,0.18555936,0.027877409,0.17453605
0.113074064,0.09771367,0.115108006,-0.009452909,0.01257027
0.19872288,0.13445577,0.16010168,0.039849345,0.20446208
0.12109509,0.088368416,0.12699458,-0.015613126,0.03899644
0.2051884,0.10343723,0.16960748,-0.0019485727,0.20325312
0.056323707,0.06845733,-0.01979559,-0.030017413,-0.008250184
0.30555806,0.6993716,0.5050311,0.5479492,0.5043219
0.085426964,0.06862266,0.048798703,-0.032856826,-0.01462887
0.10475981,0.10700512,0.074882984,-0.020721907,0.01989591
0.18161368,0.15196009,0.14110667,0.019597381,0.12065195
0.1557164,0.20986488,0.20115972,0.065139055,0.089458466
0.23143403,0.31105915,0.23922288,0.09646045,0.22702312
0.22022825,0.14161375,0.1639953,0.022986576,0.22768332
0.13771044,0.20059642,0.15250659,0.023150865,0.12467504
0.2860282,0.46058452,0.4169677,0.31063145,0.20833297
0.044748712,0.12463329,0.07353893,0.0005896278,-0.08981464
0.710896,0.19219904,0.5524723,0.2927866,-0.0059011653
0.23784061,0.15143888,0.2118184,0.02944718,0.16846561
0.036875352,0.13046165,0.09488873,-0.0068412684,-0.037537962
0.13830534,0.23228873,0.10975652,0.037176613,0.008443766
0.09838636,0.028579565,0.054864347,-0.053363636,0.0036980007
0.15765418,0.25389138,0.18479005,0.05720788,0.119305596
0.11108352,0.16200477,0.11183369,0.032693837,0.04071956
0.16953866,0.43844345,0.2409347,0.16831934,0.16848174
0.10022348,0.13165817,0.112858154,-0.018120974,0.03470573
0.14183044,0.086964816,0.14054331,-0.023407657,0.069447584
0.2402498,0.18708459,0.22090158,0.098578975,-0.037057754
0.26367283,0.23533894,0.27383733,0.083915845,0.13306917
0.109667525,0.13624759,0.10981414,0.005112931,0.0966272
0.09474118,0.10592085,0.10110283,-0.0048617087,-0.016364599
0.12069599,0.2013572,0.13758403,0.016503979,0.02161532
0.117357865,0.11671922,0.10174902,-0.0055075884,0.012063727
0.33004716,0.54920983,0.518375,0.45109713,0.37761194
0.1944832,0.3136593,0.209304,0.08146876,0.121795855
0.047596797,0.15866642,0.056479655,-0.005385246,-0.033917323
0.08527684,0.097920254,0.08201601,-0.023622595,0.038577784
0.039254416,0.13781837,0.03711512,-0.051425524,-0.0061699916
0.13794835,0.19932655,0.12843972,0.012215689,0.05552188
0.36496612,0.5344501,0.511959,0.44090098,0.42296913
0.2848538,0.51801354,0.39936993,0.3185778,0.39346623
0.16809118,0.14463829,0.16375828,0.003692422,0.13138568
0.19669692,0.10038521,0.16401254,0.027083348,0.16288103
0.12046707,0.28052148,0.18811119,0.121173695,0.058167227
0.16794248,0.16787533,0.16863035,0.010084175,0.13949086
0.08042563,0.14665839,0.08221027,-0.02193959,0.018940266
0.12251164,0.12048877,0.11980894,0.014094152,0.09868982
0.14293474,0.09068162,0.13474447,0.0086646415,0.031020047
0.19564497,0.33158612,0.1947554,0.09649034,0.08162721
0.14784014,0.35279706,0.22576985,0.16149972,0.0827556
0.13341482,0.11437109,0.12385488,0.0008720644,0.15265423
0.14422287,0.26605973,0.19756812,0.094903424,0.030388705
0.22633749,0.31958044,0.23726729,0.07974446,0.1682188
0.36385077,0.41075814,0.46376428,0.2754191,0.31788823
0.18546437,0.32392234,0.20821607,0.09916367,0.1706307
0.3473857,0.16221374,0.3255125,0.111442655,-0.018327462
0.18865423,0.112459466,0.17101213,-0.0011025816,0.21174464
0.19729114,0.13424715,0.17230584,0.006724268,0.1863254
0.4244079,0.28930238,0.44822758,0.21212068,0.14579275
0.26636428,0.26515955,0.2309004,0.072992116,0.2718692
0.049554743,0.10146824,0.039887406,-0.004190527,-0.025105162
0.15479359,0.15976746,0.15905616,0.025721412,0.030772228
0.14819615,0.25468886,0.14674696,0.045477275,0.028236367
0.09495541,0.17032278,0.08252381,0.0013065524,0.0077638365
0.050800167,0.15130217,0.104002334,0.021123715,-0.026773933
0.21464325,0.23878127,0.18555707,0.05950744,0.12454147
0.18557453,0.29986963,0.19079542,0.0862463,0.18167748
0.07090697,0.069035016,0.04498831,-0.016568655,-0.027741516
0.22052412,0.36929578,0.33095294,0.17998028,0.1915306
0.095158815,0.2011469,0.12815067,0.054497663,0.061046313
0.24125218,0.24331054,0.20907584,0.057483155,0.078199446
0.29849938,0.35277712,0.36973846,0.18450469,0.20171426
0.15247287,0.12026014,0.12186949,-0.006777147,0.123578854
0.23944077,0.4650686,0.3162555,0.30535924,0.38292593
0.04973729,0.06087635,0.043528996,-0.032003548,-0.044217907
0.16441809,0.3400045,0.2000581,0.07451418,0.12648696
0.16063483,0.11294236,0.12828353,-0.0040313713,0.0691756
0.14006673,0.16767305,0.12405996,-0.008472493,0.08656285
0.14221065,0.27898765,0.12964037,0.04162759,0.050246414
0.09080315,0.13223343,0.09694916,-0.0008710399,0.03987532
0.186302,0.1907174,0.20727581,0.054929916,-0.0040523903
0.14520128,0.16964154,0.14389789,0.008663498,0.09391642
0.11976409,0.17368953,0.13048226,0.019179251,0.0041042343
0.13952835,0.20654586,0.16227162,0.053247493,0.09002459
0.29313132,0.28593755,0.31171238,0.121891126,0.2201778
0.29294243,0.2562189,0.3096135,0.13685693,0.11587322
0.118493855,0.048314817,0.105552755,-0.052800998,0.041102864
0.091200046,0.14758188,0.11484007,0.028896336,-0.03796203
0.17105459,0.30882815,0.21755731,0.10441925,0.11757438
0.20442863,0.43060195,0.2847634,0.23525341,0.25574985
0.15797627,0.25453153,0.1910598,0.05646133,0.16289204
0.27802405,0.26351377,0.2923242,0.10271075,0.09254769
0.12686783,0.097196296,0.10147421,-0.0030245967,0.018139357
0.2020489,0.46919355,0.28581333,0.23924531,0.24609596
0.11663596,0.20357184,0.12852113,0.0023001172,0.065013565
0.21570396,0.24964932,0.210475,0.0728285,0.18922056
0.2667536,0.27582777,0.24815091,0.09069486,0.17498027
0.15312406,0.17754395,0.1721887,0.021319322,0.07672892
0.08675314,0.107281856,0.12327942,0.0076590218,0.010136937
0.16925657,0.14672956,0.14819327,0.019273605,0.17170964
0.09720893,0.23533762,0.15775736,0.049829606,-0.0136178015
0.09463452,0.20512876,0.0611007,0.0041928403,-0.011165393
0.14792454,0.12889268,0.14312683,-0.0017418303,0.06496971
0.20945531,0.14204976,0.17940927,0.0028857328,0.15676574
0.06729334,-0.049431637,-0.03449478,-0.06761154,-0.02452868
0.21208003,0.14077786,0.19043875,0.007965155,0.29743415
0.2040406,0.2717975,0.21270192,0.11678828,0.27004927
0.23306224,0.11282117,0.18291438,0.031198863,0.17970607
0.032949183,0.14153107,0.07472281,0.0060361437,-0.026552312
0.09760176,0.1559773,0.09021041,0.008342516,0.034900982
0.22518952,0.2678018,0.23961914,0.039055016,0.12017169
0.13171813,0.2616227,0.14912805,0.055252407,0.06731724
0.19596153,0.25655696,0.23853692,0.07647133,0.07769115
0.15812537,0.14837268,0.1751301,0.005940065,0.06671844
0.2808886,0.5074954,0.4085102,0.37129882,0.33348843
0.13212314,0.12342382,0.14301261,-0.007827561,0.03502934
0.06933509,0.080131546,0.0900307,0.009081699,0.017607156
0.18201126,0.15088709,0.16557431,0.0074450746,0.18231066
0.13326856,0.17816858,0.14795001,0.022000581,0.1105592
0.34374198,0.7326364,0.5932738,0.6523099,0.5206504
0.07738843,0.1800809,0.09496871,0.034545932,0.04096678
0.1356038,0.12101547,0.1636156,-0.0045343526,0.05793714
0.067413986,0.11253031,0.08706794,-0.045040667,0.0043920777
0.5001779,0.662634,0.6965078,0.6361883,0.60220313
