N_effort,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_AFP_PDR_AFP,Effort
0.0719868136407855,0.0325033152595437,0.0315098637404088,0.0153301350551803,0.0751841972801181,0.0603972030107816,0.0600278425540364
0.0791675040015873,0.0421383530612646,0.0499299596377666,0.0285459635344528,0.0708064411362693,0.0692373573057997,0.0672918868894891
0.1408585237141245,0.0910291106459429,0.0981833437441068,0.0748594927329826,0.093958941147978,0.1300784049611773,0.1226278943264696
0.0646438313366116,0.0457865659711835,0.0464812389942367,0.0472641110885247,0.0406805928661733,0.0698878824026858,0.0612270293830823
0.0978654622666234,0.0563554360084408,0.0621697480466325,0.0481523137548443,0.0613834121540662,0.09413049146876,0.0751440966545449
0.0605138378664913,0.0429024873638154,0.026070057576032,0.0328032797438255,0.0472470250891917,0.0767105908142002,0.0553267134467714
0.0766505662930864,0.06080197505502,0.0241686958875574,0.0459283711932271,0.0774593253016694,0.0845420130458001,0.1344074551961301
0.2473211575507472,0.2321388142315494,0.2499370775160455,0.2532699883807562,0.1948969515805711,0.2453599608197154,0.2581009490536133
0.0989053937399034,0.0560876362776144,0.0541057042803018,0.0358619076871562,0.0579775746991276,0.1028061925453062,0.0733117133816809
0.1929312422911142,0.0665091375565226,0.0625141890098199,0.0697776505985974,0.1009103241619302,0.2007492008503817,0.1915414527461876
0.0648461976406552,0.0325092504537964,0.0418832143986331,0.0441412772932135,0.0527574548448458,0.0724566348469992,0.0622908790641283
0.0903949318656651,0.0389349445613438,0.0455216458500693,0.0489696169203361,0.0640177229530255,0.0938192550025176,0.0880971576178009
0.0889262049553051,0.0368824016349899,0.0424129147459944,0.0417776309018543,0.0619120935097475,0.0950514453030912,0.0814716843265314
0.2251931571006149,0.097145831764369,0.1246975314202698,0.1135452773789454,0.1841463361973586,0.2205136972530806,0.2229393113479756
0.0883101189444989,0.0526357745176322,0.0664776953852775,0.0651978241512056,0.0538064586655007,0.0958358973106577,0.0867042325051535
0.173494788682134,0.0942992923647838,0.1080824862136995,0.0952010861052136,0.1527701166813214,0.1602669504810294,0.1576644944170779
0.0587524346382727,0.0315072235600154,0.035855340803792,0.034299516986565,0.0563078525785818,0.0597425488396209,0.04807159651524
0.0959441673070687,0.0502688735744841,0.0617553169052097,0.0400274391477591,0.0605657894033626,0.0941183275095779,0.0766316318638195
0.0505109927045991,0.0305521585482219,0.0426618737786383,0.0369695104813487,0.046834783750753,0.0483302251240966,0.0407887689150848
0.1070786487739077,0.0518466684139994,0.0638485842640471,0.0407190918225283,0.0870696384003107,0.0834425829513516,0.080310792060406
0.0862080869821442,0.0544797951759193,0.0636025001557766,0.0551480595375218,0.0498823956434654,0.0888673299802238,0.0788997217830198
0.0813543999692014,0.0357017783029441,0.043117376053912,0.0396110742481093,0.0625904664994624,0.0843577988232205,0.0716890380217105
0.0854603861365174,0.0337798349451637,0.0444476740940633,0.0555578092243288,0.0573758715492717,0.0920235047027497,0.0945612215961117
0.1480291164524836,0.107291805685318,0.0945260628737023,0.1175675381657433,0.0585234578360867,0.1692254953172084,0.1608021646975114
0.0793477508932312,0.0373148508353588,0.0474226893341873,0.028239476841529,0.0507586245590149,0.0753038960876316,0.0731153241995727
