PointsAdjust,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,Effort
0.2248520641930955,0.5190052911173182,0.2918510274960051,0.3996529616598802
0.0707232726052267,0.2111755421250536,0.0756198078758261,0.161819042421072
0.2154136371779596,0.3212244143630929,0.2204205413630622,0.2399029067375072
0.1744732427726895,0.1402263888912281,0.1631604538208118,0.139646464319145
0.2262867035792118,0.4428959988369749,0.2410901484274576,0.2608812016973245
0.196901169597585,0.4371842794100471,0.2495275862261402,0.2221456519417389
0.1370665426914908,0.3291281543587551,0.120662308466448,0.1189326677118151
0.1815306465739346,0.423468648621438,0.2258195134020004,0.2823448156333874
0.1062551017460779,0.2922768611977485,0.1322957108761852,0.2151946051743231
0.1705417006692379,0.3539624859704615,0.2016339762895553,0.2233946341212274
0.1526261645500333,0.308574431000843,0.1911492106129631,0.1821711631147246
0.2039418427340887,0.3991660379556712,0.2546911001192404,0.2420396651666938
0.1717458075608002,0.40440696265581,0.218348742207977,0.2651024682835711
0.1974522450447578,0.4756596813780629,0.2555992440040255,0.2582152833743135
0.168436357696212,0.2707480576793516,0.1859988206165161,0.2131248707369466
0.1626125143573957,0.3031161208022296,0.1923526375218809,0.2016046891113005
0.2523567760583258,0.44639924307126,0.2935365506567529,0.3243006595468522
0.4066185578604564,0.8110920686600795,0.550130680898638,0.6853175047484925
0.8755266787564333,0.5867919388864308,0.7972129438267457,0.6007352319756074
0.096833932277743,0.2656590742545714,0.1928342780182636,0.2305224246703718
0.1152067277428522,0.2324596783518022,0.0614278976280254,0.1870900340578859
0.2528755216768318,0.4683368657975578,0.3415067182073371,0.4029650798521741
0.2784975716571628,0.5383800827778529,0.338797410192924,0.4336555685224898
0.3891689582300573,0.8236971794208182,0.5439006899579402,0.697828587719215
0.2109042609286418,0.3152643918543436,0.2053142015257576,0.2340036624613398
0.3220750194075927,0.6833903657816112,0.4251731126608862,0.5562902359010453
0.2089578808641875,0.5392727762003529,0.2537329719533678,0.2270763330950745
0.1043814279508688,0.2514384228541065,0.1045269351469299,0.1979181690725817
0.2328365472089517,0.1527059034191372,0.1876341827746763,0.1469695285107659
0.1167528294605243,0.2992755180138834,0.0971222233796963,0.2414134246924816
0.1322534664406363,0.2663724376735338,0.1632742215417927,0.2499736869636327
0.0979071219336382,0.2701472567201233,0.0520841668697413,0.2107335666100843
