ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4.0,7490,0,0,0,1,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,17.0,4150,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,9.0,668,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,4.0,3901,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,13.0,3607,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,4.0,1606,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,6.0,1936,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,7.0,1158,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,6.0,1498,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,7.0,4063,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,9.0,10200,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,10200
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,7.0,2053,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,7.0,3034,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,26.0,3348,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,7.0,814,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,3.0,911,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,6.4,2496,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,10.0,1171,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,13.0,3532,1,0,0,0,1,-0.5387677,0.87946844,-0.25835195,-0.022772722,0.06927643,-0.15270713,-0.10509606,-0.23082793,-0.23894575,0.79632527,-0.05766719,0.29081565,0.10557859,0.11440064,-0.24166009,-0.22731444,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1.0,525,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,4.0,1095,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,6.0,10957,1,0,0,0,1,-1.836187,78.95212,13.012097,-59.253086,-99.26118,-103.70715,-17.139585,-32.83976,-1.6612599,7.1505413,22.107464,7.0846186,-3.2604232,50.233482,48.261196,37.364338,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,6.0,344,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,3.0,296,0,0,0,1,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,13.0,4220,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1.0,296,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,24.0,2082,0,1,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,7.0,191,0,0,0,1,1,-0.313527,4.548533,-1.0145352,-1.879075,-2.6432834,-2.313365,-2.4932413,-1.3890265,-2.3134673,2.1020088,-0.11640694,0.18178445,1.4720511,2.3477082,3.3193955,2.0796413,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,15.0,3583,1,0,0,0,1,-0.1390612,0.2829538,-0.32783958,-0.13563305,0.069688104,0.0870932,-0.056942508,-0.19394416,-0.24350002,0.5237483,0.104397945,-0.11847406,0.28375438,0.3574208,0.04235261,-0.11749708,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,2.0,395,1,0,0,0,1,-0.64184767,0.6874193,-0.5204532,-0.06999928,-0.5130526,-1.1374102,-0.1932317,-0.47458676,-1.107563,0.49106634,-0.6442012,-0.23017468,0.12662812,0.3899896,0.7162852,-0.61326236,328
