ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_N_effort_NPDR_AFP,MI_N_effort_Input,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Changed,MI_N_effort_Output,MI_N_effort_Resource_1,MI_N_effort_Resource_2,MI_AFP_PDR_AFP,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4.0,7490,0,0,0,1,1,11886630,35203.0,37450.0,11249980,37450.0,2546600,35203.0,5797260,29960.0,958720,0,1947400,0,0,7458.900000000001,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,17.0,4150,0,1,0,0,1,1079000,66400.0,68890.0,211650,68890.0,12450,66400.0,37350,70550.0,800950,572700,16600,0,4150,4160.0,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,9.0,668,1,0,0,0,1,101536,2939.2000000000003,2738.7999999999997,108884,2738.7999999999997,18704,2939.2000000000003,16700,6012.0,28056,0,22044,668,0,668.8000000000001,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,4.0,3901,1,0,0,0,1,983052,49932.8,67487.3,269169,55784.3,31208,60465.5,589051,15604.0,152139,596853,109228,3901,0,3225.6000000000004,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,13.0,3607,1,0,0,0,1,1053244,37152.100000000006,42201.899999999994,0,35348.600000000006,699758,44726.8,335451,46891.0,72140,1107349,0,3607,0,3007.6000000000004,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,4.0,1606,1,0,0,0,1,133298,25856.600000000002,29711.0,0,24571.800000000003,38544,30995.800000000003,101178,6424.0,0,139722,0,1606,0,1336.3000000000002,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,6.0,1936,1,0,0,0,1,152944,39300.8,48593.600000000006,0,40462.399999999994,44528,47432.0,46464,11616.0,58080,149072,0,1936,0,1603.7,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,7.0,1158,0,1,0,0,1,112326,13780.2,11232.599999999999,138960,11232.599999999999,8106,13780.2,0,8106.0,0,0,125064,0,1158,1154.3,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,6.0,1498,1,0,0,0,1,173768,16028.599999999999,19474.0,121338,16178.400000000001,86884,19324.2,0,8988.0,20972,50932,34454,1498,0,1241.1999999999998,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,7.0,4063,1,0,0,0,1,211276,263282.39999999997,358762.89999999997,0,297817.89999999997,0,317320.3,158457,28441.0,0,186898,28441,4063,0,3369.6,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,9.0,10200,1,0,0,0,1,4743000,223380.0,226440.0,4692000,226440.0,244800,223380.0,2131800,91800.0,846600,0,1315800,10200,0,10183.5,10200
