size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,effort_D
1.0084089,-0.00020702183,1.4449161,1.5240395,1.137452,1.5058765,1.3128493,1.8336289,-0.11850625,1.1040088,0.88493925,0.6544718,0.4652201,0.9318849,0.7983956,1.0311041,1.1828065,1.8395298,1.5875555,1.5003548,1.9972135,0.5835078,1.1941264,1.1417471,0.15765256,0.37486437,0.7536446,1.8454276,1.1087797,0.76692694,0.3858485
0.38649324,-0.06669256,1.0480058,0.70397764,0.86399746,1.480793,1.2281328,0.4983775,-0.1834236,0.6968441,0.955227,0.0048809797,0.67363805,0.72727835,0.6573897,0.6340605,0.818487,0.8602765,0.78368306,0.66688675,0.93584204,0.15269098,0.5739589,0.28443262,0.6568539,0.7059318,0.82537806,1.0859765,0.7479221,0.5513898,0.12570609
0.5060812,0.024783544,0.7629572,0.8855417,0.58617616,1.1970699,1.0374664,1.1183399,0.5508373,0.61833906,0.6882515,0.27602503,0.31704628,0.46737567,0.6961067,0.66777796,0.6499556,0.92628694,0.7302074,1.110342,1.0629561,0.27271062,0.57732445,0.5377004,0.20364545,0.44083083,0.42566764,1.1762193,0.5746561,0.22644559,0.14237297
0.33228067,-0.0086422255,0.7797796,0.6698928,0.6244861,0.9511521,0.88124156,0.6616788,-0.09597534,0.5816821,0.55398387,0.21356127,0.3850174,0.4607989,0.4867167,0.54015636,0.6063383,0.8274926,0.7107695,0.6557563,0.8499778,0.28022262,0.5597265,0.48157728,0.30881944,0.43622166,0.54211605,0.8836206,0.63749784,0.4537521,0.12028694
0.24638847,-0.039275654,0.85195714,0.60710937,0.6961773,1.2038796,1.0486631,0.47047764,-0.12734729,0.55825007,0.7045276,0.028133731,0.56018186,0.56554806,0.5529979,0.50794274,0.63864285,0.7167525,0.6574787,0.57939595,0.75357217,0.19343886,0.5010973,0.30783314,0.5095978,0.6114918,0.6579846,0.85629886,0.58155435,0.43212768,0.09116396
0.2592098,-0.036824126,0.83100873,0.55620575,0.6938858,1.2116897,1.0554802,0.41206974,-0.13716651,0.55837536,0.72847927,0.010824837,0.5792316,0.5694688,0.5636339,0.49530816,0.65428287,0.6562807,0.63653386,0.5554344,0.7309841,0.15355183,0.49283284,0.2810639,0.56082124,0.6424531,0.681563,0.8157577,0.5993851,0.43550605,0.10502924
0.41495153,-0.016145404,0.9936715,0.8082633,0.75264055,1.2760497,1.1018409,0.68628216,-0.013182491,0.6686292,0.7730773,0.12186747,0.49918854,0.6107425,0.5966368,0.6501475,0.7462796,0.92173404,0.7655908,0.7719015,0.97071344,0.27822667,0.5646169,0.39814353,0.41560796,0.53792095,0.66846126,1.0992565,0.6710827,0.48159355,0.10792452
0.51412296,-0.004113379,0.7578678,0.8754918,0.5987208,1.2644322,1.0891582,1.0938993,0.64528096,0.61005646,0.6975861,0.261923,0.3261343,0.49354076,0.708056,0.6128049,0.6102457,0.901402,0.7120878,1.1211132,1.0298343,0.2153009,0.5108271,0.4937303,0.2175772,0.4562535,0.37248257,1.1391697,0.49735484,0.18264443,0.1570831
0.68093294,-0.095163636,1.6108801,1.185061,1.3679814,2.459363,1.8507915,0.86017805,-0.20038265,1.0591108,1.4877892,-0.16559076,1.0562506,1.1641563,1.0633624,1.0474868,1.3735859,1.3981469,1.1678587,1.0924969,1.5089805,0.11726873,0.8291752,0.3142261,1.1075228,1.023141,1.3479298,1.7357355,1.105428,0.863352,0.2710873
0.5735676,0.036104377,0.7744561,0.8171733,0.64208823,0.8803754,0.74717635,1.0613339,-0.015707888,0.7153853,0.5443656,0.4452347,0.25253737,0.46509317,0.54216987,0.7330883,0.7523907,1.1068912,0.9033762,0.8880892,1.2230792,0.33608678,0.7585763,0.71390194,0.12243648,0.2753104,0.5241205,1.1241299,0.8477594,0.5563923,0.21255468
0.38335007,-0.06340315,0.9932651,0.8278819,0.80140954,1.3832947,1.1123881,0.67526305,-0.13973103,0.624323,0.7568886,0.028742619,0.5636184,0.6464538,0.5997081,0.6486964,0.79118514,0.9966013,0.830979,0.7402409,0.9780403,0.16425283,0.65198547,0.4317423,0.5355452,0.59038913,0.7623187,1.0962763,0.69998634,0.5212945,0.14225635
0.31963813,-0.04111601,1.0778764,0.67642605,0.928021,1.6117562,1.2998536,0.49460733,-0.22500004,0.6906003,0.9140685,-0.087579794,0.75649416,0.7535672,0.7436309,0.62717223,0.8531978,0.8562313,0.7887635,0.64317274,0.89014,0.16802756,0.59513223,0.27720633,0.73852,0.8015492,0.90173495,1.0034666,0.70544934,0.5758062,0.13607584
0.41769853,-0.09268671,0.9576247,0.77645373,0.8618193,1.65463,1.3807398,0.7447618,0.4284271,0.6555895,1.0125502,0.03343255,0.6390557,0.696876,0.93521756,0.63676417,0.78621405,0.94635385,0.7028317,1.0066606,0.9968167,0.18234006,0.5586922,0.28311568,0.582762,0.7987319,0.7242264,1.187204,0.6397728,0.3305466,0.12426056
0.5873415,-0.03365702,1.0069274,0.84071034,0.8599093,1.131211,0.94827837,0.938473,-0.28846812,0.8171836,0.73484445,0.32897827,0.45018268,0.65581214,0.5907275,0.78414494,0.8908985,1.2158996,1.0240347,0.85693884,1.2739316,0.25871876,0.7782703,0.6371027,0.3787373,0.4339634,0.7407901,1.2489357,0.98146945,0.7090569,0.1966946
