AFP,Input,Output,Enquiry,File,Interface,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_4,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_AFP_PDR_AFP,Effort
1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,4.7,5.0,4.7,5.0,4.0,7490.0,1.0,11886630.0,35203.0,37450.0,11249980.0,7458.900000000001,7490
260.0,9.0,4.0,3.0,193.0,41.0,51.0,16.0,16.6,16.0,16.6,17.0,4150.0,0.0,1079000.0,66400.0,68890.0,211650.0,4160.0,4150
152.0,25.0,33.0,28.0,42.0,35.0,163.0,4.4,4.1,4.4,4.1,9.0,668.0,0.0,101536.0,2939.2000000000003,2738.8,108884.0,668.8000000000001,668
252.0,151.0,28.0,8.0,39.0,0.0,69.0,12.8,14.3,15.5,17.3,4.0,3901.0,0.0,983052.0,49932.8,67487.3,269169.0,3225.6000000000004,3238
292.0,93.0,0.0,194.0,20.0,0.0,0.0,10.3,9.8,12.4,11.7,13.0,3607.0,0.0,1053244.0,37152.100000000006,42201.9,0.0,3007.6000000000004,2994
83.0,63.0,0.0,24.0,0.0,0.0,0.0,16.1,15.3,19.3,18.5,4.0,1606.0,0.0,133298.0,25856.6,29711.0,0.0,1336.3000000000002,1333
79.0,24.0,0.0,23.0,30.0,0.0,0.0,20.3,20.9,24.5,25.1,6.0,1936.0,0.0,152944.0,39300.8,48593.600000000006,0.0,1603.7,1607
97.0,0.0,108.0,7.0,0.0,5.0,120.0,11.9,9.7,11.9,9.7,7.0,1158.0,0.0,112326.0,13780.2,11232.6,138960.0,1154.3,1158
116.0,0.0,23.0,58.0,14.0,20.0,81.0,10.7,10.8,12.9,13.0,6.0,1498.0,0.0,173768.0,16028.6,19474.0,121338.0,1241.1999999999998,1243
52.0,39.0,7.0,0.0,0.0,0.0,0.0,64.8,73.3,78.1,88.3,7.0,4063.0,0.0,211276.0,263282.4,358762.9,0.0,3369.6,3372
465.0,209.0,129.0,24.0,83.0,15.0,460.0,21.9,22.2,21.9,22.2,9.0,10200.0,0.0,4743000.0,223380.0,226440.0,4692000.0,10183.5,10200
67.0,32.0,5.0,16.0,7.0,0.0,25.0,25.4,28.4,30.6,34.2,7.0,2053.0,0.0,137551.0,52146.2,70212.6,51325.0,1701.8,1704
199.0,0.0,115.0,57.0,0.0,42.0,214.0,13.3,12.3,15.2,14.2,7.0,3034.0,0.0,603766.0,40352.2,43082.8,649276.0,2646.7000000000003,2640
176.0,13.0,54.0,54.0,40.0,7.0,168.0,19.0,19.9,19.0,19.9,26.0,3348.0,0.0,589248.0,63612.0,66625.2,562464.0,3344.0,3348
391.0,208.0,26.0,81.0,25.0,0.0,38.0,1.7,2.0,2.1,2.4,7.0,814.0,0.0,318274.0,1383.8,1953.6,30932.0,664.6999999999999,676
263.0,65.0,45.0,101.0,42.0,10.0,176.0,3.5,3.5,3.5,3.5,3.0,911.0,0.0,239593.0,3188.5,3188.5,160336.0,920.5,911
42.0,12.0,15.0,3.0,7.0,15.0,52.0,59.4,48.0,59.4,48.0,6.4,2496.0,0.0,104832.0,148262.4,119808.0,129792.0,2494.8,2496
190.0,98.0,20.0,16.0,63.0,5.0,160.0,6.2,5.8,6.2,5.8,10.0,1171.0,0.0,222490.0,7260.2,6791.8,187360.0,1178.0,1171
245.0,105.0,28.0,18.0,58.0,0.0,19.0,14.4,16.9,14.4,16.9,13.0,3532.0,0.0,865340.0,50860.8,59690.8,67108.0,3528.0,3532
77.0,28.0,0.0,42.0,0.0,0.0,0.0,5.7,6.2,6.8,7.5,1.0,525.0,0.0,40425.0,2992.5,3937.5,0.0,438.9,436
355.0,278.0,0.0,73.0,0.0,0.0,0.0,2.6,2.6,3.1,3.1,4.0,1095.0,0.0,388725.0,2847.0,3394.5,0.0,923.0,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,2.9,3.4,3.5,4.1,6.0,10957.0,0.0,34580292.0,31775.3,44923.7,306796.0,9152.4,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,7.5,6.5,7.5,6.5,6.0,344.0,0.0,15824.0,2580.0,2236.0,9632.0,345.0,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,5.3,5.6,5.3,5.6,3.0,296.0,1.0,16576.0,1568.8,1657.6,15688.0,296.8,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,33.0,36.9,39.8,44.4,13.0,4220.0,0.0,447320.0,139260.0,187368.0,147700.0,3498.0,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,3.5,3.3,4.2,3.9,1.0,296.0,0.0,21016.0,1036.0,1154.4,9176.0,248.5,246
306.0,51.0,105.0,0.0,105.0,45.0,306.0,6.8,6.8,6.8,6.8,24.0,2082.0,0.0,637092.0,14157.6,14157.6,637092.0,2080.8,2082
244.0,68.0,78.0,22.0,62.0,14.0,244.0,0.8,0.8,0.8,0.8,7.0,191.0,1.0,46604.0,152.8,152.8,46604.0,195.2,191
98.0,21.0,46.0,3.0,44.0,0.0,114.0,30.3,26.1,36.6,31.4,15.0,3583.0,0.0,351134.0,108564.9,112506.2,408462.0,2969.4,2974
331.0,100.0,44.0,61.0,107.0,0.0,312.0,1.0,1.1,1.2,1.3,2.0,395.0,0.0,130745.0,395.0,513.5,123240.0,331.0,328
101.0,16.0,5.0,39.0,52.0,0.0,112.0,4.0,3.6,4.0,3.6,8.0,406.0,0.0,41006.0,1624.0,1461.6,45472.0,404.0,406
192.0,9.0,102.0,0.0,10.0,77.0,198.0,9.3,9.0,11.2,10.9,8.0,2151.0,0.0,412992.0,20004.300000000003,23445.9,425898.0,1785.6,1785
60.0,39.0,4.0,0.0,14.0,10.0,39.0,7.9,7.0,7.9,7.0,8.0,471.0,0.0,28260.0,3720.9,3297.0,18369.0,474.0,471
180.0,74.0,18.0,33.0,57.0,0.0,153.0,3.9,3.8,3.9,3.8,5.0,700.0,0.0,126000.0,2730.0,2660.0,107100.0,702.0,700
118.0,43.0,71.0,7.0,0.0,0.0,38.0,4.9,4.8,5.9,5.8,2.0,698.0,0.0,82364.0,3420.2000000000003,4048.4,26524.0,578.2,579
73.0,43.0,10.0,4.0,15.0,0.0,6.0,16.6,16.8,20.0,20.3,3.0,1459.0,0.0,106507.0,24219.4,29617.7,8754.0,1211.8000000000002,1211
143.0,63.0,0.0,27.0,45.0,0.0,14.0,8.0,8.4,9.6,10.2,4.0,1372.0,0.0,196196.0,10976.0,13994.4,19208.0,1144.0,1139
2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,6.6,8.0,7.6,9.1,19.0,16690.0,0.0,36551100.0,110154.0,151879.0,30459250.0,14454.0,14520
9.0,0.0,10.0,0.0,0.0,0.0,5.0,26.6,23.9,26.6,23.9,2.0,239.0,0.0,2151.0,6357.400000000001,5712.099999999999,1195.0,239.4,239
203.0,21.0,167.0,3.0,10.0,0.0,201.0,6.2,6.3,7.5,7.6,5.0,1520.0,0.0,308560.0,9424.0,11552.0,305520.0,1258.6,1262
162.0,64.0,36.0,9.0,28.0,20.0,157.0,10.8,11.2,10.8,11.2,8.0,1754.0,0.0,284148.0,18943.2,19644.8,275378.0,1749.6,1754
183.0,60.0,21.0,29.0,71.0,0.0,181.0,8.3,8.4,10.0,10.1,6.0,1824.0,0.0,333792.0,15139.2,18422.4,330144.0,1518.9,1514
59.0,36.0,21.0,0.0,0.0,0.0,6.0,11.3,11.7,13.6,14.1,8.0,804.0,0.0,47436.0,9085.2,11336.4,4824.0,666.7,667
412.0,198.0,14.0,99.0,91.0,10.0,412.0,14.2,14.2,14.2,14.2,20.0,5864.0,0.0,2415968.0,83268.8,83268.8,2415968.0,5850.4,5864
348.0,198.0,14.0,33.0,77.0,0.0,10.0,2.8,3.0,3.4,3.6,3.0,1172.0,0.0,407856.0,3281.6,4219.2,11720.0,974.4,973
2529.0,554.0,513.0,66.0,703.0,220.0,2056.0,2.1,2.6,2.1,2.6,13.0,5333.0,0.0,13487157.0,11199.3,13865.8,10964648.0,5310.900000000001,5333
250.0,28.0,92.0,57.0,0.0,30.0,164.0,7.1,8.6,7.1,8.6,8.0,1775.0,0.0,443750.0,12602.5,15265.0,291100.0,1775.0,1775
206.0,0.0,199.0,0.0,0.0,5.0,100.0,1.0,1.0,1.2,1.2,5.0,246.0,0.0,50676.0,246.0,295.2,24600.0,206.0,204
617.0,184.0,136.0,103.0,133.0,0.0,377.0,5.1,5.7,6.1,6.8,7.0,3793.0,0.0,2340281.0,19344.3,25792.4,1429961.0,3146.7,3148
