ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,MI_N_effort_PDR_AFP,MI_N_effort_Enquiry,MI_N_effort_Duration,Effort
1,1587,260,340,0,0,0,4.7,4.0,7490,0,0,0,1,1,35203.0,2546600,29960.0,7490
2,260,4,3,41,138,61,16.0,17.0,4150,0,1,0,0,1,66400.0,12450,70550.0,4150
3,152,33,28,35,0,0,4.4,9.0,668,1,0,0,0,1,2939.2000000000003,18704,6012.0,668
4,252,28,8,0,153,4,12.8,4.0,3901,1,0,0,0,1,49932.8,31208,15604.0,3238
5,292,0,194,0,307,0,10.3,13.0,3607,1,0,0,0,1,37152.100000000006,699758,46891.0,2994
6,83,0,24,0,87,0,16.1,4.0,1606,1,0,0,0,1,25856.6,38544,6424.0,1333
7,79,0,23,0,77,0,20.3,6.0,1936,1,0,0,0,1,39300.8,44528,11616.0,1607
8,97,108,7,5,0,0,11.9,7.0,1158,0,1,0,0,1,13780.2,8106,8106.0,1158
9,116,23,58,20,34,0,10.7,6.0,1498,1,0,0,0,1,16028.6,86884,8988.0,1243
10,52,7,0,0,46,0,64.8,7.0,4063,1,0,0,0,1,263282.4,0,28441.0,3372
11,465,129,24,15,0,0,21.9,9.0,10200,1,0,0,0,1,223380.0,244800,91800.0,10200
12,67,5,16,0,35,0,25.4,7.0,2053,1,0,0,0,1,52146.2,32848,14371.0,1704
13,199,115,57,42,0,0,13.3,7.0,3034,0,1,0,0,1,40352.2,172938,21238.0,2640
14,176,54,54,7,0,0,19.0,26.0,3348,1,0,0,0,1,63612.0,180792,87048.0,3348
15,391,26,81,0,302,0,1.7,7.0,814,1,0,0,0,1,1383.8,65934,5698.0,676
16,263,45,101,10,87,0,3.5,3.0,911,1,0,0,0,1,3188.5,92011,2733.0,911
17,42,15,3,15,0,0,59.4,6.4,2496,1,0,0,0,1,148262.4,7488,15974.4,2496
18,190,20,16,5,42,0,6.2,10.0,1171,1,0,0,0,1,7260.2,18736,11710.0,1171
19,245,28,18,0,190,0,14.4,13.0,3532,1,0,0,0,1,50860.8,63576,45916.0,3532
20,77,0,42,0,70,0,5.7,1.0,525,1,0,0,0,1,2992.5,22050,525.0,436
21,355,0,73,0,351,0,2.6,4.0,1095,1,0,0,0,1,2847.0,79935,4380.0,909
22,3156,525,97,0,12,2657,2.9,6.0,10957,1,0,0,0,1,31775.3,1062829,65742.0,9094
