size_D,duration_D,nlan,t01,t02,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_ProdCont,app_TransPro,har_Multi,har_Network,har_PC,dba_Other,ifc_GUI,ifc_TextUI,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,effort_D
0.143335192414947,0.2,0.0,1.0,0.5,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.32980466,-0.87416506,1.0558268,0.9876314,1.1552778,-0.9478172,-0.30920175,1.1168218,-1.1793704,0.0075898020947219
0.1670384829894032,0.24,0.6666666666666666,0.75,0.5,1.0,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3762775,-0.9050974,1.0946681,1.0485384,1.2104454,-0.9877569,-0.281593,1.1788292,-1.2199413,0.1154790765476699
0.0228667038482989,0.02,0.6666666666666666,0.25,0.5,0.3333333333333333,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35641068,-0.77564037,0.97439164,0.91716874,1.0841829,-0.8905572,-0.2127678,1.0403335,-1.0797836,0.0041514157595347
0.0574456218627997,0.08,0.3333333333333333,0.5,0.5,0.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36843953,-0.80945534,0.9988295,0.9379029,1.1158702,-0.9035443,-0.24044596,1.0668911,-1.107044,0.0276813867630048
0.2810931399888455,0.24,0.6666666666666666,0.25,0.25,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37071913,-0.8257411,1.022704,0.9711401,1.1378821,-0.9278638,-0.23248564,1.0946711,-1.1363285,0.3278192391183787
0.0934188510875627,0.16,0.3333333333333333,0.5,0.5,0.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35762632,-0.8372466,1.0341338,0.9783017,1.1436565,-0.93749994,-0.25071168,1.1029726,-1.1505868,0.0576920029788784
0.0828220858895705,0.16,1.0,0.25,0.5,0.3333333333333333,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.35326326,-0.7748892,0.97433937,0.9037286,1.079516,-0.8807094,-0.2209449,1.0306226,-1.0755908,0.035540555529147
0.0448968209704406,0.46,0.3333333333333333,0.75,0.5,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36588228,-0.839505,1.027972,0.9772721,1.1426959,-0.9332767,-0.25183,1.1061,-1.1429425,0.1067484273739918
0.0886781929726715,0.4,0.0,0.25,0.5,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32735538,-0.6869272,0.86567926,0.81695306,0.9727903,-0.8115038,-0.18619741,0.9451023,-0.9584653,0.1353488298394891
0.3159509202453988,1.0,0.3333333333333333,0.75,0.5,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28399882,-0.6562305,0.7811372,0.70999867,0.8682337,-0.73688865,-0.22859834,0.8575627,-0.8691682,0.1793189776742564
